Model,Format,Size(MB),Params(M),GFLOPs,Precision,Recall,mAP@50,mAP@50-95
yolov10l,pt,49.74,25.77,127.23,0.9213,0.8141,0.8679,0.7425
yolo11s,engine,21.26,9.43,21.56,0.8512,0.8252,0.8595,0.7201
yolov8l,engine,86.33,43.63,165.42,0.8994,0.8195,0.8722,0.7425
yolov9c,engine,52.13,25.53,103.7,0.9255,0.7661,0.8641,0.7379
yolov8s,engine,24.26,11.14,28.66,0.8702,0.808,0.845,0.7323
yolov10n,pt,5.45,2.71,8.4,0.8875,0.8075,0.8678,0.7435
yolo11n,pt,5.18,2.59,6.44,0.8212,0.8128,0.8472,0.7146
yolov10l,engine,50.29,25.77,127.23,0.932,0.811,0.8778,0.7489
yolo12l,pt,51.02,26.39,89.43,0.8993,0.7726,0.8629,0.7403
yolo11x,engine,112.52,56.88,195.47,0.882,0.8556,0.8563,0.7203
yolov10m,engine,32.59,16.49,63.99,0.9216,0.7726,0.8649,0.7291
yolo12n,pt,5.23,2.57,6.48,0.9498,0.7427,0.8536,0.7351
yolov10s,engine,16.74,8.07,24.79,0.9002,0.7761,0.8478,0.7058
yolo11n,engine,7.17,2.59,6.44,0.9097,0.725,0.8317,0.7059
yolov8m,engine,52.29,25.86,79.08,0.9204,0.7912,0.8677,0.747
yolov9m,pt,38.91,20.16,77.56,0.8185,0.8142,0.8481,0.7358
yolo12s,pt,18.02,9.26,21.53,0.9472,0.7701,0.8741,0.7425
yolov10x,pt,61.1,31.66,171.04,0.8577,0.8239,0.8369,0.7342
yolov9s,engine,17.09,7.29,27.39,0.8813,0.8364,0.8663,0.7292
yolov8x,pt,130.35,68.16,258.14,0.9361,0.7773,0.8506,0.7498
yolov8x,engine,133.13,68.16,258.14,0.9023,0.8083,0.8486,0.7385
yolo12n,engine,8.01,2.57,6.48,0.8792,0.8028,0.8561,0.7126
yolo11l,engine,52.19,25.31,87.29,0.8021,0.8449,0.8642,0.7386
yolov8l,pt,83.56,43.63,165.42,0.9702,0.8149,0.8853,0.7568
yolov8m,pt,49.59,25.86,79.08,0.9176,0.7879,0.869,0.7587
yolov9m,engine,42.5,20.16,77.56,0.8491,0.8063,0.8315,0.7137
yolov9c,pt,49.17,25.53,103.7,0.9183,0.7688,0.8783,0.7699
yolov10s,pt,15.73,8.07,24.79,0.8694,0.8181,0.8693,0.7238
yolo11l,pt,48.79,25.31,87.29,0.7837,0.846,0.8603,0.7495
yolov9t,engine,6.55,2.01,7.85,0.8983,0.8481,0.8792,0.7458
yolo11s,pt,18.25,9.43,21.56,0.9095,0.7691,0.8617,0.7357
yolo12l,engine,56.21,26.39,89.43,0.9468,0.7789,0.8616,0.7318
yolo11m,pt,38.61,20.06,68.21,0.9131,0.8382,0.8745,0.735
yolov10x,engine,59.26,31.66,171.04,0.8547,0.7839,0.8247,0.7143
yolov9s,pt,14.49,7.29,27.39,0.8791,0.8502,0.8813,0.7604
yolo11m,engine,41.67,20.06,68.21,0.9015,0.8224,0.8594,0.7183
yolov10m,pt,31.9,16.49,63.99,0.8274,0.8275,0.8641,0.7302
yolov8n,pt,5.92,3.01,8.2,0.9698,0.7483,0.8618,0.7212
yolov9e,pt,111.8,58.15,192.69,0.848,0.8647,0.8689,0.7534
yolov8n,engine,7.8,3.01,8.2,0.9607,0.7277,0.827,0.6865
yolov10n,engine,6.71,2.71,8.4,0.8322,0.8227,0.8557,0.7119
yolov9e,engine,114.47,58.15,192.69,0.8246,0.869,0.8651,0.7324
yolo12s,engine,22.17,9.26,21.53,0.8693,0.8528,0.8729,0.7247
yolov8s,pt,21.44,11.14,28.66,0.8657,0.8059,0.8582,0.749
yolov9t,pt,4.39,2.01,7.85,0.911,0.8074,0.8774,0.7562
yolo12m,engine,42.83,20.14,67.76,0.882,0.8298,0.8585,0.7185
yolo12x,engine,118.91,59.12,199.84,0.8939,0.8212,0.8606,0.7104
yolo12m,pt,38.84,20.14,67.76,0.8778,0.8406,0.8729,0.7336
yolo11x,pt,109.06,56.88,195.47,0.8976,0.8348,0.8677,0.7429
yolo12x,pt,113.54,59.12,199.84,0.9215,0.8539,0.8864,0.7242
