Runs,Strategy,Start_frame,End_frame,Total_frames
2,BSS,1105,648,457
2,BSS,655,648,7
2,BSS,961,648,313
2,BSS,294,646,352
2,BSS,287,648,753
2,BSS,651,648,3
2,BSS,204,646,442
2,BSS,1006,648,358
2,BSS,1102,648,454
2,BSS,182,646,464
2,BSS,610,648,1076
2,BSS,991,648,343
2,BSS,1097,648,449
2,BSS,906,648,258
2,BSS,794,648,146
2,BSS,853,648,205
2,BSS,139,648,605
2,BSS,234,646,412
2,BSS,929,648,281
2,BSS,1005,646,755
2,BSS,22,648,488
2,BSS,384,648,850
2,BSS,1003,646,757
2,BSS,284,646,362
2,BSS,600,648,1066
2,BSS,152,648,618
2,BSS,219,648,685
2,BSS,49,646,597
2,BSS,795,648,147
2,BSS,861,646,899
2,BSS,995,648,347
2,BSS,124,648,590
2,BSS,678,646,1082
2,BSS,929,648,281
2,BSS,607,648,1073
2,BSS,207,646,439
2,BSS,424,646,222
2,BSS,115,646,531
2,BSS,275,646,371
2,BSS,526,648,992
2,BSS,501,648,967
2,BSS,954,648,306
2,BSS,921,648,273
2,BSS,510,648,976
2,BSS,44,648,510
2,BSS,527,646,119
2,BSS,353,648,819
2,BSS,404,648,870
2,BSS,1039,648,391
2,BSS,677,646,1083
2,BSS,76,648,542
2,BSS,46,646,600
2,BSS,131,646,515
2,BSS,308,648,774
2,BSS,209,648,675
2,BSS,128,646,518
2,BSS,1063,646,697
2,BSS,325,648,791
2,BSS,118,646,528
2,BSS,887,648,239
2,BSS,338,648,804
2,BSS,91,648,557
2,BSS,350,648,816
2,BSS,457,648,923
2,BSS,1060,648,412
2,BSS,270,646,376
2,BSS,893,648,245
2,BSS,604,646,42
2,BSS,108,646,538
2,BSS,455,648,921
2,BSS,613,648,1079
2,BSS,517,646,129
2,BSS,198,648,664
2,BSS,1067,648,419
2,BSS,932,646,828
2,BSS,6,646,640
2,BSS,1020,648,372
2,BSS,467,648,933
2,BSS,715,648,67
2,BSS,393,646,253
2,BSS,584,648,1050
2,BSS,386,646,260
2,BSS,987,646,773
2,BSS,369,648,835
2,BSS,739,648,91
2,BSS,127,646,519
2,BSS,971,646,789
2,BSS,580,646,66
2,BSS,880,646,880
2,BSS,467,648,933
2,BSS,302,648,768
2,BSS,216,646,430
2,BSS,736,648,88
2,BSS,556,648,1022
2,BSS,609,648,1075
2,BSS,656,648,8
2,BSS,927,648,279
2,BSS,489,648,955
2,BSS,608,646,38
2,BSS,77,646,569
2,BSS,748,648,100
2,BSS,225,646,421
2,BSS,850,646,910
2,BSS,955,648,307
2,BSS,507,648,973
2,BSS,9,648,475
2,BSS,514,648,980
2,BSS,1067,648,419
2,BSS,872,646,888
2,BSS,740,648,92
2,BSS,340,648,806
2,BSS,1030,648,382
2,BSS,1090,646,670
2,BSS,1006,648,358
2,BSS,30,648,496
2,BSS,566,648,1032
2,BSS,933,648,285
2,BSS,540,646,106
2,BSS,27,648,493
2,BSS,549,646,97
2,BSS,248,646,398
2,BSS,73,648,539
2,BSS,210,646,436
2,BSS,653,648,5
2,BSS,396,646,250
2,BSS,154,646,492
2,BSS,380,646,266
2,BSS,930,646,830
2,BSS,415,646,231
2,BSS,227,648,693
2,BSS,922,646,838
2,BSS,330,648,796
2,BSS,994,646,766
2,BSS,39,648,505
2,BSS,711,646,1049
2,BSS,562,646,84
2,BSS,922,646,838
2,BSS,105,646,541
2,BSS,822,648,174
2,BSS,885,646,875
2,BSS,378,648,844
2,BSS,140,648,606
2,BSS,70,646,576
2,BSS,393,648,859
2,BSS,554,648,1020
2,BSS,35,648,501
2,BSS,75,648,541
2,BSS,777,646,983
2,BSS,1078,648,430
2,BSS,1083,646,677
2,BSS,919,646,841
2,BSS,777,646,983
2,BSS,97,648,563
2,BSS,18,646,628
2,BSS,350,646,296
2,BSS,817,648,169
2,BSS,1105,646,655
2,BSS,296,648,762
2,BSS,912,648,264
2,BSS,255,648,721
2,BSS,95,648,561
2,BSS,258,646,388
2,BSS,244,648,710
2,BSS,16,646,630
2,BSS,281,648,747
2,BSS,915,648,267
2,BSS,868,648,220
2,BSS,198,648,664
2,BSS,851,646,909
2,BSS,866,648,218
2,BSS,883,648,235
2,BSS,948,646,812
2,BSS,483,648,949
2,BSS,721,648,73
2,BSS,26,646,620
2,BSS,434,646,212
2,BSS,683,648,35
2,BSS,199,646,447
2,BSS,1078,646,682
2,BSS,985,646,775
2,BSS,890,648,242
2,BSS,459,648,925
2,BSS,936,646,824
2,BSS,724,648,76
2,BSS,474,646,172
2,BSS,371,646,275
2,BSS,289,648,755
2,BSS,348,648,814
2,BSS,795,648,147
2,BSS,149,648,615
2,BSS,660,648,12
2,BSS,803,646,957
2,BSS,375,648,841
2,BSS,869,646,891
2,BSS,89,648,555
2,BSS,296,648,762
2,BSS,1078,646,682
2,BSS,753,646,1007
2,BSS,423,646,223
2,BSS,773,646,987
2,BSS,995,648,347
2,BSS,145,648,611
2,BSS,1054,646,706
2,BSS,726,646,1034
2,BSS,450,646,196
2,BSS,922,646,838
2,BSS,933,648,285
2,BSS,940,646,820
2,BSS,919,648,271
2,BSS,621,646,25
2,BSS,746,646,1014
2,BSS,131,648,597
2,BSS,136,646,510
2,BSS,750,646,1010
2,BSS,50,646,596
2,BSS,1097,646,663
2,BSS,580,648,1046
2,BSS,305,648,771
2,BSS,209,648,675
2,BSS,128,648,594
2,BSS,641,648,1107
2,BSS,636,646,10
2,BSS,1062,648,414
2,BSS,811,646,949
2,BSS,651,648,3
2,BSS,416,646,230
2,BSS,835,646,925
2,BSS,1015,646,745
2,BSS,31,646,615
2,BSS,898,646,862
2,BSS,57,646,589
2,BSS,718,648,70
2,BSS,835,646,925
2,BSS,109,646,537
2,BSS,603,646,43
2,BSS,929,648,281
2,BSS,870,646,890
2,BSS,384,646,262
2,BSS,827,648,179
2,BSS,231,648,697
2,BSS,27,648,493
2,BSS,866,646,894
2,BSS,657,648,9
2,BSS,767,646,993
2,BSS,129,646,517
2,BSS,1003,646,757
2,BSS,590,648,1056
2,BSS,282,648,748
2,BSS,928,648,280
2,BSS,22,648,488
2,BSS,105,646,541
2,BSS,879,648,231
2,BSS,928,648,280
2,BSS,95,648,561
2,BSS,1009,648,361
2,BSS,36,648,502
2,BSS,318,646,328
2,BSS,386,648,852
2,BSS,342,646,304
2,BSS,628,648,1094
2,BSS,842,646,918
2,BSS,635,648,1101
2,BSS,361,646,285
2,BSS,823,646,937
2,BSS,11,648,477
2,BSS,523,648,989
2,BSS,197,646,449
2,BSS,369,648,835
2,BSS,859,646,901
2,BSS,590,646,56
2,BSS,607,648,1073
2,BSS,887,648,239
2,BSS,33,646,613
2,BSS,350,648,816
2,BSS,255,648,721
2,BSS,315,648,781
2,BSS,127,646,519
2,BSS,460,646,186
2,BSS,860,646,900
2,BSS,968,648,320
2,BSS,9,648,475
2,BSS,385,646,261
2,BSS,836,646,924
2,BSS,736,648,88
2,BSS,70,646,576
2,BSS,265,648,731
2,BSS,990,646,770
2,BSS,98,648,564
2,BSS,898,648,250
2,BSS,943,646,817
2,BSS,294,646,352
2,BSS,85,646,561
2,BSS,615,646,31
2,BSS,721,648,73
2,BSS,609,646,37
2,BSS,575,648,1041
2,BSS,83,648,549
2,BSS,779,648,131
2,BSS,927,648,279
2,BSS,361,648,827
2,BSS,255,646,391
2,BSS,632,648,1098
