04-18-2026 15:26:33 RAM 4892/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@883,0%@883,0%@883,0%@883,44%@1510,48%@1510] GR3D_FREQ 75% cpu@57.812C soc2@57.031C soc0@56.093C gpu@57.781C tj@57.812C soc1@56.875C VDD_IN 7854mW/7854mW VDD_CPU_GPU_CV 2464mW/2464mW VDD_SOC 1831mW/1831mW
04-18-2026 15:26:34 RAM 4892/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [3%@1510,3%@1510,0%@729,3%@729,100%@1510,0%@1510] GR3D_FREQ 77% cpu@57.875C soc2@57.218C soc0@56.093C gpu@57.968C tj@58.093C soc1@56.906C VDD_IN 9007mW/8430mW VDD_CPU_GPU_CV 3282mW/2873mW VDD_SOC 1980mW/1905mW
04-18-2026 15:26:34 RAM 4892/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,3%@1510,1%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 59% cpu@58C soc2@57.25C soc0@56.125C gpu@58.281C tj@58.281C soc1@56.843C VDD_IN 9388mW/8749mW VDD_CPU_GPU_CV 3553mW/3099mW VDD_SOC 2020mW/1943mW
04-18-2026 15:26:35 RAM 4892/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,100%@1510,1%@1510] GR3D_FREQ 62% cpu@58.093C soc2@57.437C soc0@56.218C gpu@58.187C tj@58.187C soc1@56.843C VDD_IN 9507mW/8939mW VDD_CPU_GPU_CV 3632mW/3232mW VDD_SOC 2017mW/1962mW
04-18-2026 15:26:35 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,1%@1510,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 55% cpu@58.093C soc2@57.343C soc0@56.218C gpu@58.437C tj@58.437C soc1@56.968C VDD_IN 9547mW/9060mW VDD_CPU_GPU_CV 3593mW/3304mW VDD_SOC 2017mW/1973mW
04-18-2026 15:26:36 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 82% cpu@58.062C soc2@57.468C soc0@56.187C gpu@58.156C tj@58.156C soc1@56.906C VDD_IN 9547mW/9141mW VDD_CPU_GPU_CV 3672mW/3366mW VDD_SOC 2017mW/1980mW
04-18-2026 15:26:36 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,2%@1510,0%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 66% cpu@58.375C soc2@57.437C soc0@56.218C gpu@58.406C tj@58.406C soc1@57.093C VDD_IN 9468mW/9188mW VDD_CPU_GPU_CV 3672mW/3409mW VDD_SOC 2020mW/1986mW
04-18-2026 15:26:37 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,1%@1510,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 76% cpu@58.562C soc2@57.437C soc0@56.281C gpu@58.062C tj@58.562C soc1@57.125C VDD_IN 9547mW/9233mW VDD_CPU_GPU_CV 3632mW/3437mW VDD_SOC 2017mW/1989mW
04-18-2026 15:26:37 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@729,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 53% cpu@58.187C soc2@57.406C soc0@56.187C gpu@58.187C tj@58.187C soc1@57.093C VDD_IN 9468mW/9259mW VDD_CPU_GPU_CV 3632mW/3459mW VDD_SOC 2020mW/1993mW
04-18-2026 15:26:38 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,0%@1510,0%@1510,1%@729,100%@1510,0%@1510] GR3D_FREQ 56% cpu@58.406C soc2@57.468C soc0@56.281C gpu@58.281C tj@58.406C soc1@57.093C VDD_IN 9507mW/9284mW VDD_CPU_GPU_CV 3632mW/3476mW VDD_SOC 2017mW/1995mW
04-18-2026 15:26:38 RAM 4893/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,0%@1510,2%@1510,0%@1510,100%@1510,1%@1510] GR3D_FREQ 88% cpu@58.406C soc2@57.687C soc0@56.25C gpu@58.468C tj@58.468C soc1@57.093C VDD_IN 9507mW/9304mW VDD_CPU_GPU_CV 3632mW/3490mW VDD_SOC 2017mW/1997mW
