04-18-2026 16:18:39 RAM 5446/7620MB (lfb 12x4MB) SWAP 2646/3810MB (cached 8MB) CPU [2%@883,0%@883,1%@883,3%@883,16%@729,36%@729] GR3D_FREQ 81% cpu@56.187C soc2@55.593C soc0@54.687C gpu@55.843C tj@56.187C soc1@55.531C VDD_IN 6249mW/6249mW VDD_CPU_GPU_CV 1357mW/1357mW VDD_SOC 1640mW/1640mW
04-18-2026 16:18:39 RAM 5446/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@1510,0%@1510,4%@1510,5%@1510,40%@729,17%@729] GR3D_FREQ 67% cpu@56.218C soc2@55.593C soc0@54.687C gpu@55.937C tj@56.218C soc1@55.75C VDD_IN 6640mW/6444mW VDD_CPU_GPU_CV 1634mW/1495mW VDD_SOC 1677mW/1658mW
04-18-2026 16:18:40 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@729,60%@729] GR3D_FREQ 59% cpu@56.687C soc2@55.625C soc0@54.625C gpu@55.875C tj@56.687C soc1@55.718C VDD_IN 6840mW/6576mW VDD_CPU_GPU_CV 1714mW/1568mW VDD_SOC 1717mW/1678mW
04-18-2026 16:18:40 RAM 5446/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,1%@1510,0%@1510,2%@1510,0%@729,56%@729] GR3D_FREQ 59% cpu@56.312C soc2@55.625C soc0@54.656C gpu@56.093C tj@56.312C soc1@55.75C VDD_IN 7148mW/6719mW VDD_CPU_GPU_CV 1950mW/1663mW VDD_SOC 1754mW/1697mW
04-18-2026 16:18:41 RAM 5446/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@729,66%@729] GR3D_FREQ 60% cpu@56.375C soc2@55.625C soc0@54.593C gpu@56.281C tj@56.375C soc1@55.687C VDD_IN 7268mW/6829mW VDD_CPU_GPU_CV 2030mW/1737mW VDD_SOC 1754mW/1708mW
04-18-2026 16:18:41 RAM 5446/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [3%@1510,0%@1510,3%@1510,1%@1510,2%@729,70%@729] GR3D_FREQ 60% cpu@56.562C soc2@55.781C soc0@54.656C gpu@56.093C tj@56.562C soc1@55.656C VDD_IN 7268mW/6902mW VDD_CPU_GPU_CV 2030mW/1785mW VDD_SOC 1754mW/1716mW
04-18-2026 16:18:42 RAM 5446/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@729,66%@729] GR3D_FREQ 71% cpu@56.312C soc2@55.812C soc0@54.906C gpu@56.312C tj@56.312C soc1@55.593C VDD_IN 7376mW/6969mW VDD_CPU_GPU_CV 2149mW/1837mW VDD_SOC 1794mW/1727mW
04-18-2026 16:18:42 RAM 5446/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,3%@1510,0%@1510,0%@1510,0%@729,66%@729] GR3D_FREQ 60% cpu@56.343C soc2@55.687C soc0@54.843C gpu@56.437C tj@56.437C soc1@55.593C VDD_IN 7416mW/7025mW VDD_CPU_GPU_CV 2149mW/1876mW VDD_SOC 1794mW/1735mW
04-18-2026 16:18:43 RAM 5446/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,69%@729] GR3D_FREQ 58% cpu@56.281C soc2@55.718C soc0@54.718C gpu@56.343C tj@56.343C soc1@55.562C VDD_IN 7308mW/7057mW VDD_CPU_GPU_CV 2070mW/1898mW VDD_SOC 1754mW/1737mW
04-18-2026 16:18:43 RAM 5446/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,58%@729,10%@729] GR3D_FREQ 71% cpu@56.343C soc2@55.843C soc0@54.781C gpu@56.406C tj@56.406C soc1@55.593C VDD_IN 7348mW/7086mW VDD_CPU_GPU_CV 2070mW/1915mW VDD_SOC 1754mW/1739mW
04-18-2026 16:18:44 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,64%@729,0%@729] GR3D_FREQ 71% cpu@56.281C soc2@55.75C soc0@54.781C gpu@56.156C tj@56.281C soc1@55.562C VDD_IN 7456mW/7119mW VDD_CPU_GPU_CV 2189mW/1940mW VDD_SOC 1794mW/1744mW
