04-18-2026 12:35:10 RAM 4037/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [6%@883,1%@883,3%@883,0%@883,0%@1113,78%@1113] GR3D_FREQ 56% cpu@54.875C soc2@54C soc0@53.156C gpu@54.625C tj@54.875C soc1@54.406C VDD_IN 5617mW/5617mW VDD_CPU_GPU_CV 1041mW/1041mW VDD_SOC 1522mW/1522mW
04-18-2026 12:35:11 RAM 4037/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [12%@1510,8%@1510,2%@1510,3%@1510,0%@729,56%@729] GR3D_FREQ 49% cpu@55.062C soc2@54.156C soc0@53.218C gpu@54.5C tj@55.062C soc1@54.281C VDD_IN 5969mW/5793mW VDD_CPU_GPU_CV 1280mW/1160mW VDD_SOC 1562mW/1542mW
04-18-2026 12:35:11 RAM 4037/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,74%@1510,1%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 58% cpu@54.937C soc2@54.25C soc0@53.187C gpu@54.625C tj@54.937C soc1@54.343C VDD_IN 6049mW/5878mW VDD_CPU_GPU_CV 1320mW/1213mW VDD_SOC 1602mW/1562mW
04-18-2026 12:35:12 RAM 4037/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,54%@1510,0%@1510,0%@1510,6%@1190,15%@1190] GR3D_FREQ 62% cpu@54.937C soc2@54.187C soc0@53.375C gpu@54.343C tj@54.937C soc1@54.281C VDD_IN 6089mW/5931mW VDD_CPU_GPU_CV 1320mW/1240mW VDD_SOC 1600mW/1571mW
04-18-2026 12:35:12 RAM 4037/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,2%@1190,74%@1190] GR3D_FREQ 60% cpu@54.812C soc2@54.187C soc0@53.406C gpu@54.625C tj@54.812C soc1@54.25C VDD_IN 6089mW/5962mW VDD_CPU_GPU_CV 1320mW/1256mW VDD_SOC 1600mW/1577mW
04-18-2026 12:35:13 RAM 4037/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,3%@1510,3%@1510,0%@1113,74%@1113] GR3D_FREQ 64% cpu@54.75C soc2@54.156C soc0@53.343C gpu@54.281C tj@54.75C soc1@54.25C VDD_IN 6129mW/5990mW VDD_CPU_GPU_CV 1360mW/1273mW VDD_SOC 1600mW/1581mW
04-18-2026 12:35:13 RAM 4037/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1113,76%@1113] GR3D_FREQ 61% cpu@55.281C soc2@54.156C soc0@53.25C gpu@54.312C tj@55.281C soc1@54.5C VDD_IN 6089mW/6004mW VDD_CPU_GPU_CV 1360mW/1285mW VDD_SOC 1600mW/1583mW
04-18-2026 12:35:14 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@1510,1%@1510,0%@1190,74%@1190] GR3D_FREQ 48% cpu@54.937C soc2@54.156C soc0@53.281C gpu@54.25C tj@54.937C soc1@54.406C VDD_IN 6129mW/6020mW VDD_CPU_GPU_CV 1360mW/1295mW VDD_SOC 1600mW/1585mW
04-18-2026 12:35:14 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 46% cpu@55.031C soc2@54.125C soc0@53.187C gpu@54.343C tj@55.031C soc1@54.343C VDD_IN 6129mW/6032mW VDD_CPU_GPU_CV 1360mW/1302mW VDD_SOC 1600mW/1587mW
04-18-2026 12:35:15 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,2%@1510,1%@1510,3%@1190,76%@1190] GR3D_FREQ 64% cpu@55.156C soc2@54.125C soc0@53.187C gpu@54.187C tj@55.156C soc1@54.281C VDD_IN 6129mW/6041mW VDD_CPU_GPU_CV 1360mW/1308mW VDD_SOC 1600mW/1588mW
04-18-2026 12:35:15 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 62% cpu@54.906C soc2@54.218C soc0@53.187C gpu@54.281C tj@54.906C soc1@54.218C VDD_IN 6129mW/6049mW VDD_CPU_GPU_CV 1360mW/1312mW VDD_SOC 1600mW/1589mW
