04-18-2026 12:36:15 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@883,1%@883,2%@883,0%@883,0%@1113,79%@1113] GR3D_FREQ 46% cpu@54.562C soc2@53.781C soc0@53.031C gpu@53.781C tj@54.406C soc1@53.937C VDD_IN 5658mW/5658mW VDD_CPU_GPU_CV 1041mW/1041mW VDD_SOC 1522mW/1522mW
04-18-2026 12:36:16 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,2%@1510,0%@1510,1%@1510,0%@1190,76%@1190] GR3D_FREQ 64% cpu@55.031C soc2@53.875C soc0@53.031C gpu@54C tj@55.031C soc1@54.218C VDD_IN 5969mW/5813mW VDD_CPU_GPU_CV 1280mW/1160mW VDD_SOC 1562mW/1542mW
04-18-2026 12:36:16 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 56% cpu@54.687C soc2@53.812C soc0@53C gpu@54.031C tj@54.687C soc1@54.031C VDD_IN 6049mW/5892mW VDD_CPU_GPU_CV 1320mW/1213mW VDD_SOC 1602mW/1562mW
04-18-2026 12:36:17 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1246,0%@1318,0%@1510,1%@1510,1%@1190,74%@1190] GR3D_FREQ 65% cpu@54.812C soc2@53.875C soc0@52.968C gpu@54.031C tj@54.812C soc1@54.031C VDD_IN 6089mW/5941mW VDD_CPU_GPU_CV 1360mW/1250mW VDD_SOC 1600mW/1571mW
04-18-2026 12:36:17 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,3%@1510,1%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 51% cpu@54.906C soc2@53.875C soc0@53C gpu@54.125C tj@54.906C soc1@53.937C VDD_IN 6129mW/5978mW VDD_CPU_GPU_CV 1360mW/1272mW VDD_SOC 1600mW/1577mW
04-18-2026 12:36:18 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,2%@1510,0%@1510,1%@1510,2%@1190,76%@1190] GR3D_FREQ 64% cpu@54.687C soc2@53.875C soc0@52.906C gpu@54.031C tj@54.687C soc1@54.031C VDD_IN 6129mW/6003mW VDD_CPU_GPU_CV 1360mW/1286mW VDD_SOC 1600mW/1581mW
04-18-2026 12:36:18 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 47% cpu@54.75C soc2@53.968C soc0@52.968C gpu@54.156C tj@54.75C soc1@53.968C VDD_IN 6089mW/6016mW VDD_CPU_GPU_CV 1360mW/1297mW VDD_SOC 1600mW/1583mW
04-18-2026 12:36:19 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1243,0%@1510,1%@1510,0%@1510,0%@1113,75%@1113] GR3D_FREQ 63% cpu@54.625C soc2@53.937C soc0@53.187C gpu@54.312C tj@54.625C soc1@54C VDD_IN 6129mW/6030mW VDD_CPU_GPU_CV 1360mW/1305mW VDD_SOC 1600mW/1585mW
04-18-2026 12:36:19 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 57% cpu@54.718C soc2@53.906C soc0@53.062C gpu@54.156C tj@54.718C soc1@53.843C VDD_IN 6129mW/6041mW VDD_CPU_GPU_CV 1360mW/1311mW VDD_SOC 1600mW/1587mW
04-18-2026 12:36:20 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,1%@1510,1%@1510,2%@1190,76%@1190] GR3D_FREQ 64% cpu@54.5C soc2@54C soc0@53C gpu@54.281C tj@54.5C soc1@53.812C VDD_IN 6089mW/6045mW VDD_CPU_GPU_CV 1360mW/1316mW VDD_SOC 1600mW/1588mW
04-18-2026 12:36:20 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,3%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 65% cpu@54.593C soc2@53.906C soc0@53.031C gpu@54.531C tj@54.593C soc1@53.875C VDD_IN 6129mW/6053mW VDD_CPU_GPU_CV 1360mW/1320mW VDD_SOC 1600mW/1589mW
