04-18-2026 12:37:20 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1113,67%@1113,8%@1113,3%@1113,0%@729,0%@729] GR3D_FREQ 49% cpu@54.75C soc2@54C soc0@53C gpu@54.125C tj@54.75C soc1@54C VDD_IN 5658mW/5658mW VDD_CPU_GPU_CV 1041mW/1041mW VDD_SOC 1562mW/1562mW
04-18-2026 12:37:21 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,76%@1510,1%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 65% cpu@54.656C soc2@54.093C soc0@53.125C gpu@54.25C tj@54.781C soc1@54.031C VDD_IN 5969mW/5813mW VDD_CPU_GPU_CV 1280mW/1160mW VDD_SOC 1562mW/1562mW
04-18-2026 12:37:21 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,74%@1510,2%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 60% cpu@54.718C soc2@54.031C soc0@53.093C gpu@54.437C tj@54.718C soc1@54.031C VDD_IN 6089mW/5905mW VDD_CPU_GPU_CV 1320mW/1213mW VDD_SOC 1602mW/1575mW
04-18-2026 12:37:22 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,75%@1510,3%@1190,0%@1190,0%@729,0%@729] GR3D_FREQ 50% cpu@54.75C soc2@54.062C soc0@53.125C gpu@54.25C tj@54.75C soc1@54.031C VDD_IN 6089mW/5951mW VDD_CPU_GPU_CV 1360mW/1250mW VDD_SOC 1600mW/1581mW
04-18-2026 12:37:22 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,74%@1510,3%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 56% cpu@54.75C soc2@54.093C soc0@53.125C gpu@54.375C tj@54.75C soc1@54.312C VDD_IN 6089mW/5978mW VDD_CPU_GPU_CV 1360mW/1272mW VDD_SOC 1600mW/1585mW
04-18-2026 12:37:23 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,75%@1510,2%@1510,3%@1510,0%@729,0%@729] GR3D_FREQ 62% cpu@54.875C soc2@54.031C soc0@53.062C gpu@54.656C tj@54.75C soc1@54.187C VDD_IN 6129mW/6003mW VDD_CPU_GPU_CV 1360mW/1286mW VDD_SOC 1600mW/1587mW
04-18-2026 12:37:23 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,75%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 52% cpu@54.906C soc2@54.031C soc0@53.062C gpu@54.468C tj@54.906C soc1@54.125C VDD_IN 6129mW/6021mW VDD_CPU_GPU_CV 1360mW/1297mW VDD_SOC 1600mW/1589mW
04-18-2026 12:37:24 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,74%@1510,5%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 62% cpu@54.843C soc2@54.093C soc0@53.062C gpu@54.656C tj@54.843C soc1@54.093C VDD_IN 6129mW/6035mW VDD_CPU_GPU_CV 1360mW/1305mW VDD_SOC 1600mW/1590mW
04-18-2026 12:37:24 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1190,74%@1190,1%@1190,0%@1190,1%@729,0%@729] GR3D_FREQ 63% cpu@54.812C soc2@54.125C soc0@53.312C gpu@54.343C tj@54.812C soc1@54.125C VDD_IN 6089mW/6041mW VDD_CPU_GPU_CV 1360mW/1311mW VDD_SOC 1600mW/1591mW
04-18-2026 12:37:25 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,76%@1510,0%@1510,3%@1510,0%@729,0%@729] GR3D_FREQ 63% cpu@54.687C soc2@54.093C soc0@53.343C gpu@54.531C tj@54.687C soc1@54.062C VDD_IN 6129mW/6049mW VDD_CPU_GPU_CV 1360mW/1316mW VDD_SOC 1600mW/1592mW
04-18-2026 12:37:25 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1190,74%@1190,1%@1190,0%@1190,0%@729,0%@729] GR3D_FREQ 66% cpu@54.812C soc2@54.093C soc0@53.156C gpu@54.406C tj@54.812C soc1@54C VDD_IN 6129mW/6057mW VDD_CPU_GPU_CV 1360mW/1320mW VDD_SOC 1600mW/1593mW
04-18-2026 12:37:26 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,20%@1510,56%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 65% cpu@54.718C soc2@54.062C soc0@53.218C gpu@54.687C tj@54.718C soc1@54.062C VDD_IN 6169mW/6066mW VDD_CPU_GPU_CV 1400mW/1326mW VDD_SOC 1600mW/1593mW
04-18-2026 12:37:26 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,75%@1510,3%@1510,0%@729,0%@729] GR3D_FREQ 65% cpu@54.75C soc2@54.093C soc0@53.062C gpu@54.187C tj@54.75C soc1@54.343C VDD_IN 6129mW/6071mW VDD_CPU_GPU_CV 1360mW/1329mW VDD_SOC 1600mW/1594mW
04-18-2026 12:37:27 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,2%@1510,75%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 46% cpu@54.875C soc2@54.062C soc0@53.125C gpu@54.468C tj@54.875C soc1@54.156C VDD_IN 6129mW/6075mW VDD_CPU_GPU_CV 1360mW/1331mW VDD_SOC 1600mW/1594mW
04-18-2026 12:37:27 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,74%@1510,3%@1510,0%@729,0%@729] GR3D_FREQ 49% cpu@54.968C soc2@54.093C soc0@53.125C gpu@54.156C tj@54.968C soc1@54.218C VDD_IN 6089mW/6076mW VDD_CPU_GPU_CV 1360mW/1333mW VDD_SOC 1600mW/1595mW
04-18-2026 12:37:28 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,75%@1510,2%@1510,0%@729,0%@729] GR3D_FREQ 56% cpu@54.781C soc2@54.125C soc0@53.062C gpu@54.218C tj@54.781C soc1@54.093C VDD_IN 6089mW/6077mW VDD_CPU_GPU_CV 1360mW/1335mW VDD_SOC 1600mW/1595mW
