04-18-2026 12:28:30 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@883,0%@883,0%@883,0%@883,0%@1510,100%@1510] GR3D_FREQ 55% cpu@55.156C soc2@54C soc0@52.937C gpu@54.406C tj@55.156C soc1@54.156C VDD_IN 6560mW/6560mW VDD_CPU_GPU_CV 1757mW/1757mW VDD_SOC 1600mW/1600mW
04-18-2026 12:28:30 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@54.906C soc2@53.968C soc0@53.031C gpu@54.625C tj@54.875C soc1@54.062C VDD_IN 6640mW/6600mW VDD_CPU_GPU_CV 1794mW/1775mW VDD_SOC 1597mW/1598mW
04-18-2026 12:28:31 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 44% cpu@55.093C soc2@54.031C soc0@53.031C gpu@54.437C tj@55.093C soc1@54.156C VDD_IN 6680mW/6626mW VDD_CPU_GPU_CV 1834mW/1795mW VDD_SOC 1597mW/1598mW
04-18-2026 12:28:31 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.218C soc2@54.187C soc0@53C gpu@54.562C tj@55.218C soc1@54.062C VDD_IN 6680mW/6640mW VDD_CPU_GPU_CV 1834mW/1804mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:32 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,3%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@55C soc2@54.125C soc0@53.031C gpu@54.218C tj@55.312C soc1@54.093C VDD_IN 6680mW/6648mW VDD_CPU_GPU_CV 1873mW/1818mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:32 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.062C soc2@54.093C soc0@53C gpu@54.343C tj@55.062C soc1@54.031C VDD_IN 6680mW/6653mW VDD_CPU_GPU_CV 1834mW/1821mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:33 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.093C soc2@54.062C soc0@53.031C gpu@54.406C tj@55.093C soc1@54.093C VDD_IN 6680mW/6657mW VDD_CPU_GPU_CV 1873mW/1828mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:33 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@54.843C soc2@54.031C soc0@53.031C gpu@54.625C tj@55.156C soc1@54.062C VDD_IN 6680mW/6660mW VDD_CPU_GPU_CV 1834mW/1829mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:34 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,3%@729,2%@729,3%@1510,100%@1510] GR3D_FREQ 50% cpu@54.968C soc2@54.125C soc0@53.25C gpu@54.187C tj@54.968C soc1@54.062C VDD_IN 6680mW/6662mW VDD_CPU_GPU_CV 1834mW/1829mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:34 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@54.937C soc2@54.187C soc0@53.25C gpu@54.187C tj@54.937C soc1@54.093C VDD_IN 6680mW/6664mW VDD_CPU_GPU_CV 1834mW/1830mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:35 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@54.906C soc2@54.125C soc0@53.218C gpu@54.343C tj@54.906C soc1@54.031C VDD_IN 6680mW/6665mW VDD_CPU_GPU_CV 1873mW/1834mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:35 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@54.906C soc2@54.125C soc0@53.187C gpu@54.218C tj@54.906C soc1@54.062C VDD_IN 6680mW/6666mW VDD_CPU_GPU_CV 1834mW/1834mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:36 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 47% cpu@54.968C soc2@54.125C soc0@53.156C gpu@54.437C tj@54.968C soc1@54.062C VDD_IN 6680mW/6667mW VDD_CPU_GPU_CV 1834mW/1834mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:36 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@54.968C soc2@54.093C soc0@53.25C gpu@54.5C tj@54.968C soc1@54.093C VDD_IN 6680mW/6668mW VDD_CPU_GPU_CV 1834mW/1834mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:37 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,3%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 46% cpu@54.843C soc2@54.125C soc0@53.187C gpu@54.812C tj@54.843C soc1@54.031C VDD_IN 6680mW/6669mW VDD_CPU_GPU_CV 1873mW/1836mW VDD_SOC 1597mW/1597mW
