04-18-2026 12:32:50 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@883,2%@883,1%@883,2%@883,32%@1510,66%@1510] GR3D_FREQ 49% cpu@55.562C soc2@54.625C soc0@53.625C gpu@55.218C tj@55.406C soc1@54.75C VDD_IN 6009mW/6009mW VDD_CPU_GPU_CV 1360mW/1360mW VDD_SOC 1562mW/1562mW
04-18-2026 12:32:50 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.625C soc2@54.656C soc0@53.718C gpu@54.718C tj@55.625C soc1@54.75C VDD_IN 6480mW/6244mW VDD_CPU_GPU_CV 1717mW/1538mW VDD_SOC 1600mW/1581mW
04-18-2026 12:32:51 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@1510,3%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.843C soc2@54.625C soc0@53.687C gpu@54.875C tj@55.843C soc1@54.781C VDD_IN 6640mW/6376mW VDD_CPU_GPU_CV 1834mW/1637mW VDD_SOC 1597mW/1586mW
04-18-2026 12:32:51 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@996,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@56C soc2@54.718C soc0@53.718C gpu@55.093C tj@56C soc1@54.75C VDD_IN 6680mW/6452mW VDD_CPU_GPU_CV 1834mW/1686mW VDD_SOC 1597mW/1589mW
04-18-2026 12:32:52 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@55.687C soc2@54.656C soc0@53.687C gpu@55.312C tj@55.687C soc1@54.875C VDD_IN 6720mW/6505mW VDD_CPU_GPU_CV 1873mW/1723mW VDD_SOC 1597mW/1590mW
04-18-2026 12:32:52 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@916,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@55.843C soc2@54.781C soc0@53.75C gpu@55C tj@55.843C soc1@54.843C VDD_IN 6720mW/6541mW VDD_CPU_GPU_CV 1834mW/1742mW VDD_SOC 1597mW/1591mW
04-18-2026 12:32:53 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,2%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.906C soc2@54.843C soc0@53.687C gpu@54.906C tj@55.906C soc1@54.781C VDD_IN 6720mW/6567mW VDD_CPU_GPU_CV 1873mW/1760mW VDD_SOC 1597mW/1592mW
04-18-2026 12:32:53 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.718C soc2@54.812C soc0@53.687C gpu@54.843C tj@55.718C soc1@54.718C VDD_IN 6720mW/6586mW VDD_CPU_GPU_CV 1834mW/1769mW VDD_SOC 1597mW/1593mW
04-18-2026 12:32:54 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@55.75C soc2@54.875C soc0@53.937C gpu@54.968C tj@55.75C soc1@54.75C VDD_IN 6720mW/6601mW VDD_CPU_GPU_CV 1873mW/1781mW VDD_SOC 1597mW/1593mW
04-18-2026 12:32:54 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.625C soc2@54.781C soc0@53.937C gpu@55.031C tj@55.625C soc1@54.812C VDD_IN 6680mW/6608mW VDD_CPU_GPU_CV 1873mW/1790mW VDD_SOC 1597mW/1593mW
04-18-2026 12:32:55 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.531C soc2@54.843C soc0@53.906C gpu@55.218C tj@55.531C soc1@54.656C VDD_IN 6680mW/6615mW VDD_CPU_GPU_CV 1873mW/1798mW VDD_SOC 1597mW/1594mW
