04-18-2026 15:57:36 RAM 5200/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@883,3%@883,3%@883,0%@883,1%@883,72%@883] GR3D_FREQ 63% cpu@55.343C soc2@54.562C soc0@53.687C gpu@54.625C tj@55.343C soc1@54.625C VDD_IN 5889mW/5889mW VDD_CPU_GPU_CV 1200mW/1200mW VDD_SOC 1602mW/1602mW
04-18-2026 15:57:36 RAM 5200/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@883,73%@883] GR3D_FREQ 65% cpu@55.25C soc2@54.562C soc0@53.718C gpu@54.718C tj@55.25C soc1@54.562C VDD_IN 6290mW/6089mW VDD_CPU_GPU_CV 1397mW/1298mW VDD_SOC 1640mW/1621mW
04-18-2026 15:57:37 RAM 5200/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@806,68%@806] GR3D_FREQ 63% cpu@55.218C soc2@54.593C soc0@53.656C gpu@54.687C tj@55.218C soc1@54.562C VDD_IN 6480mW/6219mW VDD_CPU_GPU_CV 1517mW/1371mW VDD_SOC 1640mW/1627mW
04-18-2026 15:57:37 RAM 5200/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,3%@960,72%@960] GR3D_FREQ 72% cpu@55.218C soc2@54.625C soc0@53.656C gpu@54.718C tj@55.218C soc1@54.593C VDD_IN 6440mW/6274mW VDD_CPU_GPU_CV 1517mW/1407mW VDD_SOC 1640mW/1630mW
04-18-2026 15:57:38 RAM 5200/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@883,71%@883] GR3D_FREQ 48% cpu@55.312C soc2@54.562C soc0@53.656C gpu@54.906C tj@55.312C soc1@54.75C VDD_IN 6480mW/6315mW VDD_CPU_GPU_CV 1557mW/1437mW VDD_SOC 1640mW/1632mW
04-18-2026 15:57:38 RAM 5200/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [3%@1510,2%@1510,0%@729,1%@729,2%@883,70%@883] GR3D_FREQ 65% cpu@55.437C soc2@54.562C soc0@53.593C gpu@54.75C tj@55.437C soc1@54.687C VDD_IN 6480mW/6343mW VDD_CPU_GPU_CV 1517mW/1450mW VDD_SOC 1640mW/1633mW
04-18-2026 15:57:39 RAM 5199/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,1%@729,1%@729,0%@729,0%@883,75%@883] GR3D_FREQ 49% cpu@55.593C soc2@54.625C soc0@53.593C gpu@54.843C tj@55.593C soc1@54.656C VDD_IN 6440mW/6357mW VDD_CPU_GPU_CV 1517mW/1460mW VDD_SOC 1640mW/1634mW
04-18-2026 15:57:39 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [5%@1218,1%@1157,3%@729,3%@729,0%@806,69%@806] GR3D_FREQ 72% cpu@55.343C soc2@54.593C soc0@53.593C gpu@55.093C tj@55.343C soc1@54.562C VDD_IN 6520mW/6377mW VDD_CPU_GPU_CV 1557mW/1472mW VDD_SOC 1680mW/1640mW
04-18-2026 15:57:40 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@883,72%@883] GR3D_FREQ 64% cpu@55.406C soc2@54.656C soc0@53.593C gpu@55.281C tj@55.406C soc1@54.593C VDD_IN 6440mW/6384mW VDD_CPU_GPU_CV 1517mW/1477mW VDD_SOC 1640mW/1640mW
04-18-2026 15:57:40 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [3%@1510,0%@1510,1%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 49% cpu@55.281C soc2@54.625C soc0@53.843C gpu@55.093C tj@55.281C soc1@54.562C VDD_IN 6400mW/6385mW VDD_CPU_GPU_CV 1517mW/1481mW VDD_SOC 1640mW/1640mW
04-18-2026 15:57:41 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@1510,2%@1510,0%@883,68%@883] GR3D_FREQ 62% cpu@55.281C soc2@54.625C soc0@53.781C gpu@55.25C tj@55.281C soc1@54.562C VDD_IN 6520mW/6398mW VDD_CPU_GPU_CV 1557mW/1488mW VDD_SOC 1680mW/1643mW
04-18-2026 15:57:41 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,1%@729,0%@729,0%@729,2%@883,73%@883] GR3D_FREQ 49% cpu@55.187C soc2@54.625C soc0@53.687C gpu@55.062C tj@55.187C soc1@54.562C VDD_IN 6440mW/6401mW VDD_CPU_GPU_CV 1517mW/1490mW VDD_SOC 1640mW/1643mW
04-18-2026 15:57:42 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,0%@1510,2%@1510,0%@1510,1%@806,72%@806] GR3D_FREQ 72% cpu@55.218C soc2@54.625C soc0@53.656C gpu@55.25C tj@55.25C soc1@54.593C VDD_IN 6480mW/6407mW VDD_CPU_GPU_CV 1517mW/1492mW VDD_SOC 1640mW/1643mW
04-18-2026 15:57:42 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@883,70%@883] GR3D_FREQ 64% cpu@55.531C soc2@54.531C soc0@53.718C gpu@54.937C tj@55.531C soc1@54.843C VDD_IN 6480mW/6412mW VDD_CPU_GPU_CV 1517mW/1494mW VDD_SOC 1640mW/1643mW
04-18-2026 15:57:43 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [3%@1510,0%@1510,1%@729,0%@729,2%@883,74%@883] GR3D_FREQ 51% cpu@55.718C soc2@54.562C soc0@53.656C gpu@55.093C tj@55.718C soc1@54.875C VDD_IN 6440mW/6414mW VDD_CPU_GPU_CV 1517mW/1495mW VDD_SOC 1640mW/1642mW
04-18-2026 15:57:43 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [8%@1510,51%@1510,0%@1510,1%@1510,0%@729,9%@729] GR3D_FREQ 69% cpu@55.343C soc2@54.625C soc0@53.687C gpu@54.843C tj@55.343C soc1@54.687C VDD_IN 6480mW/6418mW VDD_CPU_GPU_CV 1517mW/1497mW VDD_SOC 1680mW/1645mW
04-18-2026 15:57:44 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,73%@1510,7%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 49% cpu@55.593C soc2@54.656C soc0@53.625C gpu@54.843C tj@55.593C soc1@54.656C VDD_IN 6440mW/6419mW VDD_CPU_GPU_CV 1477mW/1496mW VDD_SOC 1640mW/1644mW
04-18-2026 15:57:44 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [2%@960,70%@960,0%@960,0%@960,0%@729,0%@729] GR3D_FREQ 60% cpu@55.312C soc2@54.75C soc0@53.593C gpu@54.75C tj@55.312C soc1@54.562C VDD_IN 6440mW/6421mW VDD_CPU_GPU_CV 1517mW/1497mW VDD_SOC 1640mW/1644mW
04-18-2026 15:57:45 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [4%@1510,70%@1510,1%@1510,3%@1510,1%@729,0%@729] GR3D_FREQ 59% cpu@55.343C soc2@54.75C soc0@53.812C gpu@54.781C tj@55.343C soc1@54.562C VDD_IN 6480mW/6424mW VDD_CPU_GPU_CV 1517mW/1498mW VDD_SOC 1680mW/1646mW
04-18-2026 15:57:45 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [3%@1510,70%@1510,0%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 50% cpu@55.218C soc2@54.625C soc0@53.781C gpu@54.843C tj@55.218C soc1@54.656C VDD_IN 6440mW/6424mW VDD_CPU_GPU_CV 1517mW/1499mW VDD_SOC 1680mW/1648mW
04-18-2026 15:57:46 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [2%@1510,70%@1510,4%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 52% cpu@55.312C soc2@54.687C soc0@53.75C gpu@54.875C tj@55.312C soc1@54.593C VDD_IN 6480mW/6427mW VDD_CPU_GPU_CV 1557mW/1501mW VDD_SOC 1680mW/1649mW
04-18-2026 15:57:46 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [2%@1510,71%@1510,0%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 64% cpu@55.593C soc2@54.625C soc0@53.75C gpu@54.937C tj@55.593C soc1@54.843C VDD_IN 6440mW/6428mW VDD_CPU_GPU_CV 1517mW/1502mW VDD_SOC 1680mW/1651mW
04-18-2026 15:57:47 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [4%@883,72%@883,0%@883,0%@883,0%@729,0%@729] GR3D_FREQ 58% cpu@55.343C soc2@54.656C soc0@53.687C gpu@54.906C tj@55.343C soc1@54.812C VDD_IN 6440mW/6428mW VDD_CPU_GPU_CV 1517mW/1503mW VDD_SOC 1640mW/1650mW
04-18-2026 15:57:47 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [3%@883,69%@883,1%@883,0%@883,1%@729,0%@729] GR3D_FREQ 65% cpu@55.437C soc2@54.687C soc0@53.656C gpu@55C tj@55.437C soc1@54.781C VDD_IN 6520mW/6432mW VDD_CPU_GPU_CV 1557mW/1505mW VDD_SOC 1680mW/1651mW
04-18-2026 15:57:48 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [2%@1510,73%@1510,0%@1510,1%@1510,1%@729,1%@729] GR3D_FREQ 67% cpu@55.562C soc2@54.781C soc0@53.625C gpu@54.843C tj@55.562C soc1@54.625C VDD_IN 6440mW/6432mW VDD_CPU_GPU_CV 1517mW/1505mW VDD_SOC 1680mW/1652mW
04-18-2026 15:57:48 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [2%@1510,68%@1510,1%@1510,0%@1510,2%@960,0%@960] GR3D_FREQ 48% cpu@55.343C soc2@54.718C soc0@53.687C gpu@54.906C tj@55.343C soc1@54.656C VDD_IN 6440mW/6433mW VDD_CPU_GPU_CV 1517mW/1506mW VDD_SOC 1640mW/1652mW
04-18-2026 15:57:49 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,4%@883,65%@883] GR3D_FREQ 63% cpu@55.343C soc2@54.781C soc0@53.843C gpu@55.031C tj@55.343C soc1@54.562C VDD_IN 6520mW/6436mW VDD_CPU_GPU_CV 1557mW/1508mW VDD_SOC 1680mW/1653mW
04-18-2026 15:57:49 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [5%@1510,0%@1510,5%@1510,1%@1510,3%@960,73%@960] GR3D_FREQ 50% cpu@55.312C soc2@54.625C soc0@53.906C gpu@54.906C tj@55.312C soc1@54.687C VDD_IN 6440mW/6436mW VDD_CPU_GPU_CV 1517mW/1508mW VDD_SOC 1640mW/1652mW
04-18-2026 15:57:50 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [3%@1510,0%@1510,0%@1510,3%@1510,3%@883,69%@883] GR3D_FREQ 75% cpu@55.343C soc2@54.656C soc0@53.812C gpu@55.093C tj@55.343C soc1@54.562C VDD_IN 6520mW/6439mW VDD_CPU_GPU_CV 1557mW/1510mW VDD_SOC 1680mW/1653mW
04-18-2026 15:57:50 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,0%@806,72%@806] GR3D_FREQ 49% cpu@55.781C soc2@54.625C soc0@53.718C gpu@55.218C tj@55.781C soc1@54.875C VDD_IN 6480mW/6440mW VDD_CPU_GPU_CV 1517mW/1510mW VDD_SOC 1680mW/1654mW
04-18-2026 15:57:51 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1219,1%@1247,1%@1510,2%@1510,3%@883,72%@883] GR3D_FREQ 57% cpu@55.406C soc2@54.625C soc0@53.781C gpu@55.093C tj@55.406C soc1@54.875C VDD_IN 6480mW/6441mW VDD_CPU_GPU_CV 1517mW/1510mW VDD_SOC 1640mW/1654mW
04-18-2026 15:57:51 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,3%@1510,2%@1510,0%@1510,0%@883,68%@883] GR3D_FREQ 62% cpu@55.437C soc2@54.687C soc0@53.625C gpu@55.25C tj@55.281C soc1@54.812C VDD_IN 6560mW/6445mW VDD_CPU_GPU_CV 1557mW/1512mW VDD_SOC 1680mW/1655mW
04-18-2026 15:57:52 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,0%@1510,0%@1510,2%@1510,0%@883,74%@883] GR3D_FREQ 50% cpu@55.656C soc2@54.656C soc0@53.593C gpu@54.812C tj@55.656C soc1@54.812C VDD_IN 6440mW/6445mW VDD_CPU_GPU_CV 1517mW/1512mW VDD_SOC 1640mW/1654mW
04-18-2026 15:57:52 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,2%@806,73%@806] GR3D_FREQ 74% cpu@55.375C soc2@54.656C soc0@53.625C gpu@55.156C tj@55.781C soc1@54.781C VDD_IN 6440mW/6445mW VDD_CPU_GPU_CV 1517mW/1512mW VDD_SOC 1640mW/1654mW
04-18-2026 15:57:53 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,2%@1510,3%@1510,3%@1510,0%@883,70%@883] GR3D_FREQ 49% cpu@55.468C soc2@54.75C soc0@53.656C gpu@54.781C tj@55.468C soc1@54.687C VDD_IN 6520mW/6447mW VDD_CPU_GPU_CV 1557mW/1513mW VDD_SOC 1680mW/1654mW
04-18-2026 15:57:53 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,2%@806,72%@806] GR3D_FREQ 75% cpu@55.281C soc2@54.687C soc0@53.906C gpu@55.187C tj@55.281C soc1@54.718C VDD_IN 6440mW/6447mW VDD_CPU_GPU_CV 1517mW/1513mW VDD_SOC 1640mW/1654mW
