04-18-2026 15:47:19 RAM 4252/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@883,1%@883,2%@883,0%@883,0%@1510,98%@1510] GR3D_FREQ 69% cpu@57.343C soc2@56.562C soc0@55.531C gpu@57.031C tj@57.343C soc1@56.375C VDD_IN 6908mW/6908mW VDD_CPU_GPU_CV 1873mW/1873mW VDD_SOC 1717mW/1717mW
04-18-2026 15:47:19 RAM 4252/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,2%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@57.531C soc2@56.531C soc0@55.531C gpu@57.218C tj@57.531C soc1@56.468C VDD_IN 7615mW/7261mW VDD_CPU_GPU_CV 2305mW/2089mW VDD_SOC 1791mW/1754mW
04-18-2026 15:47:20 RAM 4252/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 69% cpu@57.281C soc2@56.562C soc0@55.593C gpu@56.937C tj@57.281C soc1@56.437C VDD_IN 7842mW/7455mW VDD_CPU_GPU_CV 2503mW/2227mW VDD_SOC 1791mW/1766mW
04-18-2026 15:47:20 RAM 4252/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,3%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 72% cpu@57.343C soc2@56.593C soc0@55.625C gpu@57.062C tj@57.343C soc1@56.375C VDD_IN 7881mW/7561mW VDD_CPU_GPU_CV 2543mW/2306mW VDD_SOC 1791mW/1772mW
04-18-2026 15:47:21 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [5%@1510,1%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 66% cpu@57.468C soc2@56.593C soc0@55.531C gpu@57.031C tj@57.468C soc1@56.5C VDD_IN 7961mW/7641mW VDD_CPU_GPU_CV 2579mW/2360mW VDD_SOC 1831mW/1784mW
04-18-2026 15:47:21 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@57.437C soc2@56.687C soc0@55.625C gpu@57.093C tj@57.437C soc1@56.375C VDD_IN 8041mW/7708mW VDD_CPU_GPU_CV 2618mW/2403mW VDD_SOC 1828mW/1791mW
04-18-2026 15:47:22 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,1%@1510,1%@892,3%@729,1%@1510,100%@1510] GR3D_FREQ 62% cpu@57.343C soc2@56.625C soc0@55.625C gpu@57.156C tj@57.343C soc1@56.406C VDD_IN 7961mW/7744mW VDD_CPU_GPU_CV 2579mW/2428mW VDD_SOC 1831mW/1797mW
04-18-2026 15:47:22 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 72% cpu@57.75C soc2@56.718C soc0@55.531C gpu@57.281C tj@57.75C soc1@56.375C VDD_IN 7921mW/7766mW VDD_CPU_GPU_CV 2579mW/2447mW VDD_SOC 1831mW/1801mW
04-18-2026 15:47:23 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 57% cpu@57.812C soc2@56.625C soc0@55.562C gpu@57.562C tj@57.812C soc1@56.656C VDD_IN 7921mW/7783mW VDD_CPU_GPU_CV 2579mW/2462mW VDD_SOC 1831mW/1804mW
04-18-2026 15:47:23 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 71% cpu@57.562C soc2@56.687C soc0@55.531C gpu@57.343C tj@57.562C soc1@56.5C VDD_IN 7961mW/7801mW VDD_CPU_GPU_CV 2579mW/2473mW VDD_SOC 1791mW/1803mW
04-18-2026 15:47:24 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 51% cpu@57.593C soc2@56.812C soc0@55.5C gpu@57.593C tj@57.593C soc1@56.5C VDD_IN 8001mW/7819mW VDD_CPU_GPU_CV 2618mW/2486mW VDD_SOC 1831mW/1805mW
04-18-2026 15:47:24 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [3%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@57.562C soc2@56.781C soc0@55.5C gpu@57.375C tj@57.562C soc1@56.468C VDD_IN 8041mW/7837mW VDD_CPU_GPU_CV 2618mW/2497mW VDD_SOC 1828mW/1807mW
04-18-2026 15:47:25 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@57.562C soc2@56.843C soc0@55.718C gpu@57.468C tj@57.562C soc1@56.5C VDD_IN 7961mW/7847mW VDD_CPU_GPU_CV 2579mW/2504mW VDD_SOC 1831mW/1809mW
04-18-2026 15:47:25 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [3%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 70% cpu@57.375C soc2@56.687C soc0@55.718C gpu@57C tj@57.593C soc1@56.468C VDD_IN 7961mW/7855mW VDD_CPU_GPU_CV 2583mW/2509mW VDD_SOC 1791mW/1808mW
04-18-2026 15:47:26 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,3%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 56% cpu@57.468C soc2@56.781C soc0@55.718C gpu@57.187C tj@57.468C soc1@56.406C VDD_IN 7921mW/7859mW VDD_CPU_GPU_CV 2579mW/2514mW VDD_SOC 1831mW/1809mW
04-18-2026 15:47:26 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 52% cpu@57.593C soc2@56.718C soc0@55.687C gpu@57.375C tj@57.593C soc1@56.406C VDD_IN 8001mW/7868mW VDD_CPU_GPU_CV 2579mW/2518mW VDD_SOC 1828mW/1810mW
04-18-2026 15:47:27 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,0%@1510,3%@1510,0%@1510,100%@1510] GR3D_FREQ 64% cpu@57.343C soc2@56.718C soc0@55.656C gpu@57.437C tj@57.437C soc1@56.468C VDD_IN 8001mW/7876mW VDD_CPU_GPU_CV 2618mW/2524mW VDD_SOC 1828mW/1811mW
04-18-2026 15:47:27 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,3%@729,0%@729,0%@729,3%@1510,100%@1510] GR3D_FREQ 50% cpu@57.531C soc2@56.781C soc0@55.656C gpu@57.187C tj@57.531C soc1@56.437C VDD_IN 8001mW/7883mW VDD_CPU_GPU_CV 2618mW/2529mW VDD_SOC 1831mW/1812mW
04-18-2026 15:47:28 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 62% cpu@57.5C soc2@56.75C soc0@55.625C gpu@57.5C tj@57.5C soc1@56.656C VDD_IN 7921mW/7885mW VDD_CPU_GPU_CV 2583mW/2532mW VDD_SOC 1831mW/1813mW
04-18-2026 15:47:28 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 72% cpu@57.906C soc2@56.687C soc0@55.625C gpu@57.031C tj@57.906C soc1@56.75C VDD_IN 7921mW/7887mW VDD_CPU_GPU_CV 2583mW/2534mW VDD_SOC 1831mW/1814mW
04-18-2026 15:47:29 RAM 4253/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,3%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 51% cpu@57.468C soc2@56.718C soc0@55.593C gpu@57.125C tj@57.468C soc1@56.687C VDD_IN 7921mW/7888mW VDD_CPU_GPU_CV 2579mW/2536mW VDD_SOC 1831mW/1815mW
04-18-2026 15:47:29 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [2%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@57.656C soc2@56.687C soc0@55.562C gpu@57.281C tj@57.468C soc1@56.625C VDD_IN 8001mW/7893mW VDD_CPU_GPU_CV 2618mW/2540mW VDD_SOC 1828mW/1816mW
04-18-2026 15:47:30 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [3%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@57.687C soc2@56.656C soc0@55.593C gpu@57.218C tj@57.687C soc1@56.656C VDD_IN 8001mW/7898mW VDD_CPU_GPU_CV 2618mW/2543mW VDD_SOC 1828mW/1816mW
04-18-2026 15:47:30 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [3%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@57.875C soc2@56.656C soc0@55.562C gpu@57.25C tj@57.875C soc1@56.593C VDD_IN 7961mW/7901mW VDD_CPU_GPU_CV 2618mW/2547mW VDD_SOC 1831mW/1817mW
04-18-2026 15:47:31 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 53% cpu@57.656C soc2@56.843C soc0@55.687C gpu@57.406C tj@57.656C soc1@56.656C VDD_IN 7921mW/7901mW VDD_CPU_GPU_CV 2579mW/2548mW VDD_SOC 1831mW/1817mW
04-18-2026 15:47:31 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [3%@1510,1%@729,0%@729,0%@729,3%@1510,100%@1510] GR3D_FREQ 68% cpu@57.718C soc2@56.656C soc0@55.531C gpu@57.437C tj@57.718C soc1@56.687C VDD_IN 7921mW/7902mW VDD_CPU_GPU_CV 2579mW/2549mW VDD_SOC 1831mW/1818mW
04-18-2026 15:47:32 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@57.75C soc2@56.812C soc0@55.593C gpu@57.156C tj@57.75C soc1@56.562C VDD_IN 7961mW/7904mW VDD_CPU_GPU_CV 2579mW/2550mW VDD_SOC 1831mW/1818mW
04-18-2026 15:47:33 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,1%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 66% cpu@57.562C soc2@56.781C soc0@55.593C gpu@57.25C tj@57.562C soc1@56.531C VDD_IN 8001mW/7908mW VDD_CPU_GPU_CV 2618mW/2552mW VDD_SOC 1828mW/1819mW
04-18-2026 15:47:33 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@57.75C soc2@56.843C soc0@55.843C gpu@57.062C tj@57.75C soc1@56.531C VDD_IN 7961mW/7910mW VDD_CPU_GPU_CV 2618mW/2555mW VDD_SOC 1831mW/1819mW
04-18-2026 15:47:34 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,2%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 71% cpu@57.562C soc2@56.875C soc0@55.781C gpu@57.25C tj@57.687C soc1@56.5C VDD_IN 7961mW/7911mW VDD_CPU_GPU_CV 2579mW/2556mW VDD_SOC 1831mW/1819mW
04-18-2026 15:47:34 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@57.593C soc2@56.843C soc0@55.781C gpu@57.25C tj@57.593C soc1@56.531C VDD_IN 7921mW/7912mW VDD_CPU_GPU_CV 2579mW/2556mW VDD_SOC 1831mW/1820mW
04-18-2026 15:47:35 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [3%@1510,2%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@57.593C soc2@56.781C soc0@55.812C gpu@57.437C tj@57.593C soc1@56.562C VDD_IN 7881mW/7911mW VDD_CPU_GPU_CV 2579mW/2557mW VDD_SOC 1831mW/1820mW
04-18-2026 15:47:35 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 58% cpu@57.593C soc2@56.75C soc0@55.687C gpu@57.156C tj@57.593C soc1@56.5C VDD_IN 7961mW/7912mW VDD_CPU_GPU_CV 2579mW/2558mW VDD_SOC 1831mW/1820mW
04-18-2026 15:47:36 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,3%@729,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 73% cpu@57.5C soc2@56.843C soc0@55.781C gpu@57.25C tj@57.5C soc1@56.5C VDD_IN 8001mW/7915mW VDD_CPU_GPU_CV 2618mW/2559mW VDD_SOC 1828mW/1821mW
04-18-2026 15:47:36 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 62% cpu@57.875C soc2@56.781C soc0@55.687C gpu@57.593C tj@57.875C soc1@56.718C VDD_IN 7961mW/7916mW VDD_CPU_GPU_CV 2579mW/2560mW VDD_SOC 1831mW/1821mW
04-18-2026 15:47:37 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,3%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 71% cpu@57.593C soc2@56.843C soc0@55.687C gpu@57.156C tj@57.593C soc1@56.718C VDD_IN 7921mW/7916mW VDD_CPU_GPU_CV 2579mW/2560mW VDD_SOC 1831mW/1821mW
04-18-2026 15:47:37 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 65% cpu@57.5C soc2@56.843C soc0@55.75C gpu@57.187C tj@57.5C soc1@56.656C VDD_IN 7921mW/7916mW VDD_CPU_GPU_CV 2579mW/2561mW VDD_SOC 1831mW/1821mW
04-18-2026 15:47:38 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@57.781C soc2@56.75C soc0@55.625C gpu@57.343C tj@57.781C soc1@56.687C VDD_IN 7921mW/7916mW VDD_CPU_GPU_CV 2583mW/2561mW VDD_SOC 1831mW/1822mW
04-18-2026 15:47:38 RAM 4261/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,3%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 67% cpu@57.906C soc2@56.781C soc0@55.656C gpu@57.562C tj@57.906C soc1@56.593C VDD_IN 8001mW/7919mW VDD_CPU_GPU_CV 2618mW/2563mW VDD_SOC 1828mW/1822mW
