04-18-2026 18:34:00 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [10%@1510,41%@1510,2%@1510,0%@1510,2%@729,30%@729] GR3D_FREQ 99% cpu@60.937C soc2@60.437C soc0@59.312C gpu@61.187C tj@61.187C soc1@59.968C VDD_IN 9007mW/9007mW VDD_CPU_GPU_CV 3085mW/3085mW VDD_SOC 2060mW/2060mW
04-18-2026 18:34:01 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [2%@1510,61%@729,1%@729,1%@729,4%@1420,11%@1420] GR3D_FREQ 98% cpu@60.968C soc2@60.625C soc0@59.312C gpu@61.531C tj@61.531C soc1@60.25C VDD_IN 10701mW/9854mW VDD_CPU_GPU_CV 4165mW/3625mW VDD_SOC 2247mW/2153mW
04-18-2026 18:34:01 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,80%@1510] GR3D_FREQ 71% cpu@61.156C soc2@60.656C soc0@59.281C gpu@61.687C tj@61.687C soc1@60.093C VDD_IN 11256mW/10321mW VDD_CPU_GPU_CV 4590mW/3946mW VDD_SOC 2322mW/2209mW
04-18-2026 18:34:02 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,1%@1510,76%@1344] GR3D_FREQ 98% cpu@61.562C soc2@60.687C soc0@59.437C gpu@61.843C tj@61.843C soc1@60.281C VDD_IN 11453mW/10604mW VDD_CPU_GPU_CV 4700mW/4135mW VDD_SOC 2318mW/2236mW
04-18-2026 18:34:02 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [3%@1510,3%@1510,0%@729,0%@729,0%@1510,80%@1510] GR3D_FREQ 72% cpu@61.312C soc2@60.75C soc0@59.406C gpu@62C tj@62C soc1@60.281C VDD_IN 11532mW/10789mW VDD_CPU_GPU_CV 4778mW/4263mW VDD_SOC 2357mW/2260mW
04-18-2026 18:34:03 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [2%@1510,0%@1510,3%@1510,2%@1510,0%@1510,76%@1510] GR3D_FREQ 98% cpu@61.437C soc2@60.812C soc0@59.437C gpu@61.718C tj@61.718C soc1@60.281C VDD_IN 11493mW/10907mW VDD_CPU_GPU_CV 4739mW/4342mW VDD_SOC 2357mW/2276mW
04-18-2026 18:34:03 RAM 5676/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@729,1%@729,0%@1510,80%@1510] GR3D_FREQ 99% cpu@61.5C soc2@60.843C soc0@59.468C gpu@61.875C tj@61.875C soc1@60.187C VDD_IN 11532mW/10996mW VDD_CPU_GPU_CV 4778mW/4405mW VDD_SOC 2357mW/2288mW
04-18-2026 18:34:04 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [5%@1510,1%@729,3%@729,5%@729,0%@1510,76%@1510] GR3D_FREQ 98% cpu@61.718C soc2@60.906C soc0@59.437C gpu@61.875C tj@61.875C soc1@60.25C VDD_IN 11493mW/11058mW VDD_CPU_GPU_CV 4778mW/4451mW VDD_SOC 2357mW/2296mW
04-18-2026 18:34:04 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,3%@1510,80%@1510] GR3D_FREQ 99% cpu@61.437C soc2@60.906C soc0@59.468C gpu@62.187C tj@62.187C soc1@60.312C VDD_IN 11532mW/11111mW VDD_CPU_GPU_CV 4778mW/4487mW VDD_SOC 2357mW/2303mW
04-18-2026 18:34:05 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@729,3%@729,0%@1510,76%@1510] GR3D_FREQ 81% cpu@61.5C soc2@60.906C soc0@59.5C gpu@62.281C tj@62.281C soc1@60.312C VDD_IN 11532mW/11153mW VDD_CPU_GPU_CV 4817mW/4520mW VDD_SOC 2357mW/2308mW
04-18-2026 18:34:05 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,78%@1510] GR3D_FREQ 98% cpu@61.625C soc2@61.031C soc0@59.531C gpu@62.156C tj@62.156C soc1@60.281C VDD_IN 11611mW/11194mW VDD_CPU_GPU_CV 4856mW/4551mW VDD_SOC 2357mW/2313mW
