04-18-2026 12:44:24 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@883,5%@883,0%@883,0%@883,14%@1510,82%@1510] GR3D_FREQ 48% cpu@58.562C soc2@57.937C soc0@57C gpu@58.843C tj@58.843C soc1@57.656C VDD_IN 7814mW/7814mW VDD_CPU_GPU_CV 2503mW/2503mW VDD_SOC 1831mW/1831mW
04-18-2026 12:44:25 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,3%@1510,0%@1510,3%@1510,1%@1510,100%@1510] GR3D_FREQ 63% cpu@59.093C soc2@58.031C soc0@56.937C gpu@58.593C tj@59.093C soc1@57.968C VDD_IN 8823mW/8318mW VDD_CPU_GPU_CV 3169mW/2836mW VDD_SOC 1944mW/1887mW
04-18-2026 12:44:25 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 86% cpu@58.718C soc2@58.156C soc0@56.937C gpu@58.687C tj@58.718C soc1@58C VDD_IN 9086mW/8574mW VDD_CPU_GPU_CV 3361mW/3011mW VDD_SOC 1941mW/1905mW
04-18-2026 12:44:26 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 37% cpu@58.968C soc2@58.125C soc0@57C gpu@58.875C tj@58.968C soc1@57.937C VDD_IN 9166mW/8722mW VDD_CPU_GPU_CV 3480mW/3128mW VDD_SOC 1980mW/1924mW
04-18-2026 12:44:27 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 72% cpu@59.156C soc2@58.25C soc0@56.968C gpu@59C tj@59.156C soc1@57.906C VDD_IN 9309mW/8839mW VDD_CPU_GPU_CV 3553mW/3213mW VDD_SOC 1980mW/1935mW
04-18-2026 12:44:27 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 41% cpu@59.218C soc2@58.156C soc0@57.062C gpu@58.968C tj@59.218C soc1@57.937C VDD_IN 9245mW/8907mW VDD_CPU_GPU_CV 3520mW/3264mW VDD_SOC 1980mW/1942mW
04-18-2026 12:44:28 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@58.968C soc2@58.218C soc0@56.968C gpu@59.156C tj@59.156C soc1@58C VDD_IN 9324mW/8966mW VDD_CPU_GPU_CV 3553mW/3305mW VDD_SOC 1980mW/1948mW
04-18-2026 12:44:28 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,3%@1510,1%@1510,100%@1510] GR3D_FREQ 95% cpu@59.093C soc2@58.218C soc0@57C gpu@59.343C tj@59.343C soc1@57.906C VDD_IN 9245mW/9001mW VDD_CPU_GPU_CV 3514mW/3331mW VDD_SOC 1980mW/1952mW
04-18-2026 12:44:29 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@59.218C soc2@58.343C soc0@57.031C gpu@58.843C tj@59.218C soc1@57.875C VDD_IN 9205mW/9024mW VDD_CPU_GPU_CV 3480mW/3348mW VDD_SOC 1980mW/1955mW
04-18-2026 12:44:29 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@58.968C soc2@58.375C soc0@57.062C gpu@59C tj@59C soc1@57.843C VDD_IN 9205mW/9042mW VDD_CPU_GPU_CV 3520mW/3365mW VDD_SOC 1980mW/1957mW
04-18-2026 12:44:30 RAM 4156/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59.062C soc2@58.375C soc0@56.968C gpu@59.062C tj@59.062C soc1@57.875C VDD_IN 9245mW/9060mW VDD_CPU_GPU_CV 3514mW/3378mW VDD_SOC 1980mW/1959mW
