04-18-2026 18:10:38 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [5%@883,0%@883,0%@883,0%@883,3%@1510,94%@1510] GR3D_FREQ 98% cpu@57.718C soc2@57C soc0@55.968C gpu@57.656C tj@57.718C soc1@57.031C VDD_IN 7881mW/7881mW VDD_CPU_GPU_CV 2464mW/2464mW VDD_SOC 1870mW/1870mW
04-18-2026 18:10:38 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 65% cpu@57.968C soc2@57.125C soc0@56.031C gpu@58C tj@58C soc1@56.968C VDD_IN 9126mW/8503mW VDD_CPU_GPU_CV 3282mW/2873mW VDD_SOC 2020mW/1945mW
04-18-2026 18:10:39 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,3%@1510,3%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 96% cpu@58.093C soc2@57.187C soc0@55.968C gpu@58C tj@58.093C soc1@56.937C VDD_IN 9507mW/8838mW VDD_CPU_GPU_CV 3514mW/3086mW VDD_SOC 2056mW/1982mW
04-18-2026 18:10:39 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 69% cpu@58.25C soc2@57.312C soc0@56.031C gpu@58.093C tj@58.25C soc1@56.968C VDD_IN 9587mW/9025mW VDD_CPU_GPU_CV 3593mW/3213mW VDD_SOC 2056mW/2000mW
04-18-2026 18:10:40 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,1%@1510,2%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 57% cpu@58.156C soc2@57.312C soc0@56.031C gpu@58.281C tj@58.281C soc1@57C VDD_IN 9547mW/9129mW VDD_CPU_GPU_CV 3593mW/3289mW VDD_SOC 2056mW/2011mW
04-18-2026 18:10:40 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@58.187C soc2@57.375C soc0@56.093C gpu@58.062C tj@58.187C soc1@57.031C VDD_IN 9626mW/9212mW VDD_CPU_GPU_CV 3672mW/3353mW VDD_SOC 2056mW/2019mW
04-18-2026 18:10:41 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [2%@1510,0%@1510,2%@729,0%@729,3%@1510,100%@1510] GR3D_FREQ 48% cpu@58.25C soc2@57.531C soc0@56.031C gpu@58.156C tj@58.25C soc1@57.031C VDD_IN 9666mW/9277mW VDD_CPU_GPU_CV 3711mW/3404mW VDD_SOC 2056mW/2024mW
04-18-2026 18:10:41 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@58.093C soc2@57.531C soc0@56.187C gpu@58.312C tj@58.406C soc1@57C VDD_IN 9587mW/9315mW VDD_CPU_GPU_CV 3672mW/3437mW VDD_SOC 2056mW/2028mW
04-18-2026 18:10:42 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [7%@1510,1%@1510,3%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 98% cpu@58.218C soc2@57.5C soc0@56.187C gpu@58.125C tj@58.218C soc1@57.031C VDD_IN 9587mW/9346mW VDD_CPU_GPU_CV 3711mW/3468mW VDD_SOC 2056mW/2031mW
04-18-2026 18:10:42 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 58% cpu@58.25C soc2@57.531C soc0@56.281C gpu@58.281C tj@58.281C soc1@57C VDD_IN 9587mW/9370mW VDD_CPU_GPU_CV 3672mW/3488mW VDD_SOC 2056mW/2033mW
04-18-2026 18:10:43 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@58.125C soc2@57.468C soc0@56.25C gpu@58.406C tj@58.406C soc1@56.968C VDD_IN 9666mW/9397mW VDD_CPU_GPU_CV 3751mW/3512mW VDD_SOC 2056mW/2035mW
04-18-2026 18:10:43 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 76% cpu@58.25C soc2@57.531C soc0@56.343C gpu@58.5C tj@58.5C soc1@57.031C VDD_IN 9626mW/9416mW VDD_CPU_GPU_CV 3711mW/3528mW VDD_SOC 2056mW/2037mW
04-18-2026 18:10:44 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [2%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@58.156C soc2@57.531C soc0@56.281C gpu@58.218C tj@58.281C soc1@56.968C VDD_IN 9626mW/9432mW VDD_CPU_GPU_CV 3672mW/3539mW VDD_SOC 2056mW/2038mW
04-18-2026 18:10:44 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 78% cpu@58.125C soc2@57.593C soc0@56.281C gpu@58.281C tj@58.281C soc1@57.031C VDD_IN 9666mW/9448mW VDD_CPU_GPU_CV 3672mW/3549mW VDD_SOC 2056mW/2040mW
04-18-2026 18:10:45 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [5%@1510,3%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 84% cpu@58.187C soc2@57.593C soc0@56.343C gpu@58.218C tj@58.218C soc1@57C VDD_IN 9587mW/9458mW VDD_CPU_GPU_CV 3666mW/3557mW VDD_SOC 2056mW/2041mW
04-18-2026 18:10:45 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@58.687C soc2@57.531C soc0@56.312C gpu@58.375C tj@58.375C soc1@57.062C VDD_IN 9666mW/9471mW VDD_CPU_GPU_CV 3672mW/3564mW VDD_SOC 2056mW/2042mW
04-18-2026 18:10:46 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,0%@1510,5%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@58.281C soc2@57.531C soc0@56.343C gpu@58.25C tj@58.281C soc1@57.125C VDD_IN 9666mW/9482mW VDD_CPU_GPU_CV 3632mW/3568mW VDD_SOC 2056mW/2042mW
04-18-2026 18:10:46 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@58.281C soc2@57.625C soc0@56.437C gpu@58.562C tj@58.562C soc1@57.093C VDD_IN 9666mW/9492mW VDD_CPU_GPU_CV 3672mW/3574mW VDD_SOC 2056mW/2043mW
04-18-2026 18:10:47 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [4%@1510,3%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 84% cpu@58.187C soc2@57.625C soc0@56.375C gpu@58.781C tj@58.781C soc1@57.125C VDD_IN 9666mW/9501mW VDD_CPU_GPU_CV 3672mW/3579mW VDD_SOC 2056mW/2044mW
04-18-2026 18:10:47 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 57% cpu@58.625C soc2@57.656C soc0@56.343C gpu@58.281C tj@58.625C soc1@57.375C VDD_IN 9666mW/9510mW VDD_CPU_GPU_CV 3711mW/3585mW VDD_SOC 2056mW/2044mW
04-18-2026 18:10:48 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@907,2%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@58.343C soc2@57.562C soc0@56.343C gpu@58.5C tj@58.5C soc1@57.312C VDD_IN 9745mW/9521mW VDD_CPU_GPU_CV 3711mW/3591mW VDD_SOC 2056mW/2045mW
04-18-2026 18:10:49 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 86% cpu@58.437C soc2@57.625C soc0@56.375C gpu@58.468C tj@58.468C soc1@57.312C VDD_IN 9666mW/9527mW VDD_CPU_GPU_CV 3711mW/3597mW VDD_SOC 2056mW/2045mW
04-18-2026 18:10:49 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 72% cpu@58.656C soc2@57.687C soc0@56.437C gpu@58.75C tj@58.75C soc1@57.25C VDD_IN 9666mW/9533mW VDD_CPU_GPU_CV 3672mW/3600mW VDD_SOC 2056mW/2046mW
04-18-2026 18:10:50 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@58.656C soc2@57.593C soc0@56.375C gpu@58.5C tj@58.656C soc1@57.25C VDD_IN 9587mW/9536mW VDD_CPU_GPU_CV 3672mW/3603mW VDD_SOC 2056mW/2046mW
04-18-2026 18:10:50 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,5%@1510,4%@729,1%@1510,100%@1510] GR3D_FREQ 61% cpu@58.5C soc2@57.562C soc0@56.375C gpu@58.437C tj@58.437C soc1@57.312C VDD_IN 9587mW/9538mW VDD_CPU_GPU_CV 3711mW/3607mW VDD_SOC 2056mW/2047mW
04-18-2026 18:10:51 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 56% cpu@58.437C soc2@57.656C soc0@56.375C gpu@58.343C tj@58.437C soc1@57.187C VDD_IN 9626mW/9541mW VDD_CPU_GPU_CV 3672mW/3610mW VDD_SOC 2056mW/2047mW
04-18-2026 18:10:51 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [5%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 84% cpu@58.406C soc2@57.843C soc0@56.375C gpu@58.5C tj@58.625C soc1@57.312C VDD_IN 9626mW/9544mW VDD_CPU_GPU_CV 3672mW/3612mW VDD_SOC 2056mW/2047mW
04-18-2026 18:10:52 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@58.5C soc2@57.75C soc0@56.406C gpu@58.5C tj@58.5C soc1@57.25C VDD_IN 9626mW/9547mW VDD_CPU_GPU_CV 3672mW/3614mW VDD_SOC 2056mW/2048mW
04-18-2026 18:10:52 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,0%@1510,0%@1510,2%@1510,0%@1510,100%@1510] GR3D_FREQ 58% cpu@58.468C soc2@57.75C soc0@56.312C gpu@58.687C tj@58.687C soc1@57.312C VDD_IN 9745mW/9554mW VDD_CPU_GPU_CV 3751mW/3619mW VDD_SOC 2056mW/2048mW
04-18-2026 18:10:53 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 93% cpu@58.281C soc2@57.718C soc0@56.656C gpu@58.5C tj@58.5C soc1@57.25C VDD_IN 9666mW/9558mW VDD_CPU_GPU_CV 3672mW/3621mW VDD_SOC 2056mW/2048mW
04-18-2026 18:10:53 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@58.375C soc2@57.812C soc0@56.687C gpu@58.687C tj@58.687C soc1@57.281C VDD_IN 9587mW/9559mW VDD_CPU_GPU_CV 3672mW/3622mW VDD_SOC 2056mW/2048mW
04-18-2026 18:10:54 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@58.437C soc2@57.875C soc0@56.625C gpu@58.937C tj@58.937C soc1@57.187C VDD_IN 9705mW/9563mW VDD_CPU_GPU_CV 3672mW/3624mW VDD_SOC 2056mW/2049mW
04-18-2026 18:10:54 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,1%@1510,2%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 91% cpu@58.437C soc2@57.781C soc0@56.531C gpu@58.5C tj@58.5C soc1@57.25C VDD_IN 9626mW/9565mW VDD_CPU_GPU_CV 3672mW/3625mW VDD_SOC 2056mW/2049mW
04-18-2026 18:10:55 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,1%@870,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@58.437C soc2@57.843C soc0@56.625C gpu@58.531C tj@58.531C soc1@57.312C VDD_IN 9626mW/9567mW VDD_CPU_GPU_CV 3672mW/3627mW VDD_SOC 2056mW/2049mW
04-18-2026 18:10:55 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 57% cpu@58.781C soc2@57.875C soc0@56.593C gpu@58.625C tj@58.625C soc1@57.25C VDD_IN 9626mW/9568mW VDD_CPU_GPU_CV 3672mW/3628mW VDD_SOC 2056mW/2049mW
04-18-2026 18:10:56 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,0%@1070,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@58.312C soc2@57.843C soc0@56.656C gpu@58.875C tj@58.875C soc1@57.312C VDD_IN 9587mW/9569mW VDD_CPU_GPU_CV 3672mW/3629mW VDD_SOC 2056mW/2049mW
04-18-2026 18:10:56 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,7%@915,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 66% cpu@58.375C soc2@57.843C soc0@56.593C gpu@58.468C tj@58.468C soc1@57.343C VDD_IN 9705mW/9573mW VDD_CPU_GPU_CV 3711mW/3631mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:57 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@58.437C soc2@57.843C soc0@56.625C gpu@58.593C tj@58.593C soc1@57.562C VDD_IN 9666mW/9575mW VDD_CPU_GPU_CV 3711mW/3633mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:57 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,2%@1510,0%@1510,100%@1510] GR3D_FREQ 50% cpu@58.906C soc2@57.968C soc0@56.625C gpu@58.531C tj@58.906C soc1@57.562C VDD_IN 9666mW/9577mW VDD_CPU_GPU_CV 3711mW/3635mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:58 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@58.5C soc2@57.875C soc0@56.656C gpu@58.656C tj@58.656C soc1@57.593C VDD_IN 9705mW/9581mW VDD_CPU_GPU_CV 3672mW/3636mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:58 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [2%@1510,1%@1510,2%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 88% cpu@58.75C soc2@57.906C soc0@56.593C gpu@58.687C tj@58.687C soc1@57.531C VDD_IN 9626mW/9582mW VDD_CPU_GPU_CV 3711mW/3638mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:59 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@58.875C soc2@57.937C soc0@56.593C gpu@58.781C tj@58.875C soc1@57.531C VDD_IN 9587mW/9582mW VDD_CPU_GPU_CV 3672mW/3639mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:59 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.031C soc2@57.906C soc0@56.625C gpu@59.031C tj@59.031C soc1@57.5C VDD_IN 9587mW/9582mW VDD_CPU_GPU_CV 3672mW/3640mW VDD_SOC 2056mW/2050mW
04-18-2026 18:11:00 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@58.75C soc2@57.937C soc0@56.625C gpu@58.687C tj@58.75C soc1@57.562C VDD_IN 9666mW/9584mW VDD_CPU_GPU_CV 3672mW/3640mW VDD_SOC 2056mW/2050mW
