04-18-2026 18:12:48 RAM 5473/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@883,1%@883,0%@883,0%@883,1%@1510,96%@1510] GR3D_FREQ 99% cpu@59C soc2@58.093C soc0@57.031C gpu@58.875C tj@59C soc1@57.968C VDD_IN 7881mW/7881mW VDD_CPU_GPU_CV 2424mW/2424mW VDD_SOC 1870mW/1870mW
04-18-2026 18:12:48 RAM 5473/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@1510,3%@1510,3%@1510,0%@1510,98%@1510] GR3D_FREQ 98% cpu@59.187C soc2@58.156C soc0@57.031C gpu@59.125C tj@59.187C soc1@57.937C VDD_IN 9086mW/8483mW VDD_CPU_GPU_CV 3243mW/2833mW VDD_SOC 2020mW/1945mW
04-18-2026 18:12:49 RAM 5473/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@913,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 60% cpu@59.156C soc2@58.406C soc0@57.093C gpu@58.875C tj@59.156C soc1@57.968C VDD_IN 9507mW/8824mW VDD_CPU_GPU_CV 3553mW/3073mW VDD_SOC 2056mW/1982mW
04-18-2026 18:12:49 RAM 5473/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.062C soc2@58.437C soc0@57.125C gpu@59.437C tj@59.156C soc1@57.937C VDD_IN 9666mW/9035mW VDD_CPU_GPU_CV 3672mW/3223mW VDD_SOC 2056mW/2000mW
04-18-2026 18:12:50 RAM 5473/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,4%@1510,0%@1510,100%@1510] GR3D_FREQ 91% cpu@59.156C soc2@58.437C soc0@57.156C gpu@59.031C tj@59.156C soc1@58C VDD_IN 9626mW/9153mW VDD_CPU_GPU_CV 3711mW/3320mW VDD_SOC 2056mW/2011mW
04-18-2026 18:12:50 RAM 5473/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@729,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 69% cpu@59.156C soc2@58.5C soc0@57.218C gpu@59.187C tj@59.187C soc1@58C VDD_IN 9666mW/9238mW VDD_CPU_GPU_CV 3672mW/3379mW VDD_SOC 2056mW/2019mW
04-18-2026 18:12:51 RAM 5473/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,1%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@59.218C soc2@58.5C soc0@57.312C gpu@59.218C tj@59.218C soc1@57.937C VDD_IN 9587mW/9288mW VDD_CPU_GPU_CV 3672mW/3421mW VDD_SOC 2056mW/2024mW
04-18-2026 18:12:51 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,5%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 53% cpu@59.343C soc2@58.593C soc0@57.281C gpu@59.343C tj@59.343C soc1@58.062C VDD_IN 9626mW/9330mW VDD_CPU_GPU_CV 3672mW/3452mW VDD_SOC 2096mW/2033mW
04-18-2026 18:12:52 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@1510,1%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59.218C soc2@58.562C soc0@57.437C gpu@59.593C tj@59.593C soc1@57.968C VDD_IN 9705mW/9372mW VDD_CPU_GPU_CV 3672mW/3476mW VDD_SOC 2056mW/2035mW
04-18-2026 18:12:52 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,1%@1510,0%@1510,3%@1510,0%@1510,100%@1510] GR3D_FREQ 88% cpu@59.281C soc2@58.562C soc0@57.343C gpu@59.187C tj@59.281C soc1@58.062C VDD_IN 9666mW/9401mW VDD_CPU_GPU_CV 3672mW/3496mW VDD_SOC 2056mW/2037mW
04-18-2026 18:12:53 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,2%@1510,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.125C soc2@58.593C soc0@57.312C gpu@59.312C tj@59.312C soc1@58.062C VDD_IN 9666mW/9425mW VDD_CPU_GPU_CV 3711mW/3515mW VDD_SOC 2056mW/2039mW
04-18-2026 18:12:53 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@895,0%@729,1%@1510,100%@1510] GR3D_FREQ 70% cpu@59.187C soc2@58.625C soc0@57.312C gpu@59.343C tj@59.343C soc1@58C VDD_IN 9705mW/9448mW VDD_CPU_GPU_CV 3705mW/3531mW VDD_SOC 2096mW/2044mW
04-18-2026 18:12:54 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,3%@729,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 91% cpu@59.281C soc2@58.656C soc0@57.406C gpu@59.562C tj@59.562C soc1@58.062C VDD_IN 9705mW/9468mW VDD_CPU_GPU_CV 3672mW/3542mW VDD_SOC 2056mW/2045mW
04-18-2026 18:12:54 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@1510,3%@1510,0%@896,1%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.312C soc2@58.625C soc0@57.375C gpu@59.187C tj@59.312C soc1@58.062C VDD_IN 9626mW/9479mW VDD_CPU_GPU_CV 3672mW/3551mW VDD_SOC 2056mW/2045mW
04-18-2026 18:12:55 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59.156C soc2@58.656C soc0@57.406C gpu@59.468C tj@59.343C soc1@58.093C VDD_IN 9705mW/9494mW VDD_CPU_GPU_CV 3672mW/3559mW VDD_SOC 2056mW/2046mW
04-18-2026 18:12:56 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.218C soc2@58.562C soc0@57.406C gpu@59.343C tj@59.343C soc1@58.062C VDD_IN 9666mW/9505mW VDD_CPU_GPU_CV 3672mW/3566mW VDD_SOC 2056mW/2047mW
04-18-2026 18:12:56 RAM 5474/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@59.25C soc2@58.562C soc0@57.437C gpu@59.281C tj@59.281C soc1@58.093C VDD_IN 9666mW/9515mW VDD_CPU_GPU_CV 3711mW/3575mW VDD_SOC 2056mW/2047mW
