04-18-2026 18:13:53 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@883,3%@883,3%@883,0%@883,15%@1510,78%@1510] GR3D_FREQ 98% cpu@59.218C soc2@58.281C soc0@57.25C gpu@58.937C tj@59.218C soc1@58.218C VDD_IN 7655mW/7655mW VDD_CPU_GPU_CV 2305mW/2305mW VDD_SOC 1831mW/1831mW
04-18-2026 18:13:53 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 78% cpu@59.5C soc2@58.437C soc0@57.125C gpu@59.343C tj@59.5C soc1@58.125C VDD_IN 9007mW/8331mW VDD_CPU_GPU_CV 3203mW/2754mW VDD_SOC 2020mW/1925mW
04-18-2026 18:13:54 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,1%@729,2%@729,0%@1510,100%@1510] GR3D_FREQ 87% cpu@59.25C soc2@58.625C soc0@57.218C gpu@59.625C tj@59.625C soc1@58.187C VDD_IN 9547mW/8736mW VDD_CPU_GPU_CV 3553mW/3020mW VDD_SOC 2056mW/1969mW
04-18-2026 18:13:54 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@995,0%@729,0%@1510,100%@1510] GR3D_FREQ 68% cpu@59.562C soc2@58.718C soc0@57.312C gpu@59.218C tj@59.562C soc1@58.25C VDD_IN 9587mW/8949mW VDD_CPU_GPU_CV 3672mW/3183mW VDD_SOC 2056mW/1990mW
04-18-2026 18:13:55 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.312C soc2@58.781C soc0@57.25C gpu@59.625C tj@59.625C soc1@58.218C VDD_IN 9547mW/9068mW VDD_CPU_GPU_CV 3672mW/3281mW VDD_SOC 2056mW/2003mW
04-18-2026 18:13:55 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 50% cpu@59.343C soc2@58.718C soc0@57.5C gpu@59.312C tj@59.343C soc1@58.187C VDD_IN 9666mW/9168mW VDD_CPU_GPU_CV 3666mW/3345mW VDD_SOC 2096mW/2019mW
04-18-2026 18:13:56 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,5%@1510,2%@1510,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59.406C soc2@58.687C soc0@57.562C gpu@59.437C tj@59.437C soc1@58.218C VDD_IN 9705mW/9244mW VDD_CPU_GPU_CV 3672mW/3391mW VDD_SOC 2056mW/2024mW
04-18-2026 18:13:56 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 96% cpu@59.343C soc2@58.781C soc0@57.593C gpu@59.531C tj@59.593C soc1@58.25C VDD_IN 9666mW/9297mW VDD_CPU_GPU_CV 3627mW/3421mW VDD_SOC 2056mW/2028mW
04-18-2026 18:13:57 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 71% cpu@59.375C soc2@58.781C soc0@57.5C gpu@59.687C tj@59.687C soc1@58.25C VDD_IN 9626mW/9334mW VDD_CPU_GPU_CV 3672mW/3449mW VDD_SOC 2056mW/2031mW
04-18-2026 18:13:58 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.437C soc2@58.812C soc0@57.531C gpu@59.406C tj@59.437C soc1@58.25C VDD_IN 9705mW/9371mW VDD_CPU_GPU_CV 3672mW/3471mW VDD_SOC 2056mW/2033mW
04-18-2026 18:13:58 RAM 5477/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@1510,3%@1510,0%@1510,100%@1510] GR3D_FREQ 66% cpu@59.406C soc2@58.781C soc0@57.5C gpu@59.468C tj@59.468C soc1@58.25C VDD_IN 9745mW/9405mW VDD_CPU_GPU_CV 3672mW/3489mW VDD_SOC 2096mW/2039mW
