04-18-2026 13:21:12 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@883,14%@883,1%@883,0%@883,54%@729,0%@729] GR3D_FREQ 83% cpu@55.437C soc2@54.75C soc0@54C gpu@54.75C tj@55.437C soc1@54.75C VDD_IN 5858mW/5858mW VDD_CPU_GPU_CV 1160mW/1160mW VDD_SOC 1562mW/1562mW
04-18-2026 13:21:12 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [2%@1510,2%@1510,2%@1510,0%@1510,64%@729,0%@729] GR3D_FREQ 60% cpu@55.343C soc2@54.718C soc0@53.906C gpu@54.875C tj@55.343C soc1@54.718C VDD_IN 6209mW/6033mW VDD_CPU_GPU_CV 1360mW/1260mW VDD_SOC 1600mW/1581mW
04-18-2026 13:21:13 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,65%@729,1%@729] GR3D_FREQ 73% cpu@55.375C soc2@54.812C soc0@53.906C gpu@55.031C tj@55.375C soc1@54.781C VDD_IN 6360mW/6142mW VDD_CPU_GPU_CV 1477mW/1332mW VDD_SOC 1640mW/1600mW
04-18-2026 13:21:13 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,0%@729,64%@729,0%@729] GR3D_FREQ 68% cpu@55.343C soc2@54.812C soc0@53.843C gpu@55.218C tj@55.437C soc1@54.875C VDD_IN 6440mW/6216mW VDD_CPU_GPU_CV 1517mW/1378mW VDD_SOC 1640mW/1610mW
04-18-2026 13:21:14 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,1%@911,0%@729,1%@729,66%@729,0%@729] GR3D_FREQ 68% cpu@55.375C soc2@54.781C soc0@53.843C gpu@55.281C tj@55.375C soc1@54.718C VDD_IN 6360mW/6245mW VDD_CPU_GPU_CV 1477mW/1398mW VDD_SOC 1640mW/1616mW
04-18-2026 13:21:14 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,0%@729,64%@729,0%@729] GR3D_FREQ 74% cpu@55.343C soc2@54.812C soc0@53.906C gpu@55C tj@55.343C soc1@54.718C VDD_IN 6400mW/6271mW VDD_CPU_GPU_CV 1517mW/1418mW VDD_SOC 1640mW/1620mW
04-18-2026 13:21:15 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,64%@729,0%@729] GR3D_FREQ 74% cpu@55.656C soc2@54.875C soc0@53.906C gpu@55.375C tj@55.656C soc1@54.968C VDD_IN 6440mW/6295mW VDD_CPU_GPU_CV 1517mW/1432mW VDD_SOC 1640mW/1623mW
04-18-2026 13:21:16 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,1%@729,2%@729,1%@729,64%@729,0%@729] GR3D_FREQ 59% cpu@55.406C soc2@54.812C soc0@53.843C gpu@54.875C tj@55.406C soc1@55.031C VDD_IN 6400mW/6308mW VDD_CPU_GPU_CV 1517mW/1442mW VDD_SOC 1640mW/1625mW
04-18-2026 13:21:16 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [5%@1510,0%@729,1%@729,5%@729,69%@729,0%@729] GR3D_FREQ 68% cpu@55.375C soc2@54.781C soc0@53.875C gpu@55.031C tj@55.375C soc1@55.031C VDD_IN 6370mW/6315mW VDD_CPU_GPU_CV 1477mW/1446mW VDD_SOC 1640mW/1626mW
04-18-2026 13:21:17 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,3%@729,1%@729,60%@729,0%@729] GR3D_FREQ 73% cpu@55.781C soc2@54.781C soc0@53.812C gpu@55.156C tj@55.781C soc1@55.031C VDD_IN 6440mW/6327mW VDD_CPU_GPU_CV 1517mW/1453mW VDD_SOC 1640mW/1628mW
04-18-2026 13:21:17 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@729,1%@729,64%@729,0%@729] GR3D_FREQ 67% cpu@55.781C soc2@54.75C soc0@53.812C gpu@55.343C tj@55.781C soc1@55C VDD_IN 6440mW/6337mW VDD_CPU_GPU_CV 1517mW/1459mW VDD_SOC 1640mW/1629mW
04-18-2026 13:21:18 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,3%@729,66%@729,1%@729] GR3D_FREQ 60% cpu@55.531C soc2@54.843C soc0@53.812C gpu@55.187C tj@55.531C soc1@54.906C VDD_IN 6400mW/6343mW VDD_CPU_GPU_CV 1517mW/1464mW VDD_SOC 1640mW/1630mW
04-18-2026 13:21:18 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,67%@729,0%@729] GR3D_FREQ 73% cpu@55.562C soc2@54.937C soc0@53.875C gpu@55.312C tj@55.562C soc1@54.812C VDD_IN 6360mW/6344mW VDD_CPU_GPU_CV 1477mW/1465mW VDD_SOC 1640mW/1630mW
04-18-2026 13:21:19 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,3%@1510,2%@729,0%@729,64%@729,0%@729] GR3D_FREQ 73% cpu@55.75C soc2@54.937C soc0@53.812C gpu@55.593C tj@55.75C soc1@54.812C VDD_IN 6400mW/6348mW VDD_CPU_GPU_CV 1517mW/1468mW VDD_SOC 1640mW/1631mW
04-18-2026 13:21:19 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,0%@729,64%@729,0%@729] GR3D_FREQ 68% cpu@55.531C soc2@54.875C soc0@53.75C gpu@55.031C tj@55.531C soc1@54.75C VDD_IN 6360mW/6349mW VDD_CPU_GPU_CV 1517mW/1472mW VDD_SOC 1640mW/1632mW
04-18-2026 13:21:20 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,3%@1510,2%@729,0%@729,66%@729,3%@729] GR3D_FREQ 61% cpu@55.531C soc2@54.843C soc0@54C gpu@55.5C tj@55.531C soc1@54.781C VDD_IN 6360mW/6349mW VDD_CPU_GPU_CV 1477mW/1472mW VDD_SOC 1640mW/1632mW
