04-18-2026 23:15:52 RAM 6068/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@883,0%@883,0%@883,0%@883,47%@729,1%@729] GR3D_FREQ 56% cpu@54.406C soc2@53.875C soc0@52.75C gpu@54.5C tj@54.5C soc1@53.625C VDD_IN 7268mW/7268mW VDD_CPU_GPU_CV 2149mW/2149mW VDD_SOC 1754mW/1754mW
04-18-2026 23:15:52 RAM 6068/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,46%@729,2%@729] GR3D_FREQ 56% cpu@54.406C soc2@53.937C soc0@52.968C gpu@54.656C tj@54.656C soc1@53.656C VDD_IN 8280mW/7774mW VDD_CPU_GPU_CV 2817mW/2483mW VDD_SOC 1867mW/1810mW
04-18-2026 23:15:53 RAM 6068/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,56%@729,1%@729] GR3D_FREQ 88% cpu@54.406C soc2@54C soc0@53C gpu@54.656C tj@54.656C soc1@53.656C VDD_IN 8783mW/8110mW VDD_CPU_GPU_CV 3169mW/2711mW VDD_SOC 1904mW/1841mW
04-18-2026 23:15:53 RAM 6068/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 66% cpu@54.375C soc2@53.968C soc0@53C gpu@55.031C tj@55.031C soc1@53.656C VDD_IN 9007mW/8334mW VDD_CPU_GPU_CV 3322mW/2864mW VDD_SOC 1944mW/1867mW
04-18-2026 23:15:54 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@729,0%@729,0%@729,3%@729,56%@729,0%@729] GR3D_FREQ 70% cpu@54.375C soc2@54.093C soc0@53.062C gpu@55C tj@55C soc1@53.625C VDD_IN 9126mW/8492mW VDD_CPU_GPU_CV 3401mW/2971mW VDD_SOC 1941mW/1882mW
04-18-2026 23:15:54 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,50%@729,0%@729] GR3D_FREQ 70% cpu@54.75C soc2@54.125C soc0@53.125C gpu@55.25C tj@55.25C soc1@53.843C VDD_IN 9324mW/8631mW VDD_CPU_GPU_CV 3559mW/3069mW VDD_SOC 1980mW/1898mW
04-18-2026 23:15:55 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [5%@1510,3%@1510,1%@1510,0%@1510,52%@729,1%@729] GR3D_FREQ 98% cpu@54.875C soc2@54.156C soc0@53C gpu@55.218C tj@55.218C soc1@53.843C VDD_IN 9285mW/8724mW VDD_CPU_GPU_CV 3520mW/3133mW VDD_SOC 1980mW/1910mW
04-18-2026 23:15:55 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,54%@729,1%@729] GR3D_FREQ 88% cpu@54.625C soc2@54.125C soc0@52.937C gpu@55.281C tj@55.281C soc1@53.875C VDD_IN 9245mW/8789mW VDD_CPU_GPU_CV 3480mW/3177mW VDD_SOC 1980mW/1918mW
04-18-2026 23:15:56 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,1%@1510,1%@1510,0%@1510,56%@729,0%@729] GR3D_FREQ 56% cpu@54.75C soc2@54.312C soc0@53.093C gpu@55.312C tj@55.312C soc1@53.75C VDD_IN 9205mW/8835mW VDD_CPU_GPU_CV 3441mW/3206mW VDD_SOC 1941mW/1921mW
04-18-2026 23:15:56 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,56%@729,0%@729] GR3D_FREQ 84% cpu@54.906C soc2@54.281C soc0@53.093C gpu@55.093C tj@55.093C soc1@53.718C VDD_IN 9086mW/8860mW VDD_CPU_GPU_CV 3361mW/3221mW VDD_SOC 1941mW/1923mW
04-18-2026 23:15:57 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [2%@1510,0%@1510,0%@1510,3%@1510,54%@729,1%@729] GR3D_FREQ 65% cpu@54.687C soc2@54.25C soc0@53.062C gpu@55.343C tj@55.343C soc1@53.781C VDD_IN 9126mW/8885mW VDD_CPU_GPU_CV 3401mW/3238mW VDD_SOC 1941mW/1924mW
