04-18-2026 16:53:51 RAM 5371/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@883,0%@883,1%@883,0%@883,7%@729,42%@729] GR3D_FREQ 91% cpu@56.593C soc2@56C soc0@55.031C gpu@56.718C tj@56.718C soc1@56.156C VDD_IN 6249mW/6249mW VDD_CPU_GPU_CV 1437mW/1437mW VDD_SOC 1640mW/1640mW
04-18-2026 16:53:51 RAM 5370/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [2%@1510,2%@1510,3%@729,2%@729,11%@729,40%@729] GR3D_FREQ 67% cpu@56.656C soc2@56C soc0@55.062C gpu@56.406C tj@56.656C soc1@56.218C VDD_IN 6868mW/6558mW VDD_CPU_GPU_CV 1873mW/1655mW VDD_SOC 1677mW/1658mW
04-18-2026 16:53:52 RAM 5370/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,5%@1510,3%@1510,0%@729,63%@729] GR3D_FREQ 72% cpu@56.906C soc2@56.062C soc0@55.062C gpu@56.625C tj@56.906C soc1@56.218C VDD_IN 7336mW/6817mW VDD_CPU_GPU_CV 2189mW/1833mW VDD_SOC 1754mW/1690mW
04-18-2026 16:53:52 RAM 5370/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 71% cpu@57.093C soc2@56.187C soc0@55.031C gpu@56.562C tj@57.093C soc1@56.062C VDD_IN 7695mW/7037mW VDD_CPU_GPU_CV 2464mW/1990mW VDD_SOC 1751mW/1705mW
04-18-2026 16:53:53 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [2%@1510,1%@1510,6%@1510,3%@1510,0%@806,72%@806] GR3D_FREQ 61% cpu@56.906C soc2@56.25C soc0@55.062C gpu@56.812C tj@56.906C soc1@56.031C VDD_IN 7881mW/7205mW VDD_CPU_GPU_CV 2623mW/2117mW VDD_SOC 1791mW/1722mW
04-18-2026 16:53:54 RAM 5375/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [3%@1510,0%@1510,2%@1510,0%@1510,0%@729,68%@729] GR3D_FREQ 64% cpu@56.937C soc2@56.25C soc0@55.312C gpu@56.812C tj@56.937C soc1@56.062C VDD_IN 7961mW/7331mW VDD_CPU_GPU_CV 2658mW/2207mW VDD_SOC 1791mW/1734mW
04-18-2026 16:53:54 RAM 5375/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,1%@1510,0%@1510,3%@1510,3%@806,72%@806] GR3D_FREQ 75% cpu@56.906C soc2@56.343C soc0@55.343C gpu@56.906C tj@56.906C soc1@56.031C VDD_IN 7921mW/7415mW VDD_CPU_GPU_CV 2658mW/2271mW VDD_SOC 1791mW/1742mW
04-18-2026 16:53:55 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,2%@806,70%@806] GR3D_FREQ 57% cpu@56.843C soc2@56.312C soc0@55.406C gpu@56.968C tj@56.968C soc1@56.031C VDD_IN 7961mW/7484mW VDD_CPU_GPU_CV 2658mW/2320mW VDD_SOC 1791mW/1748mW
04-18-2026 16:53:55 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 60% cpu@56.937C soc2@56.343C soc0@55.25C gpu@56.843C tj@56.937C soc1@55.937C VDD_IN 7961mW/7537mW VDD_CPU_GPU_CV 2658mW/2357mW VDD_SOC 1791mW/1753mW
04-18-2026 16:53:56 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,0%@806,71%@806] GR3D_FREQ 66% cpu@56.906C soc2@56.312C soc0@55.312C gpu@56.906C tj@56.906C soc1@56.218C VDD_IN 7961mW/7579mW VDD_CPU_GPU_CV 2658mW/2387mW VDD_SOC 1791mW/1756mW
04-18-2026 16:53:56 RAM 5374/7620MB (lfb 13x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 65% cpu@57.281C soc2@56.312C soc0@55.187C gpu@57.062C tj@57.281C soc1@56.281C VDD_IN 7961mW/7614mW VDD_CPU_GPU_CV 2658mW/2412mW VDD_SOC 1791mW/1759mW
