04-18-2026 16:41:37 RAM 5174/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@883,3%@883,5%@883,0%@883,0%@1510,88%@1510] GR3D_FREQ 81% cpu@59.437C soc2@58.375C soc0@57.312C gpu@59C tj@59.437C soc1@58.281C VDD_IN 7695mW/7695mW VDD_CPU_GPU_CV 2503mW/2503mW VDD_SOC 1791mW/1791mW
04-18-2026 16:41:37 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,2%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 71% cpu@59.156C soc2@58.562C soc0@57.343C gpu@59.281C tj@59.281C soc1@58.25C VDD_IN 9205mW/8450mW VDD_CPU_GPU_CV 3599mW/3051mW VDD_SOC 1941mW/1866mW
04-18-2026 16:41:38 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 98% cpu@59.375C soc2@58.593C soc0@57.437C gpu@59.437C tj@59.437C soc1@58.25C VDD_IN 9666mW/8855mW VDD_CPU_GPU_CV 3909mW/3337mW VDD_SOC 1977mW/1903mW
04-18-2026 16:41:38 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,2%@904,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 70% cpu@59.593C soc2@58.656C soc0@57.468C gpu@59.593C tj@59.593C soc1@58.437C VDD_IN 9848mW/9103mW VDD_CPU_GPU_CV 4060mW/3517mW VDD_SOC 2017mW/1931mW
04-18-2026 16:41:39 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 66% cpu@59.625C soc2@58.718C soc0@57.406C gpu@59.937C tj@59.937C soc1@58.312C VDD_IN 9967mW/9276mW VDD_CPU_GPU_CV 4139mW/3642mW VDD_SOC 1974mW/1940mW
04-18-2026 16:41:39 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 89% cpu@59.468C soc2@58.843C soc0@57.5C gpu@59.562C tj@59.562C soc1@58.281C VDD_IN 10006mW/9397mW VDD_CPU_GPU_CV 4100mW/3718mW VDD_SOC 2013mW/1952mW
04-18-2026 16:41:40 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,3%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.593C soc2@58.812C soc0@57.468C gpu@59.937C tj@59.937C soc1@58.312C VDD_IN 10006mW/9484mW VDD_CPU_GPU_CV 4139mW/3778mW VDD_SOC 2013mW/1960mW
04-18-2026 16:41:40 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 84% cpu@59.718C soc2@58.875C soc0@57.562C gpu@59.406C tj@59.718C soc1@58.25C VDD_IN 9927mW/9540mW VDD_CPU_GPU_CV 4100mW/3818mW VDD_SOC 2017mW/1967mW
04-18-2026 16:41:41 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,3%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 89% cpu@59.531C soc2@58.906C soc0@57.531C gpu@59.656C tj@59.656C soc1@58.312C VDD_IN 9927mW/9583mW VDD_CPU_GPU_CV 4100mW/3849mW VDD_SOC 2013mW/1972mW
04-18-2026 16:41:41 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 68% cpu@59.593C soc2@58.937C soc0@57.75C gpu@59.843C tj@59.843C soc1@58.375C VDD_IN 9927mW/9617mW VDD_CPU_GPU_CV 4100mW/3874mW VDD_SOC 2013mW/1976mW
04-18-2026 16:41:42 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 65% cpu@59.468C soc2@58.937C soc0@57.718C gpu@59.843C tj@59.843C soc1@58.312C VDD_IN 9904mW/9643mW VDD_CPU_GPU_CV 4054mW/3891mW VDD_SOC 2017mW/1980mW
