04-18-2026 12:22:47 RAM 3873/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@883,0%@883,1%@883,3%@883,3%@806,73%@806] GR3D_FREQ 60% cpu@55.437C soc2@54.593C soc0@53.687C gpu@54.656C tj@55.437C soc1@54.75C VDD_IN 5969mW/5969mW VDD_CPU_GPU_CV 1280mW/1280mW VDD_SOC 1562mW/1562mW
04-18-2026 12:22:47 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,0%@1510,0%@1510,3%@883,74%@883] GR3D_FREQ 65% cpu@55.687C soc2@54.625C soc0@53.593C gpu@54.875C tj@55.687C soc1@54.656C VDD_IN 6089mW/6029mW VDD_CPU_GPU_CV 1360mW/1320mW VDD_SOC 1600mW/1581mW
04-18-2026 12:22:48 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@729,0%@883,73%@883] GR3D_FREQ 64% cpu@55.312C soc2@54.656C soc0@53.593C gpu@55.062C tj@55.312C soc1@54.75C VDD_IN 6129mW/6062mW VDD_CPU_GPU_CV 1360mW/1333mW VDD_SOC 1600mW/1587mW
04-18-2026 12:22:48 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@729,1%@883,75%@883] GR3D_FREQ 64% cpu@55.468C soc2@54.718C soc0@53.593C gpu@54.625C tj@55.468C soc1@54.656C VDD_IN 6129mW/6079mW VDD_CPU_GPU_CV 1400mW/1350mW VDD_SOC 1600mW/1590mW
04-18-2026 12:22:49 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,12%@883,62%@883] GR3D_FREQ 64% cpu@55.531C soc2@54.687C soc0@53.593C gpu@54.781C tj@55.531C soc1@54.687C VDD_IN 6129mW/6089mW VDD_CPU_GPU_CV 1400mW/1360mW VDD_SOC 1600mW/1592mW
04-18-2026 12:22:49 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@883,73%@883] GR3D_FREQ 63% cpu@55.312C soc2@54.687C soc0@53.781C gpu@54.687C tj@55.312C soc1@54.656C VDD_IN 6169mW/6102mW VDD_CPU_GPU_CV 1397mW/1366mW VDD_SOC 1600mW/1593mW
04-18-2026 12:22:50 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@883,75%@883] GR3D_FREQ 65% cpu@55.343C soc2@54.562C soc0@53.687C gpu@54.656C tj@55.343C soc1@54.562C VDD_IN 6169mW/6111mW VDD_CPU_GPU_CV 1400mW/1371mW VDD_SOC 1600mW/1594mW
04-18-2026 12:22:50 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 62% cpu@55.281C soc2@54.625C soc0@53.625C gpu@54.781C tj@55.281C soc1@54.5C VDD_IN 6169mW/6119mW VDD_CPU_GPU_CV 1400mW/1374mW VDD_SOC 1600mW/1595mW
04-18-2026 12:22:51 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@883,73%@883] GR3D_FREQ 63% cpu@55.25C soc2@54.625C soc0@53.687C gpu@54.781C tj@55.25C soc1@54.562C VDD_IN 6169mW/6124mW VDD_CPU_GPU_CV 1400mW/1377mW VDD_SOC 1600mW/1595mW
04-18-2026 12:22:51 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@55.625C soc2@54.468C soc0@53.625C gpu@54.812C tj@55.625C soc1@54.812C VDD_IN 6129mW/6125mW VDD_CPU_GPU_CV 1400mW/1379mW VDD_SOC 1600mW/1596mW
04-18-2026 12:22:52 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 61% cpu@55.281C soc2@54.625C soc0@53.625C gpu@55C tj@55.281C soc1@54.75C VDD_IN 6129mW/6125mW VDD_CPU_GPU_CV 1400mW/1381mW VDD_SOC 1600mW/1596mW
04-18-2026 12:22:52 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,5%@1510,2%@806,73%@806] GR3D_FREQ 66% cpu@55.406C soc2@54.562C soc0@53.625C gpu@54.781C tj@55.406C soc1@54.781C VDD_IN 6169mW/6129mW VDD_CPU_GPU_CV 1400mW/1383mW VDD_SOC 1600mW/1596mW
04-18-2026 12:22:53 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,5%@1510,0%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 63% cpu@55.5C soc2@54.625C soc0@53.531C gpu@54.906C tj@55.5C soc1@54.625C VDD_IN 6169mW/6132mW VDD_CPU_GPU_CV 1400mW/1384mW VDD_SOC 1600mW/1597mW
04-18-2026 12:22:53 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,1%@1510,1%@1510,0%@1510,3%@883,75%@883] GR3D_FREQ 64% cpu@55.312C soc2@54.562C soc0@53.531C gpu@54.781C tj@55.312C soc1@54.593C VDD_IN 6169mW/6134mW VDD_CPU_GPU_CV 1400mW/1385mW VDD_SOC 1600mW/1597mW
04-18-2026 12:22:54 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,2%@1510,1%@1510,1%@1510,1%@806,74%@806] GR3D_FREQ 62% cpu@55.312C soc2@54.625C soc0@53.75C gpu@54.812C tj@55.312C soc1@54.625C VDD_IN 6169mW/6137mW VDD_CPU_GPU_CV 1400mW/1386mW VDD_SOC 1600mW/1597mW
04-18-2026 12:22:54 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@806,73%@806] GR3D_FREQ 65% cpu@55.156C soc2@54.593C soc0@53.656C gpu@55.125C tj@55.156C soc1@54.562C VDD_IN 6169mW/6139mW VDD_CPU_GPU_CV 1400mW/1387mW VDD_SOC 1600mW/1597mW
04-18-2026 12:22:55 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 66% cpu@55.125C soc2@54.531C soc0@53.656C gpu@54.843C tj@55.125C soc1@54.531C VDD_IN 6169mW/6140mW VDD_CPU_GPU_CV 1400mW/1388mW VDD_SOC 1600mW/1597mW
04-18-2026 12:22:55 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@55.25C soc2@54.562C soc0@53.593C gpu@55.062C tj@55.25C soc1@54.562C VDD_IN 6129mW/6140mW VDD_CPU_GPU_CV 1400mW/1388mW VDD_SOC 1600mW/1597mW
04-18-2026 12:22:56 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@883,72%@883] GR3D_FREQ 64% cpu@55.125C soc2@54.562C soc0@53.593C gpu@54.625C tj@55.125C soc1@54.718C VDD_IN 6169mW/6141mW VDD_CPU_GPU_CV 1400mW/1389mW VDD_SOC 1600mW/1598mW
04-18-2026 12:22:56 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@883,73%@883] GR3D_FREQ 63% cpu@55.406C soc2@54.5C soc0@53.593C gpu@55.062C tj@55.406C soc1@54.687C VDD_IN 6129mW/6141mW VDD_CPU_GPU_CV 1400mW/1389mW VDD_SOC 1600mW/1598mW
04-18-2026 12:22:57 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@55.593C soc2@54.468C soc0@53.562C gpu@54.625C tj@55.593C soc1@54.593C VDD_IN 6169mW/6142mW VDD_CPU_GPU_CV 1400mW/1390mW VDD_SOC 1600mW/1598mW
04-18-2026 12:22:57 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,2%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@55.343C soc2@54.593C soc0@53.468C gpu@55C tj@55.343C soc1@54.593C VDD_IN 6129mW/6141mW VDD_CPU_GPU_CV 1400mW/1390mW VDD_SOC 1600mW/1598mW
