04-18-2026 12:23:52 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@883,1%@883,72%@883,0%@883,0%@729,2%@729] GR3D_FREQ 62% cpu@55.031C soc2@53.968C soc0@53.093C gpu@54C tj@55.031C soc1@54.343C VDD_IN 5658mW/5658mW VDD_CPU_GPU_CV 1081mW/1081mW VDD_SOC 1562mW/1562mW
04-18-2026 12:23:52 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@883,0%@883,75%@883,0%@883,3%@729,0%@729] GR3D_FREQ 63% cpu@54.593C soc2@53.906C soc0@53.031C gpu@54.562C tj@54.593C soc1@54.25C VDD_IN 6009mW/5833mW VDD_CPU_GPU_CV 1280mW/1180mW VDD_SOC 1562mW/1562mW
04-18-2026 12:23:53 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,9%@1510,64%@1510,3%@729,1%@729] GR3D_FREQ 61% cpu@54.75C soc2@54.031C soc0@53.125C gpu@54.125C tj@54.75C soc1@54.187C VDD_IN 6089mW/5918mW VDD_CPU_GPU_CV 1360mW/1240mW VDD_SOC 1602mW/1575mW
04-18-2026 12:23:53 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,74%@1510,0%@729,0%@729] GR3D_FREQ 61% cpu@54.937C soc2@54.031C soc0@53.125C gpu@54.125C tj@54.937C soc1@54.156C VDD_IN 6129mW/5971mW VDD_CPU_GPU_CV 1360mW/1270mW VDD_SOC 1600mW/1581mW
04-18-2026 12:23:54 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,3%@1510,74%@1510,1%@729,0%@729] GR3D_FREQ 66% cpu@54.625C soc2@54.125C soc0@53.062C gpu@54.093C tj@54.625C soc1@54.156C VDD_IN 6129mW/6002mW VDD_CPU_GPU_CV 1400mW/1296mW VDD_SOC 1600mW/1585mW
04-18-2026 12:23:54 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,72%@1510,3%@729,1%@729] GR3D_FREQ 61% cpu@54.843C soc2@54.156C soc0@53.156C gpu@54.156C tj@54.843C soc1@54.093C VDD_IN 6129mW/6023mW VDD_CPU_GPU_CV 1400mW/1313mW VDD_SOC 1600mW/1587mW
04-18-2026 12:23:55 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,7%@1510,34%@883,33%@883] GR3D_FREQ 66% cpu@54.718C soc2@54.125C soc0@53.187C gpu@54.656C tj@54.718C soc1@54.031C VDD_IN 6129mW/6038mW VDD_CPU_GPU_CV 1360mW/1320mW VDD_SOC 1600mW/1589mW
04-18-2026 12:23:55 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,2%@1510,1%@1510,1%@1510,2%@883,74%@883] GR3D_FREQ 61% cpu@54.718C soc2@53.968C soc0@53.218C gpu@54.218C tj@54.718C soc1@54.093C VDD_IN 6129mW/6050mW VDD_CPU_GPU_CV 1360mW/1325mW VDD_SOC 1600mW/1590mW
04-18-2026 12:23:56 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 62% cpu@54.593C soc2@54C soc0@53.125C gpu@54.656C tj@54.593C soc1@54.062C VDD_IN 6129mW/6058mW VDD_CPU_GPU_CV 1400mW/1333mW VDD_SOC 1600mW/1591mW
04-18-2026 12:23:56 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,2%@883,75%@883] GR3D_FREQ 64% cpu@54.562C soc2@54.062C soc0@53.125C gpu@54.125C tj@54.562C soc1@54.062C VDD_IN 6129mW/6065mW VDD_CPU_GPU_CV 1400mW/1340mW VDD_SOC 1600mW/1592mW
04-18-2026 12:23:57 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@1510,0%@1510,0%@883,72%@883] GR3D_FREQ 63% cpu@55C soc2@54.125C soc0@53.187C gpu@54.25C tj@55C soc1@54.281C VDD_IN 6169mW/6075mW VDD_CPU_GPU_CV 1400mW/1345mW VDD_SOC 1600mW/1593mW
04-18-2026 12:23:57 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,2%@883,75%@883] GR3D_FREQ 66% cpu@55.062C soc2@54.093C soc0@53.125C gpu@54.25C tj@55.062C soc1@54.093C VDD_IN 6169mW/6083mW VDD_CPU_GPU_CV 1400mW/1350mW VDD_SOC 1600mW/1593mW
04-18-2026 12:23:58 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,3%@883,75%@883] GR3D_FREQ 62% cpu@54.75C soc2@54.125C soc0@53.062C gpu@54.25C tj@54.75C soc1@54.125C VDD_IN 6169mW/6089mW VDD_CPU_GPU_CV 1400mW/1353mW VDD_SOC 1600mW/1594mW
04-18-2026 12:23:58 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 62% cpu@54.875C soc2@54.125C soc0@53C gpu@54.156C tj@54.875C soc1@54.156C VDD_IN 6169mW/6095mW VDD_CPU_GPU_CV 1400mW/1357mW VDD_SOC 1600mW/1594mW
04-18-2026 12:23:59 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,0%@883,74%@806] GR3D_FREQ 64% cpu@54.781C soc2@54.156C soc0@53.156C gpu@54.281C tj@54.781C soc1@54.062C VDD_IN 6129mW/6097mW VDD_CPU_GPU_CV 1360mW/1357mW VDD_SOC 1600mW/1595mW
04-18-2026 12:23:59 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@1510,1%@1510,2%@883,74%@883] GR3D_FREQ 62% cpu@54.656C soc2@54.093C soc0@53.281C gpu@54.312C tj@54.656C soc1@54.093C VDD_IN 6169mW/6102mW VDD_CPU_GPU_CV 1400mW/1360mW VDD_SOC 1600mW/1595mW
04-18-2026 12:24:00 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@1510,3%@1510,2%@883,75%@883] GR3D_FREQ 64% cpu@54.75C soc2@54.062C soc0@53.156C gpu@54.531C tj@54.75C soc1@54C VDD_IN 6169mW/6106mW VDD_CPU_GPU_CV 1400mW/1362mW VDD_SOC 1600mW/1595mW
