04-18-2026 12:17:12 RAM 3849/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@883,5%@883,0%@883,0%@883,1%@1510,100%@1510] GR3D_FREQ 53% cpu@57.906C soc2@57.031C soc0@56C gpu@57.062C tj@57.906C soc1@56.875C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1834mW/1834mW VDD_SOC 1597mW/1597mW
04-18-2026 12:17:13 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,3%@998,5%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.781C soc2@56.906C soc0@55.937C gpu@57.062C tj@57.781C soc1@56.875C VDD_IN 6760mW/6720mW VDD_CPU_GPU_CV 1873mW/1853mW VDD_SOC 1637mW/1617mW
04-18-2026 12:17:13 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 50% cpu@57.781C soc2@57.031C soc0@56C gpu@57.062C tj@57.781C soc1@56.75C VDD_IN 6760mW/6733mW VDD_CPU_GPU_CV 1913mW/1873mW VDD_SOC 1637mW/1623mW
04-18-2026 12:17:14 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@57.593C soc2@56.906C soc0@55.968C gpu@57.218C tj@57.593C soc1@56.75C VDD_IN 6749mW/6737mW VDD_CPU_GPU_CV 1913mW/1883mW VDD_SOC 1637mW/1627mW
04-18-2026 12:17:14 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@57.781C soc2@57C soc0@56.031C gpu@57.25C tj@57.781C soc1@56.812C VDD_IN 6789mW/6747mW VDD_CPU_GPU_CV 1913mW/1889mW VDD_SOC 1637mW/1629mW
04-18-2026 12:17:15 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.781C soc2@56.875C soc0@55.906C gpu@57.093C tj@57.781C soc1@56.75C VDD_IN 6800mW/6756mW VDD_CPU_GPU_CV 1953mW/1899mW VDD_SOC 1637mW/1630mW
04-18-2026 12:17:15 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 54% cpu@57.593C soc2@56.937C soc0@55.843C gpu@57.156C tj@57.593C soc1@56.75C VDD_IN 6800mW/6762mW VDD_CPU_GPU_CV 1913mW/1901mW VDD_SOC 1637mW/1631mW
04-18-2026 12:17:16 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@57.625C soc2@56.843C soc0@55.875C gpu@57.406C tj@57.625C soc1@57C VDD_IN 6800mW/6767mW VDD_CPU_GPU_CV 1913mW/1903mW VDD_SOC 1637mW/1632mW
04-18-2026 12:17:16 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 47% cpu@57.656C soc2@56.812C soc0@55.906C gpu@57C tj@57.656C soc1@56.968C VDD_IN 6800mW/6770mW VDD_CPU_GPU_CV 1913mW/1904mW VDD_SOC 1637mW/1632mW
04-18-2026 12:17:17 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@58.031C soc2@56.906C soc0@55.781C gpu@57.031C tj@58.031C soc1@57C VDD_IN 6800mW/6773mW VDD_CPU_GPU_CV 1913mW/1905mW VDD_SOC 1637mW/1633mW
04-18-2026 12:17:17 RAM 3848/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.593C soc2@56.812C soc0@55.718C gpu@57.156C tj@57.593C soc1@56.843C VDD_IN 6800mW/6776mW VDD_CPU_GPU_CV 1913mW/1905mW VDD_SOC 1637mW/1633mW
