04-18-2026 15:11:26 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [3%@883,3%@883,0%@883,0%@883,32%@1510,66%@1510] GR3D_FREQ 45% cpu@57.25C soc2@56.5C soc0@55.531C gpu@57C tj@57.25C soc1@56.375C VDD_IN 6868mW/6868mW VDD_CPU_GPU_CV 1913mW/1913mW VDD_SOC 1677mW/1677mW
04-18-2026 15:11:27 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [2%@1510,0%@1510,3%@1510,0%@729,1%@1510,100%@1510] GR3D_FREQ 65% cpu@57.312C soc2@56.5C soc0@55.562C gpu@57.281C tj@57.312C soc1@56.406C VDD_IN 7655mW/7261mW VDD_CPU_GPU_CV 2464mW/2188mW VDD_SOC 1751mW/1714mW
04-18-2026 15:11:27 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,2%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@57.312C soc2@56.625C soc0@55.593C gpu@57.5C tj@57.5C soc1@56.437C VDD_IN 7921mW/7481mW VDD_CPU_GPU_CV 2618mW/2331mW VDD_SOC 1791mW/1739mW
04-18-2026 15:11:28 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 66% cpu@57.5C soc2@56.718C soc0@55.562C gpu@57.031C tj@57.5C soc1@56.718C VDD_IN 7961mW/7601mW VDD_CPU_GPU_CV 2658mW/2413mW VDD_SOC 1791mW/1752mW
04-18-2026 15:11:28 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [3%@1510,3%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 78% cpu@57.375C soc2@56.718C soc0@55.531C gpu@57.093C tj@57.375C soc1@56.687C VDD_IN 8001mW/7681mW VDD_CPU_GPU_CV 2698mW/2470mW VDD_SOC 1788mW/1759mW
04-18-2026 15:11:29 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 63% cpu@57.812C soc2@56.687C soc0@55.562C gpu@57.062C tj@57.812C soc1@56.718C VDD_IN 8001mW/7734mW VDD_CPU_GPU_CV 2698mW/2508mW VDD_SOC 1788mW/1764mW
04-18-2026 15:11:29 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@57.406C soc2@56.781C soc0@55.625C gpu@57.187C tj@57.406C soc1@56.593C VDD_IN 8001mW/7772mW VDD_CPU_GPU_CV 2658mW/2529mW VDD_SOC 1788mW/1767mW
04-18-2026 15:11:30 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 80% cpu@57.593C soc2@56.718C soc0@55.625C gpu@57.25C tj@57.406C soc1@56.656C VDD_IN 8001mW/7801mW VDD_CPU_GPU_CV 2698mW/2550mW VDD_SOC 1788mW/1770mW
04-18-2026 15:11:30 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,3%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@57.781C soc2@56.75C soc0@55.625C gpu@57.5C tj@57.781C soc1@56.593C VDD_IN 8001mW/7823mW VDD_CPU_GPU_CV 2698mW/2567mW VDD_SOC 1788mW/1772mW
04-18-2026 15:11:31 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,2%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 68% cpu@57.843C soc2@56.781C soc0@55.562C gpu@57.125C tj@57.843C soc1@56.656C VDD_IN 8001mW/7841mW VDD_CPU_GPU_CV 2658mW/2576mW VDD_SOC 1788mW/1773mW
04-18-2026 15:11:31 RAM 5143/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,2%@1510,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 80% cpu@57.625C soc2@56.656C soc0@55.531C gpu@57.187C tj@57.625C soc1@56.593C VDD_IN 8001mW/7855mW VDD_CPU_GPU_CV 2698mW/2587mW VDD_SOC 1788mW/1775mW
