04-18-2026 13:45:16 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@883,0%@883,0%@883,1%@883,32%@729,0%@729] GR3D_FREQ 78% cpu@58.25C soc2@57.468C soc0@56.437C gpu@58.093C tj@58.25C soc1@57.406C VDD_IN 7028mW/7028mW VDD_CPU_GPU_CV 1990mW/1990mW VDD_SOC 1714mW/1714mW
04-18-2026 13:45:17 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,44%@729,0%@729] GR3D_FREQ 75% cpu@58.25C soc2@57.625C soc0@56.468C gpu@58.312C tj@58.312C soc1@57.406C VDD_IN 8160mW/7594mW VDD_CPU_GPU_CV 2777mW/2383mW VDD_SOC 1828mW/1771mW
04-18-2026 13:45:17 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,49%@729,0%@729] GR3D_FREQ 75% cpu@58.218C soc2@57.781C soc0@56.5C gpu@58.468C tj@58.468C soc1@57.437C VDD_IN 8928mW/8038mW VDD_CPU_GPU_CV 3361mW/2709mW VDD_SOC 1904mW/1815mW
04-18-2026 13:45:18 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,1%@729,54%@729] GR3D_FREQ 77% cpu@58.187C soc2@57.875C soc0@56.812C gpu@58.687C tj@58.687C soc1@57.375C VDD_IN 9309mW/8356mW VDD_CPU_GPU_CV 3672mW/2950mW VDD_SOC 1941mW/1846mW
04-18-2026 13:45:18 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@729,54%@729] GR3D_FREQ 75% cpu@58.187C soc2@57.906C soc0@56.781C gpu@58.656C tj@58.843C soc1@57.375C VDD_IN 9428mW/8570mW VDD_CPU_GPU_CV 3751mW/3110mW VDD_SOC 1938mW/1865mW
04-18-2026 13:45:19 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,2%@1510,2%@1510,0%@1510,0%@729,54%@729] GR3D_FREQ 83% cpu@58.25C soc2@57.875C soc0@56.781C gpu@58.687C tj@58.687C soc1@57.375C VDD_IN 9507mW/8726mW VDD_CPU_GPU_CV 3790mW/3223mW VDD_SOC 1938mW/1877mW
04-18-2026 13:45:19 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@729,53%@729] GR3D_FREQ 89% cpu@58.218C soc2@57.968C soc0@56.75C gpu@58.875C tj@58.875C soc1@57.406C VDD_IN 9507mW/8838mW VDD_CPU_GPU_CV 3790mW/3304mW VDD_SOC 1938mW/1885mW
04-18-2026 13:45:20 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,1%@909,5%@729,5%@729,1%@729,51%@729] GR3D_FREQ 77% cpu@58.437C soc2@58C soc0@56.875C gpu@58.968C tj@58.968C soc1@57.687C VDD_IN 9547mW/8926mW VDD_CPU_GPU_CV 3790mW/3365mW VDD_SOC 1938mW/1892mW
04-18-2026 13:45:20 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,54%@729,0%@729] GR3D_FREQ 84% cpu@58.281C soc2@58.093C soc0@56.812C gpu@58.843C tj@59.218C soc1@57.625C VDD_IN 9468mW/8986mW VDD_CPU_GPU_CV 3790mW/3412mW VDD_SOC 1938mW/1897mW
04-18-2026 13:45:21 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,5%@729,36%@729,21%@729] GR3D_FREQ 79% cpu@58.687C soc2@57.937C soc0@56.812C gpu@59C tj@58.843C soc1@57.656C VDD_IN 9468mW/9035mW VDD_CPU_GPU_CV 3751mW/3446mW VDD_SOC 1938mW/1901mW
04-18-2026 13:45:21 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@729,52%@729] GR3D_FREQ 77% cpu@58.312C soc2@57.937C soc0@56.781C gpu@59.187C tj@59.187C soc1@57.593C VDD_IN 9468mW/9074mW VDD_CPU_GPU_CV 3751mW/3473mW VDD_SOC 1941mW/1905mW
