04-18-2026 13:47:26 RAM 5691/7620MB (lfb 6x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@883,6%@883,1%@883,3%@883,0%@729,36%@729] GR3D_FREQ 99% cpu@58.437C soc2@58.093C soc0@57C gpu@58.75C tj@58.75C soc1@57.937C VDD_IN 6948mW/6948mW VDD_CPU_GPU_CV 1913mW/1913mW VDD_SOC 1714mW/1714mW
04-18-2026 13:47:27 RAM 5691/7620MB (lfb 6x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,16%@729,27%@729] GR3D_FREQ 89% cpu@58.437C soc2@58.156C soc0@57.031C gpu@58.781C tj@58.781C soc1@57.781C VDD_IN 8200mW/7574mW VDD_CPU_GPU_CV 2777mW/2345mW VDD_SOC 1828mW/1771mW
04-18-2026 13:47:27 RAM 5691/7620MB (lfb 6x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,0%@729,50%@729,1%@729] GR3D_FREQ 78% cpu@58.562C soc2@58.218C soc0@57.093C gpu@58.968C tj@58.968C soc1@58.062C VDD_IN 8967mW/8038mW VDD_CPU_GPU_CV 3361mW/2683mW VDD_SOC 1901mW/1814mW
04-18-2026 13:47:28 RAM 5691/7620MB (lfb 6x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,3%@1510,1%@729,5%@729,52%@729,0%@729] GR3D_FREQ 77% cpu@58.968C soc2@58.406C soc0@57.093C gpu@59.281C tj@59.281C soc1@58.062C VDD_IN 9388mW/8375mW VDD_CPU_GPU_CV 3672mW/2930mW VDD_SOC 1941mW/1846mW
04-18-2026 13:47:28 RAM 5691/7620MB (lfb 6x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,0%@729,54%@729,0%@729] GR3D_FREQ 93% cpu@58.687C soc2@58.343C soc0@57.125C gpu@59.156C tj@59.156C soc1@58.093C VDD_IN 9468mW/8594mW VDD_CPU_GPU_CV 3751mW/3094mW VDD_SOC 1938mW/1864mW
04-18-2026 13:47:29 RAM 5691/7620MB (lfb 6x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,0%@729,53%@729,1%@729] GR3D_FREQ 78% cpu@58.843C soc2@58.375C soc0@57.156C gpu@59.25C tj@59.25C soc1@58.093C VDD_IN 9507mW/8746mW VDD_CPU_GPU_CV 3790mW/3210mW VDD_SOC 1977mW/1883mW
04-18-2026 13:47:29 RAM 5691/7620MB (lfb 6x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@729,1%@729,1%@729,52%@729,0%@729] GR3D_FREQ 78% cpu@59.062C soc2@58.406C soc0@57.156C gpu@59.468C tj@59.468C soc1@58C VDD_IN 9507mW/8855mW VDD_CPU_GPU_CV 3751mW/3287mW VDD_SOC 1938mW/1891mW
04-18-2026 13:47:30 RAM 5691/7620MB (lfb 6x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,2%@1510,1%@729,0%@729,11%@729,39%@729] GR3D_FREQ 77% cpu@59.156C soc2@58.5C soc0@57.156C gpu@59.156C tj@59.156C soc1@57.968C VDD_IN 9507mW/8936mW VDD_CPU_GPU_CV 3751mW/3345mW VDD_SOC 1938mW/1896mW
04-18-2026 13:47:30 RAM 5691/7620MB (lfb 6x4MB) SWAP 661/3810MB (cached 0MB) CPU [2%@1510,0%@1510,1%@729,0%@729,0%@729,55%@729] GR3D_FREQ 91% cpu@58.875C soc2@58.312C soc0@57.125C gpu@59.218C tj@59.218C soc1@58C VDD_IN 9507mW/8999mW VDD_CPU_GPU_CV 3790mW/3395mW VDD_SOC 1938mW/1901mW
04-18-2026 13:47:31 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [5%@1510,3%@1510,0%@729,0%@729,11%@729,40%@729] GR3D_FREQ 77% cpu@59.031C soc2@58.562C soc0@57.156C gpu@59.312C tj@59.312C soc1@58C VDD_IN 9428mW/9042mW VDD_CPU_GPU_CV 3711mW/3426mW VDD_SOC 1938mW/1905mW
04-18-2026 13:47:31 RAM 5690/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@729,51%@729] GR3D_FREQ 83% cpu@59.093C soc2@58.468C soc0@57.156C gpu@59.312C tj@59.312C soc1@58C VDD_IN 9507mW/9084mW VDD_CPU_GPU_CV 3751mW/3456mW VDD_SOC 1938mW/1908mW
