04-18-2026 14:28:57 RAM 5871/7620MB (lfb 27x4MB) SWAP 2689/3810MB (cached 9MB) CPU [2%@883,3%@883,1%@883,3%@883,2%@729,44%@729] GR3D_FREQ 66% cpu@57.281C soc2@56.562C soc0@55.375C gpu@57.187C tj@57.281C soc1@56.437C VDD_IN 6640mW/6640mW VDD_CPU_GPU_CV 1674mW/1674mW VDD_SOC 1677mW/1677mW
04-18-2026 14:28:58 RAM 5871/7620MB (lfb 27x4MB) SWAP 2689/3810MB (cached 9MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,0%@729,42%@729] GR3D_FREQ 80% cpu@57.062C soc2@56.593C soc0@55.375C gpu@56.781C tj@57.062C soc1@56.437C VDD_IN 7228mW/6934mW VDD_CPU_GPU_CV 2070mW/1872mW VDD_SOC 1754mW/1715mW
04-18-2026 14:28:58 RAM 5871/7620MB (lfb 27x4MB) SWAP 2689/3810MB (cached 9MB) CPU [1%@1510,0%@1510,0%@729,1%@729,8%@729,42%@729] GR3D_FREQ 71% cpu@57.093C soc2@56.562C soc0@55.562C gpu@57.125C tj@57.125C soc1@56.343C VDD_IN 7695mW/7187mW VDD_CPU_GPU_CV 2384mW/2042mW VDD_SOC 1791mW/1740mW
04-18-2026 14:28:59 RAM 5871/7620MB (lfb 27x4MB) SWAP 2689/3810MB (cached 9MB) CPU [0%@1510,0%@1510,5%@729,0%@729,51%@729,0%@729] GR3D_FREQ 59% cpu@57.218C soc2@56.562C soc0@55.437C gpu@57.281C tj@57.281C soc1@56.406C VDD_IN 7921mW/7371mW VDD_CPU_GPU_CV 2579mW/2176mW VDD_SOC 1791mW/1753mW
04-18-2026 14:28:59 RAM 5873/7620MB (lfb 23x4MB) SWAP 2688/3810MB (cached 9MB) CPU [6%@1510,0%@1510,0%@1510,0%@729,40%@729,14%@729] GR3D_FREQ 83% cpu@57.125C soc2@56.687C soc0@55.531C gpu@57.437C tj@57.437C soc1@56.437C VDD_IN 7961mW/7489mW VDD_CPU_GPU_CV 2579mW/2257mW VDD_SOC 1831mW/1768mW
04-18-2026 14:29:00 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,3%@1510,1%@1510,1%@1510,0%@729,54%@729] GR3D_FREQ 85% cpu@57.156C soc2@56.687C soc0@55.625C gpu@57.25C tj@57.25C soc1@56.437C VDD_IN 8001mW/7574mW VDD_CPU_GPU_CV 2618mW/2317mW VDD_SOC 1831mW/1779mW
04-18-2026 14:29:00 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [5%@1510,0%@1510,0%@1510,0%@1510,0%@729,52%@729] GR3D_FREQ 87% cpu@57C soc2@56.593C soc0@55.593C gpu@57.406C tj@57.406C soc1@56.312C VDD_IN 8001mW/7635mW VDD_CPU_GPU_CV 2618mW/2360mW VDD_SOC 1831mW/1786mW
04-18-2026 14:29:01 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,18%@729,34%@729] GR3D_FREQ 88% cpu@57.187C soc2@56.656C soc0@55.593C gpu@57.281C tj@57.281C soc1@56.562C VDD_IN 8001mW/7681mW VDD_CPU_GPU_CV 2618mW/2392mW VDD_SOC 1831mW/1792mW
04-18-2026 14:29:01 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,0%@1510,5%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 89% cpu@57.281C soc2@56.562C soc0@55.531C gpu@57.468C tj@57.468C soc1@56.625C VDD_IN 8001mW/7716mW VDD_CPU_GPU_CV 2618mW/2417mW VDD_SOC 1831mW/1796mW
04-18-2026 14:29:02 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,1%@1510,2%@1510,3%@1510,54%@729,0%@729] GR3D_FREQ 78% cpu@57.562C soc2@56.687C soc0@55.593C gpu@57.656C tj@57.656C soc1@56.5C VDD_IN 8001mW/7745mW VDD_CPU_GPU_CV 2618mW/2437mW VDD_SOC 1828mW/1799mW
04-18-2026 14:29:02 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 72% cpu@57.281C soc2@56.625C soc0@55.593C gpu@57.531C tj@57.281C soc1@56.5C VDD_IN 8001mW/7768mW VDD_CPU_GPU_CV 2618mW/2454mW VDD_SOC 1828mW/1802mW
04-18-2026 14:29:03 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 70% cpu@57.281C soc2@56.718C soc0@55.531C gpu@57.687C tj@57.687C soc1@56.468C VDD_IN 8001mW/7787mW VDD_CPU_GPU_CV 2658mW/2471mW VDD_SOC 1828mW/1804mW
04-18-2026 14:29:03 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,0%@1510,0%@1510,1%@1510,53%@729,0%@729] GR3D_FREQ 59% cpu@57.187C soc2@56.781C soc0@55.437C gpu@57.312C tj@57.312C soc1@56.406C VDD_IN 8001mW/7804mW VDD_CPU_GPU_CV 2618mW/2482mW VDD_SOC 1828mW/1806mW
04-18-2026 14:29:04 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,15%@729,40%@729] GR3D_FREQ 62% cpu@57.218C soc2@56.718C soc0@55.718C gpu@57.656C tj@57.656C soc1@56.406C VDD_IN 8001mW/7818mW VDD_CPU_GPU_CV 2618mW/2492mW VDD_SOC 1828mW/1807mW
04-18-2026 14:29:04 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,0%@1510,3%@1510,0%@1510,9%@729,45%@729] GR3D_FREQ 60% cpu@57.125C soc2@56.687C soc0@55.656C gpu@57.25C tj@57.25C soc1@56.406C VDD_IN 8041mW/7833mW VDD_CPU_GPU_CV 2658mW/2503mW VDD_SOC 1828mW/1809mW
04-18-2026 14:29:05 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 59% cpu@57.187C soc2@56.687C soc0@55.625C gpu@57.25C tj@57.25C soc1@56.406C VDD_IN 8001mW/7843mW VDD_CPU_GPU_CV 2618mW/2510mW VDD_SOC 1828mW/1810mW
04-18-2026 14:29:05 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 59% cpu@57.375C soc2@56.656C soc0@55.562C gpu@57.187C tj@57.375C soc1@56.625C VDD_IN 8001mW/7852mW VDD_CPU_GPU_CV 2658mW/2518mW VDD_SOC 1828mW/1811mW
04-18-2026 14:29:06 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,52%@729,0%@729] GR3D_FREQ 60% cpu@57.093C soc2@56.656C soc0@55.625C gpu@57.343C tj@57.343C soc1@56.562C VDD_IN 8041mW/7863mW VDD_CPU_GPU_CV 2658mW/2526mW VDD_SOC 1828mW/1812mW
04-18-2026 14:29:06 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [3%@1510,9%@1510,1%@1510,0%@1510,44%@729,0%@729] GR3D_FREQ 58% cpu@57.343C soc2@56.625C soc0@55.531C gpu@57.406C tj@57.406C soc1@56.5C VDD_IN 8001mW/7870mW VDD_CPU_GPU_CV 2618mW/2531mW VDD_SOC 1828mW/1813mW
04-18-2026 14:29:07 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [3%@1510,52%@1510,3%@1510,3%@1510,0%@729,1%@729] GR3D_FREQ 59% cpu@57.437C soc2@56.687C soc0@55.531C gpu@57.156C tj@57.437C soc1@56.468C VDD_IN 7961mW/7875mW VDD_CPU_GPU_CV 2618mW/2535mW VDD_SOC 1828mW/1813mW
04-18-2026 14:29:07 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,54%@1510,0%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 69% cpu@57.25C soc2@56.781C soc0@55.531C gpu@57.406C tj@57.593C soc1@56.468C VDD_IN 8001mW/7881mW VDD_CPU_GPU_CV 2618mW/2539mW VDD_SOC 1831mW/1814mW
04-18-2026 14:29:08 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,53%@1510,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 86% cpu@57.218C soc2@56.75C soc0@55.593C gpu@57.468C tj@57.468C soc1@56.406C VDD_IN 7961mW/7884mW VDD_CPU_GPU_CV 2618mW/2543mW VDD_SOC 1831mW/1815mW
04-18-2026 14:29:08 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,52%@1510,1%@729,0%@729,1%@729,1%@729] GR3D_FREQ 86% cpu@57.406C soc2@56.812C soc0@55.593C gpu@57.156C tj@57.406C soc1@56.406C VDD_IN 8001mW/7889mW VDD_CPU_GPU_CV 2618mW/2546mW VDD_SOC 1828mW/1815mW
04-18-2026 14:29:09 RAM 5873/7620MB (lfb 23x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,12%@1510,42%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 75% cpu@57.156C soc2@56.781C soc0@55.625C gpu@57.437C tj@57.437C soc1@56.468C VDD_IN 8001mW/7894mW VDD_CPU_GPU_CV 2618mW/2549mW VDD_SOC 1831mW/1816mW
04-18-2026 14:29:09 RAM 5875/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [8%@1510,0%@729,42%@729,1%@729,1%@729,9%@729] GR3D_FREQ 59% cpu@57.218C soc2@56.656C soc0@55.75C gpu@57.75C tj@57.75C soc1@56.406C VDD_IN 8041mW/7900mW VDD_CPU_GPU_CV 2618mW/2552mW VDD_SOC 1828mW/1817mW
04-18-2026 14:29:10 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [18%@1510,0%@1510,0%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 59% cpu@57.187C soc2@56.656C soc0@55.718C gpu@57.218C tj@57.281C soc1@56.437C VDD_IN 8041mW/7905mW VDD_CPU_GPU_CV 2658mW/2556mW VDD_SOC 1828mW/1817mW
04-18-2026 14:29:10 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,0%@1510,1%@729,6%@729,4%@729,49%@729] GR3D_FREQ 59% cpu@57.218C soc2@56.718C soc0@55.781C gpu@57.312C tj@57.312C soc1@56.437C VDD_IN 8041mW/7910mW VDD_CPU_GPU_CV 2658mW/2560mW VDD_SOC 1828mW/1817mW
