04-18-2026 14:42:59 RAM 5411/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [2%@883,5%@883,0%@883,3%@883,28%@729,23%@729] GR3D_FREQ 80% cpu@55.375C soc2@54.718C soc0@53.718C gpu@55C tj@55.375C soc1@54.625C VDD_IN 6789mW/6789mW VDD_CPU_GPU_CV 1794mW/1794mW VDD_SOC 1677mW/1677mW
04-18-2026 14:42:59 RAM 5411/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,1%@1510,3%@729,1%@729,53%@729,1%@729] GR3D_FREQ 73% cpu@55.625C soc2@54.781C soc0@53.75C gpu@55.156C tj@55.406C soc1@54.625C VDD_IN 6988mW/6888mW VDD_CPU_GPU_CV 1913mW/1853mW VDD_SOC 1714mW/1695mW
04-18-2026 14:43:00 RAM 5410/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [2%@1510,0%@1510,1%@729,1%@729,59%@729,0%@729] GR3D_FREQ 58% cpu@55.406C soc2@54.843C soc0@53.812C gpu@55.156C tj@55.406C soc1@54.687C VDD_IN 7336mW/7037mW VDD_CPU_GPU_CV 2149mW/1952mW VDD_SOC 1754mW/1715mW
04-18-2026 14:43:00 RAM 5410/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,1%@1510,0%@729,2%@729,60%@729,1%@729] GR3D_FREQ 72% cpu@55.5C soc2@54.937C soc0@53.812C gpu@55.375C tj@55.5C soc1@54.875C VDD_IN 7495mW/7152mW VDD_CPU_GPU_CV 2269mW/2031mW VDD_SOC 1754mW/1724mW
04-18-2026 14:43:01 RAM 5410/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [3%@1510,0%@1510,3%@1510,1%@1510,64%@729,0%@729] GR3D_FREQ 59% cpu@55.656C soc2@54.875C soc0@53.781C gpu@55.406C tj@55.656C soc1@54.875C VDD_IN 7416mW/7204mW VDD_CPU_GPU_CV 2229mW/2070mW VDD_SOC 1754mW/1730mW
04-18-2026 14:43:01 RAM 5410/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,60%@729,0%@729] GR3D_FREQ 73% cpu@55.812C soc2@54.968C soc0@53.875C gpu@55.437C tj@55.812C soc1@54.812C VDD_IN 7575mW/7266mW VDD_CPU_GPU_CV 2305mW/2109mW VDD_SOC 1751mW/1734mW
04-18-2026 14:43:02 RAM 5410/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@912,0%@729,0%@729,63%@729,0%@729] GR3D_FREQ 59% cpu@55.562C soc2@54.937C soc0@53.812C gpu@55.468C tj@55.562C soc1@54.843C VDD_IN 7495mW/7299mW VDD_CPU_GPU_CV 2265mW/2132mW VDD_SOC 1754mW/1736mW
04-18-2026 14:43:02 RAM 5410/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,1%@729,0%@729,1%@729,62%@729,0%@729] GR3D_FREQ 72% cpu@55.656C soc2@54.968C soc0@53.843C gpu@55.593C tj@55.656C soc1@54.875C VDD_IN 7456mW/7318mW VDD_CPU_GPU_CV 2229mW/2144mW VDD_SOC 1754mW/1739mW
04-18-2026 14:43:03 RAM 5410/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,0%@1510,2%@729,0%@729,61%@729,0%@729] GR3D_FREQ 72% cpu@55.437C soc2@55.031C soc0@54.125C gpu@55.906C tj@55.906C soc1@54.812C VDD_IN 7535mW/7342mW VDD_CPU_GPU_CV 2265mW/2157mW VDD_SOC 1751mW/1740mW
04-18-2026 14:43:04 RAM 5410/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [2%@1510,1%@1510,3%@1510,0%@1510,62%@729,0%@729] GR3D_FREQ 64% cpu@55.531C soc2@55.062C soc0@54.062C gpu@55.406C tj@55.531C soc1@54.781C VDD_IN 7495mW/7358mW VDD_CPU_GPU_CV 2305mW/2172mW VDD_SOC 1754mW/1741mW
04-18-2026 14:43:04 RAM 5410/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [3%@1510,0%@889,0%@729,1%@729,64%@729,0%@729] GR3D_FREQ 64% cpu@55.625C soc2@55C soc0@54.062C gpu@55.875C tj@55.875C soc1@54.843C VDD_IN 7535mW/7374mW VDD_CPU_GPU_CV 2305mW/2184mW VDD_SOC 1754mW/1742mW
