04-18-2026 14:47:19 RAM 5427/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [2%@883,3%@883,0%@883,1%@883,47%@729,0%@729] GR3D_FREQ 85% cpu@56.812C soc2@56C soc0@54.968C gpu@56.25C tj@56.812C soc1@56C VDD_IN 6290mW/6290mW VDD_CPU_GPU_CV 1477mW/1477mW VDD_SOC 1640mW/1640mW
04-18-2026 14:47:20 RAM 5427/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,0%@729,3%@729,52%@729,1%@729] GR3D_FREQ 67% cpu@56.625C soc2@56.062C soc0@54.906C gpu@56.437C tj@56.625C soc1@56C VDD_IN 6800mW/6545mW VDD_CPU_GPU_CV 1794mW/1635mW VDD_SOC 1677mW/1658mW
04-18-2026 14:47:20 RAM 5427/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,1%@729,0%@729,61%@729,0%@729] GR3D_FREQ 60% cpu@56.843C soc2@56.187C soc0@55C gpu@56.718C tj@56.843C soc1@55.937C VDD_IN 7376mW/6822mW VDD_CPU_GPU_CV 2189mW/1820mW VDD_SOC 1754mW/1690mW
04-18-2026 14:47:21 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,1%@1510,2%@729,0%@729,61%@729,0%@729] GR3D_FREQ 63% cpu@56.812C soc2@56.187C soc0@54.937C gpu@56.968C tj@56.968C soc1@55.937C VDD_IN 7495mW/6990mW VDD_CPU_GPU_CV 2269mW/1932mW VDD_SOC 1754mW/1706mW
04-18-2026 14:47:21 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,1%@729,0%@729,64%@729,0%@729] GR3D_FREQ 64% cpu@56.687C soc2@56.156C soc0@54.906C gpu@56.531C tj@56.687C soc1@55.906C VDD_IN 7456mW/7083mW VDD_CPU_GPU_CV 2269mW/1999mW VDD_SOC 1754mW/1715mW
04-18-2026 14:47:22 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [3%@1510,0%@1510,3%@729,2%@729,61%@729,0%@729] GR3D_FREQ 72% cpu@56.812C soc2@56.187C soc0@55.125C gpu@56.656C tj@56.812C soc1@55.937C VDD_IN 7575mW/7165mW VDD_CPU_GPU_CV 2344mW/2057mW VDD_SOC 1751mW/1721mW
04-18-2026 14:47:22 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,1%@1510,0%@1510,0%@729,60%@729,0%@729] GR3D_FREQ 64% cpu@56.625C soc2@56.218C soc0@55.125C gpu@56.718C tj@56.906C soc1@56C VDD_IN 7535mW/7218mW VDD_CPU_GPU_CV 2305mW/2092mW VDD_SOC 1751mW/1725mW
04-18-2026 14:47:23 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [2%@1510,1%@729,3%@729,1%@729,64%@729,0%@729] GR3D_FREQ 64% cpu@56.593C soc2@56.187C soc0@55.156C gpu@56.843C tj@56.843C soc1@55.968C VDD_IN 7495mW/7252mW VDD_CPU_GPU_CV 2269mW/2114mW VDD_SOC 1754mW/1729mW
04-18-2026 14:47:23 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,1%@1510,2%@1510,60%@729,0%@729] GR3D_FREQ 64% cpu@56.781C soc2@56.125C soc0@55.187C gpu@56.75C tj@56.781C soc1@55.937C VDD_IN 7535mW/7284mW VDD_CPU_GPU_CV 2305mW/2135mW VDD_SOC 1751mW/1731mW
04-18-2026 14:47:24 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1356,3%@1510,0%@1510,5%@729,62%@729,0%@729] GR3D_FREQ 58% cpu@56.656C soc2@56.218C soc0@55.125C gpu@56.875C tj@56.875C soc1@55.968C VDD_IN 7535mW/7309mW VDD_CPU_GPU_CV 2305mW/2152mW VDD_SOC 1751mW/1733mW
04-18-2026 14:47:24 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@729,0%@729,0%@729,62%@729,0%@729] GR3D_FREQ 58% cpu@56.687C soc2@56.187C soc0@55.093C gpu@56.531C tj@56.687C soc1@55.906C VDD_IN 7535mW/7329mW VDD_CPU_GPU_CV 2305mW/2166mW VDD_SOC 1751mW/1735mW
