04-18-2026 16:59:33 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [7%@883,0%@883,0%@883,0%@883,1%@1510,98%@1510] GR3D_FREQ 60% cpu@56.187C soc2@55.156C soc0@54.187C gpu@55.562C tj@56.187C soc1@55.281C VDD_IN 6290mW/6290mW VDD_CPU_GPU_CV 1557mW/1557mW VDD_SOC 1600mW/1600mW
04-18-2026 16:59:33 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [2%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@56.312C soc2@55.281C soc0@54.218C gpu@55.812C tj@56.312C soc1@55.343C VDD_IN 6720mW/6505mW VDD_CPU_GPU_CV 1873mW/1715mW VDD_SOC 1637mW/1618mW
04-18-2026 16:59:34 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [2%@1510,1%@729,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@56.468C soc2@55.25C soc0@54.218C gpu@55.437C tj@56.468C soc1@55.375C VDD_IN 6868mW/6626mW VDD_CPU_GPU_CV 1953mW/1794mW VDD_SOC 1637mW/1624mW
04-18-2026 16:59:34 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,3%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@56.25C soc2@55.406C soc0@54.281C gpu@55.593C tj@56.25C soc1@55.281C VDD_IN 6948mW/6706mW VDD_CPU_GPU_CV 2033mW/1854mW VDD_SOC 1637mW/1627mW
04-18-2026 16:59:35 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [3%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@56.343C soc2@55.343C soc0@54.218C gpu@56.062C tj@56.343C soc1@55.375C VDD_IN 6988mW/6762mW VDD_CPU_GPU_CV 2033mW/1889mW VDD_SOC 1637mW/1629mW
04-18-2026 16:59:35 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@56.406C soc2@55.343C soc0@54.343C gpu@55.531C tj@56.406C soc1@55.281C VDD_IN 6948mW/6793mW VDD_CPU_GPU_CV 2033mW/1913mW VDD_SOC 1637mW/1630mW
04-18-2026 16:59:36 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [3%@1510,1%@1510,1%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 54% cpu@56.25C soc2@55.375C soc0@54.437C gpu@55.656C tj@56.25C soc1@55.375C VDD_IN 6948mW/6815mW VDD_CPU_GPU_CV 2033mW/1930mW VDD_SOC 1637mW/1631mW
04-18-2026 16:59:36 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,1%@883,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@56.312C soc2@55.406C soc0@54.5C gpu@55.687C tj@56.312C soc1@55.312C VDD_IN 6948mW/6832mW VDD_CPU_GPU_CV 2033mW/1943mW VDD_SOC 1634mW/1632mW
04-18-2026 16:59:37 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@56.156C soc2@55.437C soc0@54.437C gpu@55.968C tj@56.156C soc1@55.343C VDD_IN 6988mW/6849mW VDD_CPU_GPU_CV 2073mW/1957mW VDD_SOC 1634mW/1632mW
04-18-2026 16:59:37 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@56.218C soc2@55.375C soc0@54.468C gpu@55.75C tj@56.218C soc1@55.312C VDD_IN 6988mW/6863mW VDD_CPU_GPU_CV 2070mW/1969mW VDD_SOC 1634mW/1632mW
04-18-2026 16:59:38 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [2%@1510,0%@1510,5%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 60% cpu@56.5C soc2@55.375C soc0@54.312C gpu@55.937C tj@56.5C soc1@55.187C VDD_IN 6948mW/6871mW VDD_CPU_GPU_CV 2033mW/1974mW VDD_SOC 1637mW/1632mW
04-18-2026 16:59:38 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [3%@1510,0%@1510,5%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@56.187C soc2@55.312C soc0@54.281C gpu@55.562C tj@56.187C soc1@55.531C VDD_IN 6948mW/6877mW VDD_CPU_GPU_CV 2033mW/1979mW VDD_SOC 1637mW/1633mW
04-18-2026 16:59:39 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@56.125C soc2@55.25C soc0@54.312C gpu@55.625C tj@56.125C soc1@55.468C VDD_IN 6988mW/6886mW VDD_CPU_GPU_CV 2070mW/1986mW VDD_SOC 1634mW/1633mW
04-18-2026 16:59:39 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@56.5C soc2@55.406C soc0@54.343C gpu@55.718C tj@56.5C soc1@55.468C VDD_IN 6988mW/6893mW VDD_CPU_GPU_CV 2073mW/1992mW VDD_SOC 1634mW/1633mW
04-18-2026 16:59:40 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [3%@1510,3%@1510,2%@1510,0%@1510,3%@1510,100%@1510] GR3D_FREQ 67% cpu@56.625C soc2@55.312C soc0@54.281C gpu@55.593C tj@56.625C soc1@55.5C VDD_IN 6948mW/6896mW VDD_CPU_GPU_CV 2033mW/1995mW VDD_SOC 1637mW/1633mW
04-18-2026 16:59:40 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@56.312C soc2@55.312C soc0@54.281C gpu@55.687C tj@56.312C soc1@55.468C VDD_IN 6908mW/6897mW VDD_CPU_GPU_CV 1993mW/1995mW VDD_SOC 1637mW/1633mW
