04-18-2026 17:50:08 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@883,1%@883,3%@883,0%@883,70%@806,0%@806] GR3D_FREQ 45% cpu@55.312C soc2@54.656C soc0@53.906C gpu@55.093C tj@55.312C soc1@54.781C VDD_IN 6049mW/6049mW VDD_CPU_GPU_CV 1280mW/1280mW VDD_SOC 1600mW/1600mW
04-18-2026 17:50:09 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [1%@1510,2%@1510,2%@1510,1%@1510,4%@883,70%@883] GR3D_FREQ 51% cpu@55.5C soc2@54.75C soc0@53.843C gpu@55.25C tj@55.5C soc1@55.031C VDD_IN 6360mW/6204mW VDD_CPU_GPU_CV 1477mW/1378mW VDD_SOC 1640mW/1620mW
04-18-2026 17:50:09 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 51% cpu@55.562C soc2@54.781C soc0@53.843C gpu@55.218C tj@55.562C soc1@54.843C VDD_IN 6520mW/6309mW VDD_CPU_GPU_CV 1597mW/1451mW VDD_SOC 1680mW/1640mW
04-18-2026 17:50:10 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,1%@1510,1%@1510,6%@1510,0%@806,69%@806] GR3D_FREQ 48% cpu@55.812C soc2@54.812C soc0@53.781C gpu@55.187C tj@55.812C soc1@54.937C VDD_IN 6600mW/6382mW VDD_CPU_GPU_CV 1597mW/1487mW VDD_SOC 1677mW/1649mW
04-18-2026 17:50:10 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,3%@806,72%@806] GR3D_FREQ 45% cpu@55.468C soc2@54.843C soc0@53.906C gpu@55.125C tj@55.468C soc1@54.968C VDD_IN 6520mW/6409mW VDD_CPU_GPU_CV 1597mW/1509mW VDD_SOC 1640mW/1647mW
04-18-2026 17:50:11 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 48% cpu@55.625C soc2@54.906C soc0@53.843C gpu@55.312C tj@55.625C soc1@54.843C VDD_IN 6600mW/6441mW VDD_CPU_GPU_CV 1634mW/1530mW VDD_SOC 1677mW/1652mW
04-18-2026 17:50:12 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@806,72%@806] GR3D_FREQ 63% cpu@55.5C soc2@54.875C soc0@53.968C gpu@55.468C tj@55.5C soc1@54.812C VDD_IN 6520mW/6452mW VDD_CPU_GPU_CV 1597mW/1539mW VDD_SOC 1637mW/1650mW
04-18-2026 17:50:12 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [3%@1510,1%@1510,3%@1510,1%@1510,0%@806,71%@806] GR3D_FREQ 55% cpu@55.562C soc2@54.906C soc0@54C gpu@55.281C tj@55.562C soc1@54.812C VDD_IN 6520mW/6461mW VDD_CPU_GPU_CV 1597mW/1547mW VDD_SOC 1677mW/1653mW
04-18-2026 17:50:13 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@1510,1%@1510,0%@1510,1%@1510,2%@729,70%@729] GR3D_FREQ 62% cpu@55.406C soc2@54.875C soc0@53.875C gpu@55.468C tj@55.468C soc1@54.781C VDD_IN 6600mW/6476mW VDD_CPU_GPU_CV 1637mW/1557mW VDD_SOC 1677mW/1656mW
04-18-2026 17:50:13 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,1%@1510,0%@1510,3%@1510,0%@806,73%@806] GR3D_FREQ 45% cpu@55.468C soc2@54.812C soc0@53.875C gpu@55.062C tj@55.468C soc1@54.812C VDD_IN 6520mW/6480mW VDD_CPU_GPU_CV 1557mW/1557mW VDD_SOC 1640mW/1654mW
04-18-2026 17:50:14 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,32%@806,38%@806] GR3D_FREQ 51% cpu@55.718C soc2@54.875C soc0@53.937C gpu@55.468C tj@55.718C soc1@55.062C VDD_IN 6560mW/6488mW VDD_CPU_GPU_CV 1597mW/1560mW VDD_SOC 1677mW/1656mW
