04-18-2026 17:37:04 RAM 5737/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@883,0%@883,0%@883,5%@883,28%@1510,59%@1510] GR3D_FREQ 71% cpu@58.875C soc2@57.906C soc0@56.843C gpu@58.625C tj@58.875C soc1@57.843C VDD_IN 7228mW/7228mW VDD_CPU_GPU_CV 2109mW/2109mW VDD_SOC 1754mW/1754mW
04-18-2026 17:37:05 RAM 5737/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@1510,0%@1510,1%@1510,0%@1510,98%@1510] GR3D_FREQ 66% cpu@59.031C soc2@58.031C soc0@56.812C gpu@58.625C tj@59.031C soc1@57.812C VDD_IN 8465mW/7846mW VDD_CPU_GPU_CV 2971mW/2540mW VDD_SOC 1864mW/1809mW
04-18-2026 17:37:05 RAM 5737/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 87% cpu@58.75C soc2@58.125C soc0@56.937C gpu@58.656C tj@58.75C soc1@57.937C VDD_IN 8808mW/8167mW VDD_CPU_GPU_CV 3208mW/2762mW VDD_SOC 1904mW/1840mW
04-18-2026 17:37:06 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 78% cpu@59.031C soc2@58.093C soc0@56.843C gpu@58.75C tj@59.031C soc1@57.906C VDD_IN 8888mW/8347mW VDD_CPU_GPU_CV 3243mW/2882mW VDD_SOC 1941mW/1865mW
04-18-2026 17:37:06 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 68% cpu@59.187C soc2@58.187C soc0@57C gpu@58.968C tj@59.187C soc1@57.812C VDD_IN 9007mW/8479mW VDD_CPU_GPU_CV 3401mW/2986mW VDD_SOC 1941mW/1880mW
04-18-2026 17:37:07 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,7%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@59.218C soc2@58.156C soc0@56.937C gpu@59.187C tj@59.218C soc1@57.781C VDD_IN 9086mW/8580mW VDD_CPU_GPU_CV 3441mW/3062mW VDD_SOC 1941mW/1890mW
04-18-2026 17:37:07 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59C soc2@58.218C soc0@57C gpu@58.812C tj@59C soc1@57.812C VDD_IN 9047mW/8647mW VDD_CPU_GPU_CV 3441mW/3116mW VDD_SOC 1941mW/1898mW
04-18-2026 17:37:08 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@909,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 57% cpu@59.125C soc2@58.156C soc0@56.968C gpu@58.906C tj@59.125C soc1@57.843C VDD_IN 8967mW/8687mW VDD_CPU_GPU_CV 3401mW/3151mW VDD_SOC 1904mW/1898mW
04-18-2026 17:37:08 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.218C soc2@58.312C soc0@56.937C gpu@58.843C tj@59.218C soc1@57.75C VDD_IN 9047mW/8727mW VDD_CPU_GPU_CV 3441mW/3184mW VDD_SOC 1901mW/1899mW
04-18-2026 17:37:09 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@59.062C soc2@58.281C soc0@56.937C gpu@58.906C tj@59.062C soc1@57.75C VDD_IN 9166mW/8770mW VDD_CPU_GPU_CV 3480mW/3213mW VDD_SOC 1941mW/1903mW
04-18-2026 17:37:09 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 74% cpu@58.968C soc2@58.218C soc0@57.25C gpu@59C tj@59C soc1@57.843C VDD_IN 9166mW/8806mW VDD_CPU_GPU_CV 3441mW/3234mW VDD_SOC 1941mW/1906mW
