04-18-2026 17:39:14 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@883,0%@883,0%@883,5%@883,0%@1510,85%@1510] GR3D_FREQ 72% cpu@58.718C soc2@57.968C soc0@57C gpu@58.593C tj@58.718C soc1@57.812C VDD_IN 7068mW/7068mW VDD_CPU_GPU_CV 1950mW/1950mW VDD_SOC 1754mW/1754mW
04-18-2026 17:39:15 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,3%@1510,3%@729,3%@729,0%@1510,94%@1510] GR3D_FREQ 61% cpu@58.718C soc2@58.062C soc0@57C gpu@58.937C tj@58.718C soc1@57.781C VDD_IN 8306mW/7687mW VDD_CPU_GPU_CV 2856mW/2403mW VDD_SOC 1867mW/1810mW
04-18-2026 17:39:15 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 76% cpu@58.781C soc2@58.062C soc0@56.968C gpu@58.593C tj@58.781C soc1@57.781C VDD_IN 8729mW/8034mW VDD_CPU_GPU_CV 3164mW/2656mW VDD_SOC 1904mW/1841mW
04-18-2026 17:39:16 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 86% cpu@58.937C soc2@58.187C soc0@57.062C gpu@58.781C tj@58.937C soc1@57.75C VDD_IN 8848mW/8237mW VDD_CPU_GPU_CV 3243mW/2803mW VDD_SOC 1904mW/1857mW
04-18-2026 17:39:16 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,5%@1510,5%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 66% cpu@58.937C soc2@58.125C soc0@57C gpu@58.968C tj@58.968C soc1@57.812C VDD_IN 9047mW/8399mW VDD_CPU_GPU_CV 3401mW/2922mW VDD_SOC 1941mW/1874mW
04-18-2026 17:39:17 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 59% cpu@58.906C soc2@58.156C soc0@57.093C gpu@59.187C tj@59.187C soc1@57.781C VDD_IN 9086mW/8514mW VDD_CPU_GPU_CV 3480mW/3015mW VDD_SOC 1941mW/1885mW
04-18-2026 17:39:17 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@59.281C soc2@58.156C soc0@57.062C gpu@58.843C tj@58.937C soc1@57.718C VDD_IN 9047mW/8590mW VDD_CPU_GPU_CV 3441mW/3076mW VDD_SOC 1941mW/1893mW
04-18-2026 17:39:18 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@58.937C soc2@58.312C soc0@57.093C gpu@58.843C tj@58.937C soc1@57.781C VDD_IN 9007mW/8642mW VDD_CPU_GPU_CV 3401mW/3117mW VDD_SOC 1901mW/1894mW
04-18-2026 17:39:18 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@58.968C soc2@58.25C soc0@57.031C gpu@58.937C tj@58.968C soc1@57.906C VDD_IN 9007mW/8682mW VDD_CPU_GPU_CV 3401mW/3148mW VDD_SOC 1901mW/1894mW
04-18-2026 17:39:19 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 57% cpu@59.187C soc2@58.312C soc0@57C gpu@58.968C tj@59.187C soc1@58.031C VDD_IN 9126mW/8727mW VDD_CPU_GPU_CV 3441mW/3177mW VDD_SOC 1941mW/1899mW
04-18-2026 17:39:19 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@59.406C soc2@58.281C soc0@57.031C gpu@59.093C tj@59.406C soc1@58C VDD_IN 9086mW/8759mW VDD_CPU_GPU_CV 3441mW/3201mW VDD_SOC 1941mW/1903mW
04-18-2026 17:39:20 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,5%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.031C soc2@58.25C soc0@57.093C gpu@59C tj@59.031C soc1@57.937C VDD_IN 9047mW/8783mW VDD_CPU_GPU_CV 3401mW/3218mW VDD_SOC 1941mW/1906mW
04-18-2026 17:39:20 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 68% cpu@59.156C soc2@58.25C soc0@57C gpu@59.25C tj@59.25C soc1@57.968C VDD_IN 9007mW/8800mW VDD_CPU_GPU_CV 3401mW/3232mW VDD_SOC 1941mW/1909mW
04-18-2026 17:39:21 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.312C soc2@58.312C soc0@57C gpu@58.937C tj@59.312C soc1@57.937C VDD_IN 9086mW/8821mW VDD_CPU_GPU_CV 3401mW/3244mW VDD_SOC 1941mW/1911mW
04-18-2026 17:39:21 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@1510,3%@1510,0%@1510,100%@1510] GR3D_FREQ 65% cpu@59.062C soc2@58.406C soc0@57.031C gpu@59.375C tj@59.375C soc1@57.937C VDD_IN 9086mW/8838mW VDD_CPU_GPU_CV 3480mW/3260mW VDD_SOC 1941mW/1913mW
04-18-2026 17:39:22 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [5%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.156C soc2@58.406C soc0@57.125C gpu@58.968C tj@59.156C soc1@57.937C VDD_IN 9086mW/8854mW VDD_CPU_GPU_CV 3401mW/3268mW VDD_SOC 1941mW/1915mW
04-18-2026 17:39:22 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@59.187C soc2@58.437C soc0@57C gpu@59.031C tj@59.187C soc1@57.937C VDD_IN 8967mW/8860mW VDD_CPU_GPU_CV 3361mW/3274mW VDD_SOC 1941mW/1916mW
04-18-2026 17:39:23 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.093C soc2@58.437C soc0@57C gpu@59.062C tj@59.218C soc1@57.968C VDD_IN 9007mW/8869mW VDD_CPU_GPU_CV 3401mW/3281mW VDD_SOC 1941mW/1917mW
04-18-2026 17:39:23 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.062C soc2@58.406C soc0@57.031C gpu@59.281C tj@59.281C soc1@57.968C VDD_IN 9126mW/8882mW VDD_CPU_GPU_CV 3441mW/3289mW VDD_SOC 1941mW/1919mW
