04-18-2026 13:51:18 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@883,0%@883,0%@883,0%@883,0%@1036,64%@1036] GR3D_FREQ 99% cpu@60.312C soc2@59.531C soc0@58.468C gpu@60.281C tj@60.312C soc1@59.156C VDD_IN 8505mW/8505mW VDD_CPU_GPU_CV 2737mW/2737mW VDD_SOC 1984mW/1984mW
04-18-2026 13:51:19 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,2%@1510,0%@1510,0%@1510,0%@1267,58%@1267] GR3D_FREQ 67% cpu@60.218C soc2@59.625C soc0@58.5C gpu@60.687C tj@60.687C soc1@59.406C VDD_IN 10046mW/9275mW VDD_CPU_GPU_CV 3705mW/3221mW VDD_SOC 2211mW/2097mW
04-18-2026 13:51:19 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [3%@1510,2%@1510,1%@1510,1%@1510,0%@1190,51%@1190] GR3D_FREQ 99% cpu@60.312C soc2@59.687C soc0@58.5C gpu@60.562C tj@60.562C soc1@59.312C VDD_IN 10543mW/9698mW VDD_CPU_GPU_CV 4014mW/3485mW VDD_SOC 2286mW/2160mW
04-18-2026 13:51:20 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [5%@1510,0%@1510,1%@729,0%@729,1%@960,56%@960] GR3D_FREQ 99% cpu@60.468C soc2@59.75C soc0@58.656C gpu@60.906C tj@60.906C soc1@59.375C VDD_IN 10740mW/9958mW VDD_CPU_GPU_CV 4086mW/3635mW VDD_SOC 2326mW/2201mW
04-18-2026 13:51:20 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@1267,55%@1267] GR3D_FREQ 99% cpu@60.312C soc2@59.968C soc0@58.531C gpu@61.031C tj@61.031C soc1@59.343C VDD_IN 10802mW/10127mW VDD_CPU_GPU_CV 4165mW/3741mW VDD_SOC 2322mW/2225mW
04-18-2026 13:51:21 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@1510,5%@1510,1%@1267,52%@1267] GR3D_FREQ 70% cpu@60.406C soc2@60.031C soc0@58.5C gpu@60.875C tj@60.875C soc1@59.312C VDD_IN 10841mW/10246mW VDD_CPU_GPU_CV 4204mW/3818mW VDD_SOC 2322mW/2241mW
04-18-2026 13:51:21 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@1267,50%@1267] GR3D_FREQ 99% cpu@60.531C soc2@60.031C soc0@58.593C gpu@61C tj@61C soc1@59.375C VDD_IN 10802mW/10325mW VDD_CPU_GPU_CV 4204mW/3873mW VDD_SOC 2326mW/2253mW
04-18-2026 13:51:22 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [2%@1510,1%@1510,0%@1510,1%@1510,1%@883,54%@883] GR3D_FREQ 99% cpu@60.406C soc2@60.062C soc0@58.843C gpu@60.843C tj@60.843C soc1@59.375C VDD_IN 10881mW/10395mW VDD_CPU_GPU_CV 4243mW/3919mW VDD_SOC 2322mW/2262mW
04-18-2026 13:51:22 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,1%@1267,54%@1267] GR3D_FREQ 99% cpu@60.468C soc2@60C soc0@58.812C gpu@61.125C tj@61.125C soc1@59.281C VDD_IN 10841mW/10444mW VDD_CPU_GPU_CV 4204mW/3951mW VDD_SOC 2326mW/2269mW
04-18-2026 13:51:23 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [3%@1510,0%@1510,3%@729,1%@729,0%@1267,54%@1267] GR3D_FREQ 70% cpu@60.375C soc2@59.937C soc0@58.75C gpu@60.843C tj@60.843C soc1@59.312C VDD_IN 10881mW/10488mW VDD_CPU_GPU_CV 4204mW/3976mW VDD_SOC 2322mW/2274mW
04-18-2026 13:51:23 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,0%@729,1%@1267,50%@1267] GR3D_FREQ 99% cpu@60.343C soc2@60.031C soc0@58.781C gpu@60.843C tj@60.843C soc1@59.406C VDD_IN 10802mW/10516mW VDD_CPU_GPU_CV 4165mW/3993mW VDD_SOC 2286mW/2275mW
04-18-2026 13:51:24 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,0%@729,53%@729] GR3D_FREQ 99% cpu@60.531C soc2@60.062C soc0@58.656C gpu@60.968C tj@60.968C soc1@59.343C VDD_IN 10841mW/10543mW VDD_CPU_GPU_CV 4204mW/4011mW VDD_SOC 2322mW/2279mW
04-18-2026 13:51:24 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,3%@1510,1%@960,54%@960] GR3D_FREQ 99% cpu@60.5C soc2@60C soc0@58.875C gpu@61.125C tj@61.125C soc1@59.375C VDD_IN 10881mW/10569mW VDD_CPU_GPU_CV 4204mW/4026mW VDD_SOC 2322mW/2282mW
04-18-2026 13:51:25 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [2%@1510,3%@1510,0%@1510,0%@1510,2%@1267,53%@1267] GR3D_FREQ 69% cpu@60.437C soc2@60.031C soc0@58.781C gpu@60.937C tj@60.937C soc1@59.562C VDD_IN 10881mW/10591mW VDD_CPU_GPU_CV 4204mW/4038mW VDD_SOC 2322mW/2285mW
04-18-2026 13:51:25 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,2%@1510,0%@1510,0%@1510,0%@1267,52%@1267] GR3D_FREQ 99% cpu@60.687C soc2@60C soc0@58.656C gpu@61.093C tj@61.093C soc1@59.5C VDD_IN 10802mW/10605mW VDD_CPU_GPU_CV 4165mW/4047mW VDD_SOC 2326mW/2288mW
04-18-2026 13:51:26 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [3%@1510,0%@1510,0%@1510,3%@1510,0%@729,52%@729] GR3D_FREQ 99% cpu@60.468C soc2@60.156C soc0@58.75C gpu@60.968C tj@60.968C soc1@59.406C VDD_IN 10881mW/10623mW VDD_CPU_GPU_CV 4243mW/4059mW VDD_SOC 2322mW/2290mW
04-18-2026 13:51:26 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [5%@1510,1%@1510,0%@1510,0%@1510,0%@960,54%@960] GR3D_FREQ 99% cpu@60.531C soc2@60.125C soc0@58.75C gpu@61.156C tj@61.156C soc1@59.468C VDD_IN 10920mW/10640mW VDD_CPU_GPU_CV 4243mW/4070mW VDD_SOC 2322mW/2292mW
04-18-2026 13:51:27 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,1%@1267,54%@1267] GR3D_FREQ 82% cpu@60.406C soc2@60.187C soc0@58.906C gpu@61.25C tj@61.25C soc1@59.406C VDD_IN 10881mW/10653mW VDD_CPU_GPU_CV 4204mW/4077mW VDD_SOC 2322mW/2293mW
