04-18-2026 13:53:28 RAM 5642/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [16%@1212,19%@1510,12%@1510,11%@1510,10%@1190,62%@1190] GR3D_FREQ 99% cpu@60.937C soc2@60C soc0@58.968C gpu@60.968C tj@60.968C soc1@59.968C VDD_IN 8624mW/8624mW VDD_CPU_GPU_CV 2812mW/2812mW VDD_SOC 2023mW/2023mW
04-18-2026 13:53:29 RAM 5642/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [2%@1510,1%@1510,5%@1510,3%@1510,2%@1036,62%@1036] GR3D_FREQ 67% cpu@60.718C soc2@60.187C soc0@59.031C gpu@61.281C tj@61.281C soc1@59.812C VDD_IN 10046mW/9335mW VDD_CPU_GPU_CV 3705mW/3258mW VDD_SOC 2211mW/2117mW
04-18-2026 13:53:29 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,1%@1510,2%@1510,0%@1510,0%@729,58%@729] GR3D_FREQ 99% cpu@60.781C soc2@60.218C soc0@58.968C gpu@61.281C tj@61.281C soc1@59.875C VDD_IN 10582mW/9750mW VDD_CPU_GPU_CV 3929mW/3482mW VDD_SOC 2286mW/2173mW
04-18-2026 13:53:30 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [3%@1510,1%@729,3%@729,0%@729,0%@1190,59%@1190] GR3D_FREQ 99% cpu@61C soc2@60.343C soc0@59.031C gpu@61.406C tj@61.406C soc1@59.843C VDD_IN 10683mW/9983mW VDD_CPU_GPU_CV 4086mW/3633mW VDD_SOC 2286mW/2201mW
04-18-2026 13:53:30 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1190,57%@1190] GR3D_FREQ 85% cpu@60.843C soc2@60.562C soc0@59.031C gpu@61.187C tj@61.187C soc1@59.875C VDD_IN 10683mW/10123mW VDD_CPU_GPU_CV 4165mW/3739mW VDD_SOC 2286mW/2218mW
04-18-2026 13:53:31 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [2%@1510,0%@1510,2%@1510,1%@1510,0%@1190,54%@1190] GR3D_FREQ 99% cpu@60.968C soc2@60.5C soc0@59.062C gpu@61.281C tj@61.281C soc1@59.812C VDD_IN 10701mW/10219mW VDD_CPU_GPU_CV 4047mW/3790mW VDD_SOC 2286mW/2229mW
04-18-2026 13:53:31 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@729,0%@729,1%@960,54%@960] GR3D_FREQ 99% cpu@60.687C soc2@60.531C soc0@59.187C gpu@61.281C tj@61.281C soc1@59.875C VDD_IN 10762mW/10297mW VDD_CPU_GPU_CV 4126mW/3838mW VDD_SOC 2326mW/2243mW
04-18-2026 13:53:32 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [2%@1510,1%@924,0%@729,1%@729,0%@960,58%@960] GR3D_FREQ 99% cpu@60.875C soc2@60.562C soc0@59.281C gpu@61.343C tj@61.343C soc1@59.781C VDD_IN 10762mW/10355mW VDD_CPU_GPU_CV 4126mW/3874mW VDD_SOC 2322mW/2253mW
04-18-2026 13:53:32 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@1190,55%@1190] GR3D_FREQ 62% cpu@60.906C soc2@60.468C soc0@59.25C gpu@61.375C tj@61.375C soc1@59.812C VDD_IN 10762mW/10400mW VDD_CPU_GPU_CV 4126mW/3902mW VDD_SOC 2326mW/2261mW
04-18-2026 13:53:33 RAM 5645/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@729,1%@729,0%@1190,54%@1190] GR3D_FREQ 99% cpu@60.687C soc2@60.531C soc0@59.156C gpu@61.437C tj@61.437C soc1@59.75C VDD_IN 10723mW/10432mW VDD_CPU_GPU_CV 4126mW/3924mW VDD_SOC 2326mW/2267mW
04-18-2026 13:53:33 RAM 5646/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@729,3%@729,0%@729,1%@1190,56%@1190] GR3D_FREQ 99% cpu@60.75C soc2@60.531C soc0@59.25C gpu@61.406C tj@61.781C soc1@59.781C VDD_IN 10841mW/10469mW VDD_CPU_GPU_CV 4165mW/3946mW VDD_SOC 2322mW/2272mW
