04-18-2026 15:04:37 RAM 5548/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@883,0%@883,2%@883,0%@883,0%@729,52%@729] GR3D_FREQ 85% cpu@57.156C soc2@56.468C soc0@55.437C gpu@56.843C tj@57.156C soc1@56.5C VDD_IN 6440mW/6440mW VDD_CPU_GPU_CV 1557mW/1557mW VDD_SOC 1680mW/1680mW
04-18-2026 15:04:37 RAM 5548/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [5%@1510,3%@729,3%@729,0%@729,0%@729,49%@729] GR3D_FREQ 72% cpu@57.25C soc2@56.437C soc0@55.531C gpu@57C tj@57.25C soc1@56.5C VDD_IN 7108mW/6774mW VDD_CPU_GPU_CV 1910mW/1733mW VDD_SOC 1754mW/1717mW
04-18-2026 15:04:38 RAM 5548/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [3%@1510,0%@1510,1%@729,3%@729,0%@729,56%@729] GR3D_FREQ 72% cpu@57.281C soc2@56.625C soc0@55.468C gpu@57.468C tj@57.468C soc1@56.437C VDD_IN 7655mW/7067mW VDD_CPU_GPU_CV 2305mW/1924mW VDD_SOC 1791mW/1741mW
04-18-2026 15:04:38 RAM 5548/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [2%@1510,3%@1510,0%@1510,0%@1510,0%@729,62%@729] GR3D_FREQ 78% cpu@57.156C soc2@56.593C soc0@55.468C gpu@57.156C tj@57.156C soc1@56.437C VDD_IN 7615mW/7204mW VDD_CPU_GPU_CV 2305mW/2019mW VDD_SOC 1791mW/1754mW
04-18-2026 15:04:39 RAM 5548/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@729,61%@729] GR3D_FREQ 59% cpu@57.156C soc2@56.656C soc0@55.718C gpu@57.343C tj@57.343C soc1@56.406C VDD_IN 7655mW/7294mW VDD_CPU_GPU_CV 2305mW/2076mW VDD_SOC 1791mW/1761mW
04-18-2026 15:04:39 RAM 5548/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,1%@1510,0%@1510,3%@1510,0%@729,60%@729] GR3D_FREQ 70% cpu@57.187C soc2@56.593C soc0@55.562C gpu@57.031C tj@57.187C soc1@56.468C VDD_IN 7775mW/7374mW VDD_CPU_GPU_CV 2384mW/2127mW VDD_SOC 1831mW/1773mW
04-18-2026 15:04:40 RAM 5548/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,1%@729,66%@729] GR3D_FREQ 59% cpu@57.187C soc2@56.656C soc0@55.593C gpu@57.437C tj@57.437C soc1@56.468C VDD_IN 8081mW/7475mW VDD_CPU_GPU_CV 2618mW/2197mW VDD_SOC 1867mW/1786mW
04-18-2026 15:04:40 RAM 5548/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [3%@1510,5%@1510,2%@1510,1%@1510,1%@806,68%@806] GR3D_FREQ 60% cpu@57.125C soc2@56.687C soc0@55.531C gpu@57.156C tj@57.156C soc1@56.437C VDD_IN 8120mW/7556mW VDD_CPU_GPU_CV 2658mW/2255mW VDD_SOC 1867mW/1796mW
04-18-2026 15:04:41 RAM 5548/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,0%@1510,0%@729,2%@729,64%@729] GR3D_FREQ 64% cpu@57.375C soc2@56.562C soc0@55.718C gpu@57.218C tj@57.375C soc1@56.718C VDD_IN 8200mW/7627mW VDD_CPU_GPU_CV 2698mW/2304mW VDD_SOC 1867mW/1804mW
04-18-2026 15:04:41 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1185,2%@1321,1%@729,0%@729,0%@729,66%@729] GR3D_FREQ 63% cpu@57.218C soc2@56.656C soc0@55.687C gpu@57.406C tj@57.406C soc1@56.687C VDD_IN 8306mW/7695mW VDD_CPU_GPU_CV 2817mW/2355mW VDD_SOC 1867mW/1810mW
04-18-2026 15:04:42 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@729,68%@729] GR3D_FREQ 62% cpu@57.656C soc2@56.781C soc0@55.625C gpu@57.562C tj@57.656C soc1@56.781C VDD_IN 8160mW/7737mW VDD_CPU_GPU_CV 2698mW/2386mW VDD_SOC 1867mW/1815mW
04-18-2026 15:04:42 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [3%@1510,1%@1510,1%@1510,3%@1510,0%@806,66%@806] GR3D_FREQ 61% cpu@57.281C soc2@56.656C soc0@55.625C gpu@57.75C tj@57.75C soc1@56.593C VDD_IN 8120mW/7769mW VDD_CPU_GPU_CV 2698mW/2412mW VDD_SOC 1867mW/1820mW
04-18-2026 15:04:43 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1508,3%@729,0%@729,0%@729,69%@729] GR3D_FREQ 63% cpu@57.406C soc2@56.687C soc0@55.593C gpu@57.437C tj@57.406C soc1@56.593C VDD_IN 8280mW/7808mW VDD_CPU_GPU_CV 2777mW/2440mW VDD_SOC 1867mW/1823mW
04-18-2026 15:04:43 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [3%@1510,0%@1510,0%@1510,2%@729,0%@806,66%@806] GR3D_FREQ 64% cpu@57.468C soc2@56.812C soc0@55.593C gpu@57.625C tj@57.625C soc1@56.5C VDD_IN 8200mW/7836mW VDD_CPU_GPU_CV 2737mW/2461mW VDD_SOC 1867mW/1826mW
04-18-2026 15:04:44 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@806,67%@806] GR3D_FREQ 60% cpu@57.656C soc2@56.875C soc0@55.562C gpu@57.375C tj@57.656C soc1@56.531C VDD_IN 8160mW/7858mW VDD_CPU_GPU_CV 2698mW/2477mW VDD_SOC 1867mW/1829mW
04-18-2026 15:04:44 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,3%@729,67%@729] GR3D_FREQ 64% cpu@57.281C soc2@56.843C soc0@55.531C gpu@57.343C tj@57.343C soc1@56.5C VDD_IN 8200mW/7879mW VDD_CPU_GPU_CV 2737mW/2493mW VDD_SOC 1867mW/1831mW
04-18-2026 15:04:45 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@729,66%@729] GR3D_FREQ 71% cpu@57.5C soc2@56.812C soc0@55.656C gpu@57.562C tj@57.562C soc1@56.562C VDD_IN 8346mW/7907mW VDD_CPU_GPU_CV 2817mW/2512mW VDD_SOC 1867mW/1833mW
04-18-2026 15:04:45 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,1%@1510,0%@1510,2%@1510,1%@729,69%@729] GR3D_FREQ 73% cpu@57.312C soc2@56.843C soc0@55.593C gpu@57.437C tj@57.437C soc1@56.5C VDD_IN 8160mW/7921mW VDD_CPU_GPU_CV 2737mW/2525mW VDD_SOC 1867mW/1835mW
04-18-2026 15:04:46 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@938,0%@729,1%@729,0%@729,66%@729] GR3D_FREQ 73% cpu@57.343C soc2@56.781C soc0@55.843C gpu@57.531C tj@57.531C soc1@56.5C VDD_IN 8200mW/7935mW VDD_CPU_GPU_CV 2737mW/2536mW VDD_SOC 1867mW/1837mW
