04-18-2026 14:53:10 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [2%@883,0%@883,4%@883,1%@883,0%@1510,87%@1510] GR3D_FREQ 73% cpu@59.968C soc2@59.375C soc0@58.062C gpu@59.968C tj@59.968C soc1@59.062C VDD_IN 8001mW/8001mW VDD_CPU_GPU_CV 2579mW/2579mW VDD_SOC 1867mW/1867mW
04-18-2026 14:53:11 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 63% cpu@60.093C soc2@59.5C soc0@58.468C gpu@60.406C tj@60.406C soc1@59.062C VDD_IN 9666mW/8833mW VDD_CPU_GPU_CV 3711mW/3145mW VDD_SOC 2056mW/1961mW
04-18-2026 14:53:11 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 87% cpu@60.281C soc2@59.593C soc0@58.437C gpu@60.375C tj@60.375C soc1@59.062C VDD_IN 10227mW/9298mW VDD_CPU_GPU_CV 4093mW/3461mW VDD_SOC 2132mW/2018mW
04-18-2026 14:53:12 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [5%@1510,3%@1510,0%@1510,1%@1510,0%@1510,98%@1510] GR3D_FREQ 78% cpu@60.218C soc2@59.656C soc0@58.437C gpu@60.468C tj@60.468C soc1@59.062C VDD_IN 10424mW/9579mW VDD_CPU_GPU_CV 4250mW/3658mW VDD_SOC 2128mW/2045mW
04-18-2026 14:53:12 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 76% cpu@60.25C soc2@59.625C soc0@58.437C gpu@60.781C tj@60.781C soc1@59.062C VDD_IN 10543mW/9772mW VDD_CPU_GPU_CV 4322mW/3791mW VDD_SOC 2168mW/2070mW
04-18-2026 14:53:13 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [2%@1510,1%@1510,1%@1510,0%@1510,0%@1510,97%@1510] GR3D_FREQ 86% cpu@60.281C soc2@59.75C soc0@58.437C gpu@60.968C tj@60.968C soc1@59.406C VDD_IN 10543mW/9900mW VDD_CPU_GPU_CV 4322mW/3879mW VDD_SOC 2168mW/2086mW
04-18-2026 14:53:13 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,3%@729,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 77% cpu@60.375C soc2@59.843C soc0@58.437C gpu@60.562C tj@60.562C soc1@59.343C VDD_IN 10464mW/9981mW VDD_CPU_GPU_CV 4290mW/3938mW VDD_SOC 2168mW/2098mW
04-18-2026 14:53:14 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 65% cpu@60.343C soc2@59.812C soc0@58.437C gpu@60.5C tj@60.5C soc1@59.406C VDD_IN 10424mW/10036mW VDD_CPU_GPU_CV 4250mW/3977mW VDD_SOC 2128mW/2101mW
04-18-2026 14:53:14 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,1%@1510,98%@1510] GR3D_FREQ 75% cpu@60.687C soc2@59.718C soc0@58.5C gpu@60.593C tj@60.687C soc1@59.343C VDD_IN 10424mW/10079mW VDD_CPU_GPU_CV 4250mW/4007mW VDD_SOC 2128mW/2104mW
04-18-2026 14:53:15 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,2%@1510,0%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 74% cpu@60.375C soc2@59.718C soc0@58.406C gpu@60.656C tj@60.656C soc1@59.281C VDD_IN 10464mW/10118mW VDD_CPU_GPU_CV 4250mW/4031mW VDD_SOC 2128mW/2107mW
04-18-2026 14:53:15 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,2%@1510,1%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 76% cpu@60.531C soc2@59.75C soc0@58.375C gpu@60.906C tj@60.906C soc1@59.312C VDD_IN 10424mW/10145mW VDD_CPU_GPU_CV 4250mW/4051mW VDD_SOC 2132mW/2109mW
04-18-2026 14:53:16 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@729,3%@729,0%@1510,98%@1510] GR3D_FREQ 83% cpu@60.562C soc2@59.812C soc0@58.343C gpu@60.906C tj@60.906C soc1@59.25C VDD_IN 10464mW/10172mW VDD_CPU_GPU_CV 4290mW/4071mW VDD_SOC 2128mW/2110mW
04-18-2026 14:53:16 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,1%@729,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 72% cpu@60.656C soc2@59.843C soc0@58.437C gpu@60.562C tj@60.656C soc1@59.218C VDD_IN 10503mW/10197mW VDD_CPU_GPU_CV 4329mW/4091mW VDD_SOC 2168mW/2115mW
04-18-2026 14:53:17 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 94% cpu@60.406C soc2@59.937C soc0@58.531C gpu@60.968C tj@60.718C soc1@59.281C VDD_IN 10543mW/10222mW VDD_CPU_GPU_CV 4361mW/4110mW VDD_SOC 2168mW/2119mW
04-18-2026 14:53:17 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 67% cpu@60.562C soc2@59.875C soc0@58.468C gpu@60.531C tj@60.562C soc1@59.218C VDD_IN 10543mW/10243mW VDD_CPU_GPU_CV 4322mW/4124mW VDD_SOC 2168mW/2122mW
04-18-2026 14:53:18 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 73% cpu@60.562C soc2@59.937C soc0@58.468C gpu@60.656C tj@60.656C soc1@59.281C VDD_IN 10464mW/10257mW VDD_CPU_GPU_CV 4243mW/4132mW VDD_SOC 2128mW/2122mW
04-18-2026 14:53:18 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,0%@1510,98%@1510] GR3D_FREQ 69% cpu@60.406C soc2@59.937C soc0@58.5C gpu@60.75C tj@60.75C soc1@59.187C VDD_IN 10424mW/10267mW VDD_CPU_GPU_CV 4250mW/4138mW VDD_SOC 2128mW/2123mW
04-18-2026 14:53:19 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@903,3%@729,0%@1510,98%@1510] GR3D_FREQ 62% cpu@60.437C soc2@59.906C soc0@58.531C gpu@60.812C tj@60.812C soc1@59.25C VDD_IN 10464mW/10278mW VDD_CPU_GPU_CV 4290mW/4147mW VDD_SOC 2128mW/2123mW
04-18-2026 14:53:19 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [5%@1510,0%@1510,1%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 74% cpu@60.437C soc2@59.968C soc0@58.593C gpu@61.093C tj@61.093C soc1@59.281C VDD_IN 10464mW/10288mW VDD_CPU_GPU_CV 4290mW/4154mW VDD_SOC 2128mW/2123mW
04-18-2026 14:53:20 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [0%@1510,2%@1510,1%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 82% cpu@60.468C soc2@60C soc0@58.656C gpu@60.625C tj@60.625C soc1@59.25C VDD_IN 10424mW/10294mW VDD_CPU_GPU_CV 4243mW/4159mW VDD_SOC 2128mW/2123mW
04-18-2026 14:53:20 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [1%@1510,1%@904,0%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 87% cpu@60.437C soc2@59.875C soc0@58.562C gpu@60.75C tj@60.75C soc1@59.218C VDD_IN 10464mW/10302mW VDD_CPU_GPU_CV 4290mW/4165mW VDD_SOC 2128mW/2123mW
04-18-2026 14:53:21 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [3%@1510,0%@1510,0%@1510,0%@729,1%@1510,100%@1510] GR3D_FREQ 74% cpu@60.375C soc2@59.937C soc0@58.718C gpu@60.75C tj@60.75C soc1@59.218C VDD_IN 10543mW/10313mW VDD_CPU_GPU_CV 4322mW/4172mW VDD_SOC 2168mW/2125mW
04-18-2026 14:53:21 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [32%@1510,1%@1510,0%@1510,1%@1510,0%@729,64%@729] GR3D_FREQ 82% cpu@60.437C soc2@59.937C soc0@58.593C gpu@60.75C tj@60.75C soc1@59.25C VDD_IN 10543mW/10323mW VDD_CPU_GPU_CV 4283mW/4177mW VDD_SOC 2168mW/2127mW
04-18-2026 14:53:22 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,2%@1510,1%@1510,2%@1510,0%@729,0%@729] GR3D_FREQ 83% cpu@60.593C soc2@60.031C soc0@58.5C gpu@60.718C tj@60.718C soc1@59.406C VDD_IN 10543mW/10332mW VDD_CPU_GPU_CV 4329mW/4183mW VDD_SOC 2168mW/2129mW
04-18-2026 14:53:22 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [100%@1510,0%@1510,0%@1510,1%@1510,0%@729,1%@729] GR3D_FREQ 86% cpu@60.718C soc2@59.937C soc0@58.5C gpu@60.718C tj@60.718C soc1@59.25C VDD_IN 10424mW/10336mW VDD_CPU_GPU_CV 4250mW/4186mW VDD_SOC 2128mW/2129mW
04-18-2026 14:53:23 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,1%@1510,1%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 92% cpu@60.468C soc2@60.093C soc0@58.562C gpu@60.75C tj@60.75C soc1@59.25C VDD_IN 10424mW/10339mW VDD_CPU_GPU_CV 4211mW/4187mW VDD_SOC 2128mW/2129mW
04-18-2026 14:53:23 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,3%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 94% cpu@60.437C soc2@60.031C soc0@58.812C gpu@60.781C tj@60.781C soc1@59.343C VDD_IN 10385mW/10341mW VDD_CPU_GPU_CV 4250mW/4189mW VDD_SOC 2128mW/2129mW
04-18-2026 14:53:24 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,1%@1510,0%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 79% cpu@60.375C soc2@60.031C soc0@58.625C gpu@60.656C tj@60.656C soc1@59.218C VDD_IN 10345mW/10341mW VDD_CPU_GPU_CV 4211mW/4190mW VDD_SOC 2132mW/2129mW
04-18-2026 14:53:24 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [100%@1510,5%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 80% cpu@60.468C soc2@60C soc0@58.593C gpu@61.062C tj@61.062C soc1@59.312C VDD_IN 10424mW/10344mW VDD_CPU_GPU_CV 4211mW/4191mW VDD_SOC 2128mW/2129mW
04-18-2026 14:53:25 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [97%@1510,0%@1510,1%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 95% cpu@60.5C soc2@60.031C soc0@58.656C gpu@60.75C tj@60.75C soc1@59.468C VDD_IN 10464mW/10348mW VDD_CPU_GPU_CV 4290mW/4194mW VDD_SOC 2128mW/2129mW
04-18-2026 14:53:25 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,1%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 82% cpu@60.625C soc2@60C soc0@58.562C gpu@61.125C tj@61.125C soc1@59.343C VDD_IN 10503mW/10353mW VDD_CPU_GPU_CV 4290mW/4197mW VDD_SOC 2168mW/2130mW
04-18-2026 14:53:26 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,1%@1510,0%@1510,0%@1510,1%@729,0%@729] GR3D_FREQ 73% cpu@60.437C soc2@60.187C soc0@58.75C gpu@60.656C tj@60.656C soc1@59.343C VDD_IN 10503mW/10358mW VDD_CPU_GPU_CV 4329mW/4201mW VDD_SOC 2168mW/2131mW
04-18-2026 14:53:26 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [100%@1510,2%@1510,0%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 81% cpu@60.468C soc2@60.062C soc0@58.718C gpu@61.031C tj@61.031C soc1@59.312C VDD_IN 10503mW/10362mW VDD_CPU_GPU_CV 4361mW/4206mW VDD_SOC 2168mW/2132mW
04-18-2026 14:53:27 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,1%@1510,1%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 69% cpu@60.343C soc2@60.062C soc0@58.687C gpu@60.75C tj@60.75C soc1@59.312C VDD_IN 10424mW/10364mW VDD_CPU_GPU_CV 4250mW/4207mW VDD_SOC 2128mW/2132mW
04-18-2026 14:53:28 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 59% cpu@60.687C soc2@60.125C soc0@58.656C gpu@60.968C tj@60.968C soc1@59.468C VDD_IN 10385mW/10364mW VDD_CPU_GPU_CV 4211mW/4207mW VDD_SOC 2128mW/2132mW
04-18-2026 14:53:28 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 82% cpu@60.781C soc2@60.156C soc0@58.593C gpu@60.875C tj@60.875C soc1@59.468C VDD_IN 10385mW/10365mW VDD_CPU_GPU_CV 4250mW/4208mW VDD_SOC 2128mW/2132mW
04-18-2026 14:53:29 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [100%@1510,1%@1510,0%@1510,3%@1510,1%@729,0%@729] GR3D_FREQ 86% cpu@60.5C soc2@60.187C soc0@58.593C gpu@60.968C tj@60.968C soc1@59.343C VDD_IN 10464mW/10368mW VDD_CPU_GPU_CV 4250mW/4210mW VDD_SOC 2128mW/2132mW
04-18-2026 14:53:29 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,2%@1510,1%@1510,0%@1510,0%@729,3%@729] GR3D_FREQ 90% cpu@60.437C soc2@60.218C soc0@58.812C gpu@60.937C tj@60.937C soc1@59.406C VDD_IN 10424mW/10369mW VDD_CPU_GPU_CV 4250mW/4211mW VDD_SOC 2128mW/2132mW
04-18-2026 14:53:30 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,1%@1510,0%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 78% cpu@60.562C soc2@60.218C soc0@58.75C gpu@60.812C tj@60.937C soc1@59.406C VDD_IN 10424mW/10371mW VDD_CPU_GPU_CV 4290mW/4213mW VDD_SOC 2128mW/2132mW
04-18-2026 14:53:30 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 70% cpu@60.5C soc2@60.062C soc0@58.812C gpu@60.906C tj@60.906C soc1@59.312C VDD_IN 10503mW/10374mW VDD_CPU_GPU_CV 4329mW/4216mW VDD_SOC 2128mW/2131mW
04-18-2026 14:53:31 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,0%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 76% cpu@60.437C soc2@60.062C soc0@58.625C gpu@60.875C tj@60.875C soc1@59.5C VDD_IN 10543mW/10378mW VDD_CPU_GPU_CV 4322mW/4218mW VDD_SOC 2168mW/2132mW
