04-18-2026 17:31:21 RAM 5833/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@883,3%@883,0%@883,2%@883,1%@729,46%@729] GR3D_FREQ 77% cpu@57.343C soc2@56.875C soc0@55.875C gpu@57.593C tj@57.593C soc1@56.593C VDD_IN 7336mW/7336mW VDD_CPU_GPU_CV 2030mW/2030mW VDD_SOC 1794mW/1794mW
04-18-2026 17:31:22 RAM 5833/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,2%@1510,3%@1510,0%@1510,0%@729,55%@729] GR3D_FREQ 98% cpu@57.437C soc2@56.937C soc0@55.937C gpu@57.531C tj@57.531C soc1@56.531C VDD_IN 8200mW/7768mW VDD_CPU_GPU_CV 2579mW/2304mW VDD_SOC 1907mW/1850mW
04-18-2026 17:31:22 RAM 5833/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@729,59%@729] GR3D_FREQ 67% cpu@57.343C soc2@57C soc0@55.937C gpu@57.875C tj@57.875C soc1@56.656C VDD_IN 8783mW/8106mW VDD_CPU_GPU_CV 2971mW/2526mW VDD_SOC 1984mW/1895mW
04-18-2026 17:31:23 RAM 5833/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@729,60%@729] GR3D_FREQ 69% cpu@57.906C soc2@57.031C soc0@55.968C gpu@58.218C tj@58.218C soc1@56.656C VDD_IN 8967mW/8321mW VDD_CPU_GPU_CV 3124mW/2676mW VDD_SOC 2020mW/1926mW
04-18-2026 17:31:23 RAM 5833/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,0%@729,58%@729] GR3D_FREQ 70% cpu@57.656C soc2@57.125C soc0@55.906C gpu@58.062C tj@58.062C soc1@56.906C VDD_IN 9230mW/8503mW VDD_CPU_GPU_CV 3243mW/2789mW VDD_SOC 2060mW/1953mW
04-18-2026 17:31:24 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@729,56%@729] GR3D_FREQ 80% cpu@57.687C soc2@57.093C soc0@55.968C gpu@58.437C tj@58.437C soc1@56.906C VDD_IN 9309mW/8637mW VDD_CPU_GPU_CV 3316mW/2877mW VDD_SOC 2099mW/1977mW
04-18-2026 17:31:24 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@729,56%@729] GR3D_FREQ 56% cpu@57.875C soc2@57.156C soc0@56C gpu@57.843C tj@57.875C soc1@56.906C VDD_IN 9349mW/8739mW VDD_CPU_GPU_CV 3316mW/2939mW VDD_SOC 2060mW/1989mW
04-18-2026 17:31:25 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,0%@729,60%@729] GR3D_FREQ 61% cpu@58C soc2@57.156C soc0@56.031C gpu@57.937C tj@58C soc1@56.906C VDD_IN 9166mW/8792mW VDD_CPU_GPU_CV 3203mW/2972mW VDD_SOC 2020mW/1993mW
04-18-2026 17:31:25 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1042,1%@729,0%@729,0%@729,60%@729] GR3D_FREQ 64% cpu@57.781C soc2@57.156C soc0@55.968C gpu@58C tj@58C soc1@56.843C VDD_IN 9086mW/8825mW VDD_CPU_GPU_CV 3164mW/2994mW VDD_SOC 2020mW/1996mW
04-18-2026 17:31:26 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [2%@1510,4%@1510,3%@1510,0%@1510,0%@729,61%@729] GR3D_FREQ 55% cpu@57.781C soc2@57.156C soc0@56C gpu@58.187C tj@58.187C soc1@56.906C VDD_IN 9086mW/8851mW VDD_CPU_GPU_CV 3164mW/3011mW VDD_SOC 2020mW/1998mW
04-18-2026 17:31:26 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,0%@1510,3%@729,1%@729,0%@729,58%@729] GR3D_FREQ 69% cpu@57.937C soc2@57.312C soc0@56C gpu@58.093C tj@57.937C soc1@56.843C VDD_IN 9285mW/8890mW VDD_CPU_GPU_CV 3277mW/3035mW VDD_SOC 2060mW/2004mW
04-18-2026 17:31:27 RAM 5834/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,1%@1510,0%@1510,3%@729,0%@729,55%@729] GR3D_FREQ 77% cpu@57.812C soc2@57.406C soc0@56C gpu@58.281C tj@58.281C soc1@56.875C VDD_IN 9388mW/8932mW VDD_CPU_GPU_CV 3316mW/3058mW VDD_SOC 2099mW/2011mW
