04-18-2026 17:34:36 RAM 5847/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [2%@883,3%@883,0%@883,0%@883,0%@729,48%@729] GR3D_FREQ 86% cpu@59.062C soc2@58C soc0@56.937C gpu@58.531C tj@59.062C soc1@57.875C VDD_IN 7416mW/7416mW VDD_CPU_GPU_CV 2070mW/2070mW VDD_SOC 1834mW/1834mW
04-18-2026 17:34:37 RAM 5847/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,2%@1510,3%@1510,0%@729,50%@729] GR3D_FREQ 70% cpu@58.718C soc2@58.093C soc0@56.875C gpu@58.718C tj@58.718C soc1@57.937C VDD_IN 8227mW/7821mW VDD_CPU_GPU_CV 2579mW/2324mW VDD_SOC 1947mW/1890mW
04-18-2026 17:34:37 RAM 5847/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,1%@729,1%@729,0%@729,1%@729,57%@729] GR3D_FREQ 90% cpu@58.812C soc2@58.125C soc0@56.906C gpu@58.906C tj@58.906C soc1@57.906C VDD_IN 8743mW/8128mW VDD_CPU_GPU_CV 2931mW/2526mW VDD_SOC 1984mW/1921mW
04-18-2026 17:34:38 RAM 5848/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@729,61%@729] GR3D_FREQ 86% cpu@59C soc2@58.156C soc0@57.031C gpu@59.125C tj@59.125C soc1@57.875C VDD_IN 8967mW/8338mW VDD_CPU_GPU_CV 3085mW/2666mW VDD_SOC 2020mW/1946mW
04-18-2026 17:34:38 RAM 5848/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@729,0%@729,1%@729,0%@729,58%@729] GR3D_FREQ 73% cpu@59.093C soc2@58.156C soc0@57.093C gpu@58.906C tj@59.093C soc1@57.937C VDD_IN 9245mW/8519mW VDD_CPU_GPU_CV 3238mW/2780mW VDD_SOC 2060mW/1969mW
04-18-2026 17:34:39 RAM 5848/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,0%@1510,1%@1510,3%@1510,1%@729,56%@729] GR3D_FREQ 69% cpu@58.812C soc2@58.187C soc0@57.062C gpu@59.093C tj@59.093C soc1@57.937C VDD_IN 9349mW/8657mW VDD_CPU_GPU_CV 3356mW/2876mW VDD_SOC 2099mW/1990mW
04-18-2026 17:34:39 RAM 5848/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@729,58%@729] GR3D_FREQ 76% cpu@58.937C soc2@58.25C soc0@57.062C gpu@58.937C tj@59.062C soc1@57.937C VDD_IN 9309mW/8750mW VDD_CPU_GPU_CV 3316mW/2939mW VDD_SOC 2060mW/2000mW
04-18-2026 17:34:40 RAM 5848/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [2%@1510,0%@1510,3%@729,1%@729,0%@729,60%@729] GR3D_FREQ 55% cpu@59C soc2@58.375C soc0@57.093C gpu@59.281C tj@59.281C soc1@57.937C VDD_IN 9166mW/8802mW VDD_CPU_GPU_CV 3243mW/2977mW VDD_SOC 2060mW/2008mW
04-18-2026 17:34:40 RAM 5848/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [5%@1510,0%@1510,1%@729,0%@729,0%@729,60%@729] GR3D_FREQ 55% cpu@58.843C soc2@58.406C soc0@57.062C gpu@59C tj@59C soc1@57.875C VDD_IN 9126mW/8838mW VDD_CPU_GPU_CV 3203mW/3002mW VDD_SOC 2060mW/2013mW
04-18-2026 17:34:41 RAM 5848/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@729,60%@729] GR3D_FREQ 55% cpu@58.812C soc2@58.312C soc0@57.031C gpu@59.312C tj@59.312C soc1@57.875C VDD_IN 9126mW/8867mW VDD_CPU_GPU_CV 3164mW/3018mW VDD_SOC 2060mW/2018mW
04-18-2026 17:34:42 RAM 5848/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,1%@1510,0%@1510,3%@1510,0%@729,58%@729] GR3D_FREQ 70% cpu@58.875C soc2@58.281C soc0@57.187C gpu@59C tj@59C soc1@57.937C VDD_IN 9270mW/8904mW VDD_CPU_GPU_CV 3277mW/3042mW VDD_SOC 2060mW/2022mW
04-18-2026 17:34:42 RAM 5848/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,1%@1510,0%@729,0%@729,1%@729,56%@729] GR3D_FREQ 97% cpu@58.843C soc2@58.437C soc0@57.093C gpu@59.093C tj@59.312C soc1@57.906C VDD_IN 9349mW/8941mW VDD_CPU_GPU_CV 3316mW/3064mW VDD_SOC 2096mW/2028mW
