04-18-2026 17:16:53 RAM 5410/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [2%@806,0%@806,0%@806,0%@806,16%@1510,68%@1510] GR3D_FREQ 98% cpu@60.531C soc2@59.968C soc0@58.687C gpu@60.5C tj@60.718C soc1@59.562C VDD_IN 8703mW/8703mW VDD_CPU_GPU_CV 2971mW/2971mW VDD_SOC 1984mW/1984mW
04-18-2026 17:16:54 RAM 5410/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1510,94%@1510] GR3D_FREQ 83% cpu@60.75C soc2@60.156C soc0@59.093C gpu@61.218C tj@61.218C soc1@59.5C VDD_IN 10464mW/9583mW VDD_CPU_GPU_CV 4132mW/3551mW VDD_SOC 2207mW/2095mW
04-18-2026 17:16:54 RAM 5410/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,5%@729,1%@729,0%@1510,96%@1510] GR3D_FREQ 83% cpu@60.843C soc2@60.281C soc0@59C gpu@61C tj@61C soc1@59.562C VDD_IN 10959mW/10042mW VDD_CPU_GPU_CV 4433mW/3845mW VDD_SOC 2282mW/2157mW
04-18-2026 17:16:55 RAM 5410/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [2%@1510,1%@1510,0%@729,0%@729,0%@1510,96%@1510] GR3D_FREQ 78% cpu@60.781C soc2@60.25C soc0@59.062C gpu@61.125C tj@61.125C soc1@59.593C VDD_IN 11156mW/10320mW VDD_CPU_GPU_CV 4550mW/4021mW VDD_SOC 2282mW/2188mW
04-18-2026 17:16:55 RAM 5410/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,95%@1510] GR3D_FREQ 76% cpu@60.812C soc2@60.343C soc0@58.968C gpu@61.25C tj@61.25C soc1@59.593C VDD_IN 11196mW/10495mW VDD_CPU_GPU_CV 4590mW/4135mW VDD_SOC 2322mW/2215mW
04-18-2026 17:16:56 RAM 5410/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,2%@1510,0%@1510,0%@1510,94%@1510] GR3D_FREQ 71% cpu@61.281C soc2@60.375C soc0@59.125C gpu@61.406C tj@61.406C soc1@59.531C VDD_IN 11196mW/10612mW VDD_CPU_GPU_CV 4629mW/4217mW VDD_SOC 2322mW/2233mW
04-18-2026 17:16:56 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,3%@1510,1%@1510,0%@1510,96%@1510] GR3D_FREQ 72% cpu@61.031C soc2@60.406C soc0@59.093C gpu@61.312C tj@61.312C soc1@59.625C VDD_IN 11235mW/10701mW VDD_CPU_GPU_CV 4629mW/4276mW VDD_SOC 2322mW/2245mW
04-18-2026 17:16:57 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,1%@1510,3%@1510,1%@1510,0%@1510,96%@1510] GR3D_FREQ 71% cpu@61.031C soc2@60.312C soc0@59.062C gpu@61.406C tj@61.406C soc1@59.875C VDD_IN 11178mW/10760mW VDD_CPU_GPU_CV 4629mW/4320mW VDD_SOC 2322mW/2255mW
04-18-2026 17:16:57 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,94%@1510] GR3D_FREQ 72% cpu@61.218C soc2@60.375C soc0@59.156C gpu@61.687C tj@61.687C soc1@59.812C VDD_IN 11178mW/10807mW VDD_CPU_GPU_CV 4629mW/4354mW VDD_SOC 2322mW/2262mW
04-18-2026 17:16:58 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [3%@1510,1%@1510,1%@729,0%@729,0%@1510,96%@1510] GR3D_FREQ 98% cpu@60.968C soc2@60.375C soc0@59.093C gpu@61.281C tj@61.281C soc1@59.875C VDD_IN 11235mW/10850mW VDD_CPU_GPU_CV 4629mW/4382mW VDD_SOC 2322mW/2268mW
04-18-2026 17:16:58 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,3%@729,0%@729,0%@1510,96%@1510] GR3D_FREQ 98% cpu@61.031C soc2@60.437C soc0@59.031C gpu@61.406C tj@61.406C soc1@59.906C VDD_IN 11217mW/10883mW VDD_CPU_GPU_CV 4629mW/4404mW VDD_SOC 2322mW/2273mW
