04-18-2026 13:10:50 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [7%@883,57%@883,0%@883,0%@883,0%@729,0%@729] GR3D_FREQ 67% cpu@57C soc2@56.406C soc0@55.562C gpu@56.687C tj@57C soc1@56.437C VDD_IN 6280mW/6280mW VDD_CPU_GPU_CV 1477mW/1477mW VDD_SOC 1640mW/1640mW
04-18-2026 13:10:51 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,56%@1510,3%@729,3%@729,1%@729,0%@729] GR3D_FREQ 66% cpu@57.093C soc2@56.531C soc0@55.625C gpu@57.062C tj@57.093C soc1@56.5C VDD_IN 6760mW/6520mW VDD_CPU_GPU_CV 1754mW/1615mW VDD_SOC 1677mW/1658mW
04-18-2026 13:10:52 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,44%@1510,15%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 61% cpu@56.968C soc2@56.468C soc0@55.625C gpu@56.718C tj@56.968C soc1@56.406C VDD_IN 6868mW/6636mW VDD_CPU_GPU_CV 1794mW/1675mW VDD_SOC 1717mW/1678mW
04-18-2026 13:10:52 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,62%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 73% cpu@57.062C soc2@56.5C soc0@55.562C gpu@56.937C tj@57.062C soc1@56.375C VDD_IN 7268mW/6794mW VDD_CPU_GPU_CV 2070mW/1773mW VDD_SOC 1754mW/1697mW
04-18-2026 13:10:53 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,65%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 59% cpu@57.343C soc2@56.562C soc0@55.531C gpu@57.031C tj@57.343C soc1@56.437C VDD_IN 7336mW/6902mW VDD_CPU_GPU_CV 2189mW/1856mW VDD_SOC 1754mW/1708mW
04-18-2026 13:10:53 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,67%@729,1%@729,0%@729,0%@729] GR3D_FREQ 75% cpu@57.031C soc2@56.562C soc0@55.562C gpu@56.906C tj@57.031C soc1@56.562C VDD_IN 7296mW/6968mW VDD_CPU_GPU_CV 2149mW/1905mW VDD_SOC 1754mW/1716mW
04-18-2026 13:10:54 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,1%@1510,64%@1510,3%@1510,0%@729,2%@729] GR3D_FREQ 62% cpu@57.156C soc2@56.531C soc0@55.531C gpu@57.093C tj@57.093C soc1@56.5C VDD_IN 7376mW/7026mW VDD_CPU_GPU_CV 2189mW/1946mW VDD_SOC 1754mW/1721mW
04-18-2026 13:10:54 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,64%@904,0%@729,0%@729,0%@729] GR3D_FREQ 73% cpu@57.218C soc2@56.562C soc0@55.531C gpu@57.187C tj@57.218C soc1@56.625C VDD_IN 7456mW/7080mW VDD_CPU_GPU_CV 2265mW/1985mW VDD_SOC 1751mW/1725mW
04-18-2026 13:10:55 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,70%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 63% cpu@57.406C soc2@56.593C soc0@55.531C gpu@57.531C tj@57.531C soc1@56.5C VDD_IN 7735mW/7152mW VDD_CPU_GPU_CV 2464mW/2039mW VDD_SOC 1791mW/1732mW
04-18-2026 13:10:55 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,1%@1510,71%@1510,0%@1510,1%@729,1%@729] GR3D_FREQ 64% cpu@57.125C soc2@56.593C soc0@55.5C gpu@57.062C tj@57.125C soc1@56.531C VDD_IN 7735mW/7211mW VDD_CPU_GPU_CV 2464mW/2081mW VDD_SOC 1791mW/1738mW
04-18-2026 13:10:56 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,70%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 75% cpu@57.281C soc2@56.656C soc0@55.5C gpu@57.156C tj@57.281C soc1@56.5C VDD_IN 7881mW/7271mW VDD_CPU_GPU_CV 2583mW/2127mW VDD_SOC 1791mW/1743mW
04-18-2026 13:10:56 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,0%@1510,69%@1510,1%@1510,0%@729,1%@729] GR3D_FREQ 64% cpu@57.281C soc2@56.562C soc0@55.5C gpu@57.343C tj@57.343C soc1@56.5C VDD_IN 7881mW/7322mW VDD_CPU_GPU_CV 2583mW/2165mW VDD_SOC 1791mW/1747mW
04-18-2026 13:10:57 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,27%@1510,42%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 62% cpu@57.218C soc2@56.75C soc0@55.531C gpu@57.187C tj@57.218C soc1@56.437C VDD_IN 7842mW/7362mW VDD_CPU_GPU_CV 2543mW/2194mW VDD_SOC 1791mW/1750mW
04-18-2026 13:10:57 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,68%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 76% cpu@57.312C soc2@56.687C soc0@55.625C gpu@57.343C tj@57.343C soc1@56.406C VDD_IN 7881mW/7399mW VDD_CPU_GPU_CV 2583mW/2221mW VDD_SOC 1791mW/1753mW
04-18-2026 13:10:58 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@729,68%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 64% cpu@57.281C soc2@56.75C soc0@55.656C gpu@57.531C tj@57.531C soc1@56.406C VDD_IN 7921mW/7434mW VDD_CPU_GPU_CV 2618mW/2248mW VDD_SOC 1791mW/1755mW
04-18-2026 13:10:58 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1223,70%@1510,1%@1510,1%@1510,0%@729,1%@729] GR3D_FREQ 62% cpu@57.25C soc2@56.718C soc0@55.687C gpu@57.718C tj@57.718C soc1@56.468C VDD_IN 7842mW/7459mW VDD_CPU_GPU_CV 2543mW/2266mW VDD_SOC 1791mW/1758mW
04-18-2026 13:10:59 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,72%@1510,0%@1510,3%@1510,3%@729,1%@729] GR3D_FREQ 65% cpu@57.312C soc2@56.718C soc0@55.625C gpu@57.343C tj@57.343C soc1@56.468C VDD_IN 7802mW/7480mW VDD_CPU_GPU_CV 2543mW/2283mW VDD_SOC 1791mW/1760mW
04-18-2026 13:10:59 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,67%@1510,1%@1510,3%@1510,0%@729,0%@729] GR3D_FREQ 74% cpu@57.281C soc2@56.718C soc0@55.656C gpu@57.718C tj@57.718C soc1@56.343C VDD_IN 8001mW/7508mW VDD_CPU_GPU_CV 2658mW/2303mW VDD_SOC 1788mW/1761mW
04-18-2026 13:11:00 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@883,70%@883,1%@883,3%@883,1%@729,0%@729] GR3D_FREQ 64% cpu@57.25C soc2@56.718C soc0@55.687C gpu@57.187C tj@57.25C soc1@56.656C VDD_IN 7842mW/7526mW VDD_CPU_GPU_CV 2543mW/2316mW VDD_SOC 1791mW/1763mW
