04-18-2026 13:03:00 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@883,0%@883,2%@883,2%@883,0%@1510,98%@1510] GR3D_FREQ 75% cpu@55.593C soc2@55C soc0@53.781C gpu@55.906C tj@55.906C soc1@54.625C VDD_IN 9428mW/9428mW VDD_CPU_GPU_CV 3711mW/3711mW VDD_SOC 1980mW/1980mW
04-18-2026 13:03:00 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@1510,98%@1510] GR3D_FREQ 75% cpu@55.75C soc2@55.093C soc0@53.812C gpu@56.25C tj@56.25C soc1@54.625C VDD_IN 9769mW/9598mW VDD_CPU_GPU_CV 3981mW/3846mW VDD_SOC 1977mW/1978mW
04-18-2026 13:03:01 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 85% cpu@56.125C soc2@55.156C soc0@53.875C gpu@55.843C tj@56.125C soc1@55C VDD_IN 9888mW/9695mW VDD_CPU_GPU_CV 3981mW/3891mW VDD_SOC 2017mW/1991mW
04-18-2026 13:03:01 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@729,0%@1510,98%@1510] GR3D_FREQ 85% cpu@55.812C soc2@55.156C soc0@54.062C gpu@56.062C tj@56.062C soc1@54.937C VDD_IN 9927mW/9753mW VDD_CPU_GPU_CV 4060mW/3933mW VDD_SOC 2017mW/1997mW
04-18-2026 13:03:02 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 65% cpu@55.937C soc2@55.187C soc0@54C gpu@56.25C tj@56.25C soc1@54.906C VDD_IN 9927mW/9787mW VDD_CPU_GPU_CV 4060mW/3958mW VDD_SOC 2013mW/2000mW
04-18-2026 13:03:02 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,5%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@56.218C soc2@55.25C soc0@54.093C gpu@56.406C tj@56.406C soc1@54.718C VDD_IN 9927mW/9811mW VDD_CPU_GPU_CV 4060mW/3975mW VDD_SOC 2013mW/2002mW
04-18-2026 13:03:03 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,1%@729,0%@1510,98%@1510] GR3D_FREQ 68% cpu@56.406C soc2@55.343C soc0@54.031C gpu@56.656C tj@56.656C soc1@55.031C VDD_IN 10006mW/9838mW VDD_CPU_GPU_CV 4139mW/3998mW VDD_SOC 2013mW/2004mW
04-18-2026 13:03:03 RAM 4428/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 70% cpu@56.125C soc2@55.437C soc0@54.093C gpu@56.25C tj@56.25C soc1@55.125C VDD_IN 10046mW/9864mW VDD_CPU_GPU_CV 4100mW/4011mW VDD_SOC 2013mW/2005mW
04-18-2026 13:03:04 RAM 4428/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,0%@729,1%@1510,98%@1510] GR3D_FREQ 74% cpu@56.281C soc2@55.406C soc0@54.093C gpu@56.312C tj@56.312C soc1@55.156C VDD_IN 10006mW/9880mW VDD_CPU_GPU_CV 4100mW/4021mW VDD_SOC 2013mW/2006mW
04-18-2026 13:03:04 RAM 4428/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,3%@1510,3%@1510,3%@729,0%@1510,100%@1510] GR3D_FREQ 78% cpu@56.437C soc2@55.406C soc0@54.125C gpu@56.406C tj@56.437C soc1@55.156C VDD_IN 9967mW/9889mW VDD_CPU_GPU_CV 4060mW/4025mW VDD_SOC 2013mW/2006mW
04-18-2026 13:03:05 RAM 4428/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,3%@1510,0%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 74% cpu@56.093C soc2@55.531C soc0@54.156C gpu@56.437C tj@56.437C soc1@55.062C VDD_IN 9927mW/9892mW VDD_CPU_GPU_CV 4100mW/4032mW VDD_SOC 2017mW/2007mW
