04-18-2026 13:05:10 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [11%@883,2%@883,4%@883,1%@883,0%@1510,88%@1510] GR3D_FREQ 64% cpu@59.093C soc2@58.093C soc0@57.062C gpu@58.812C tj@59.093C soc1@58C VDD_IN 7881mW/7881mW VDD_CPU_GPU_CV 2579mW/2579mW VDD_SOC 1831mW/1831mW
04-18-2026 13:05:10 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,1%@1510,98%@1510] GR3D_FREQ 86% cpu@59.031C soc2@58.343C soc0@57C gpu@59.312C tj@59.031C soc1@57.937C VDD_IN 9324mW/8602mW VDD_CPU_GPU_CV 3553mW/3066mW VDD_SOC 1980mW/1905mW
04-18-2026 13:05:11 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 65% cpu@59.125C soc2@58.468C soc0@57.093C gpu@59.187C tj@59.187C soc1@58C VDD_IN 9864mW/9023mW VDD_CPU_GPU_CV 3902mW/3344mW VDD_SOC 2017mW/1942mW
04-18-2026 13:05:12 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 77% cpu@59.218C soc2@58.468C soc0@57.156C gpu@59.218C tj@59.218C soc1@57.968C VDD_IN 9888mW/9239mW VDD_CPU_GPU_CV 4060mW/3523mW VDD_SOC 2017mW/1961mW
04-18-2026 13:05:12 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 74% cpu@59.25C soc2@58.562C soc0@57.187C gpu@59.343C tj@59.343C soc1@58C VDD_IN 9927mW/9376mW VDD_CPU_GPU_CV 4100mW/3638mW VDD_SOC 2017mW/1972mW
04-18-2026 13:05:13 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 75% cpu@59.187C soc2@58.531C soc0@57.375C gpu@59.531C tj@59.531C soc1@57.937C VDD_IN 9967mW/9475mW VDD_CPU_GPU_CV 4100mW/3715mW VDD_SOC 2013mW/1979mW
04-18-2026 13:05:13 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 84% cpu@59.281C soc2@58.656C soc0@57.468C gpu@59.812C tj@59.812C soc1@58C VDD_IN 10085mW/9562mW VDD_CPU_GPU_CV 4132mW/3775mW VDD_SOC 2053mW/1989mW
04-18-2026 13:05:14 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [7%@1510,1%@1510,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 83% cpu@59.156C soc2@58.625C soc0@57.406C gpu@59.343C tj@59.343C soc1@58.031C VDD_IN 10125mW/9632mW VDD_CPU_GPU_CV 4178mW/3825mW VDD_SOC 2053mW/1997mW
04-18-2026 13:05:14 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@59.187C soc2@58.625C soc0@57.437C gpu@59.437C tj@59.437C soc1@58.093C VDD_IN 10125mW/9687mW VDD_CPU_GPU_CV 4139mW/3860mW VDD_SOC 2013mW/1999mW
04-18-2026 13:05:15 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 78% cpu@59.25C soc2@58.562C soc0@57.468C gpu@59.593C tj@59.593C soc1@58.031C VDD_IN 9967mW/9715mW VDD_CPU_GPU_CV 4060mW/3880mW VDD_SOC 2013mW/2000mW
04-18-2026 13:05:15 RAM 4425/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 84% cpu@59.125C soc2@58.75C soc0@57.437C gpu@59.468C tj@59.468C soc1@58.031C VDD_IN 10006mW/9741mW VDD_CPU_GPU_CV 4021mW/3893mW VDD_SOC 2013mW/2001mW
