04-18-2026 13:06:15 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@883,0%@883,0%@883,3%@883,8%@1510,78%@1510] GR3D_FREQ 75% cpu@59.125C soc2@58.468C soc0@57.437C gpu@58.968C tj@59.125C soc1@58.125C VDD_IN 7881mW/7881mW VDD_CPU_GPU_CV 2618mW/2618mW VDD_SOC 1831mW/1831mW
04-18-2026 13:06:16 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 80% cpu@59.093C soc2@58.5C soc0@57.437C gpu@59.281C tj@59.281C soc1@58.156C VDD_IN 9309mW/8595mW VDD_CPU_GPU_CV 3593mW/3105mW VDD_SOC 1980mW/1905mW
04-18-2026 13:06:16 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 76% cpu@59.343C soc2@58.687C soc0@57.468C gpu@59.5C tj@59.5C soc1@58.406C VDD_IN 9769mW/8986mW VDD_CPU_GPU_CV 3942mW/3384mW VDD_SOC 2017mW/1942mW
04-18-2026 13:06:17 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,0%@729,3%@729,0%@1510,97%@1510] GR3D_FREQ 74% cpu@59.25C soc2@58.718C soc0@57.468C gpu@59.781C tj@59.781C soc1@58.437C VDD_IN 9927mW/9221mW VDD_CPU_GPU_CV 4021mW/3543mW VDD_SOC 2013mW/1960mW
04-18-2026 13:06:17 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 84% cpu@59.718C soc2@58.781C soc0@57.468C gpu@59.968C tj@59.968C soc1@58.437C VDD_IN 9927mW/9362mW VDD_CPU_GPU_CV 4100mW/3654mW VDD_SOC 2017mW/1971mW
04-18-2026 13:06:18 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,2%@729,0%@1510,98%@1510] GR3D_FREQ 65% cpu@59.375C soc2@58.718C soc0@57.468C gpu@59.531C tj@59.531C soc1@58.375C VDD_IN 9967mW/9463mW VDD_CPU_GPU_CV 4060mW/3722mW VDD_SOC 2013mW/1978mW
04-18-2026 13:06:18 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 70% cpu@59.281C soc2@58.843C soc0@57.5C gpu@59.968C tj@59.968C soc1@58.468C VDD_IN 10085mW/9552mW VDD_CPU_GPU_CV 4139mW/3781mW VDD_SOC 2053mW/1989mW
04-18-2026 13:06:19 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,5%@729,0%@1510,100%@1510] GR3D_FREQ 73% cpu@59.75C soc2@58.906C soc0@57.531C gpu@59.656C tj@59.75C soc1@58.406C VDD_IN 10108mW/9621mW VDD_CPU_GPU_CV 4178mW/3831mW VDD_SOC 2053mW/1997mW
04-18-2026 13:06:19 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 66% cpu@59.75C soc2@58.906C soc0@57.562C gpu@59.656C tj@59.75C soc1@58.343C VDD_IN 10085mW/9673mW VDD_CPU_GPU_CV 4178mW/3869mW VDD_SOC 2053mW/2003mW
04-18-2026 13:06:20 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,3%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 71% cpu@59.406C soc2@58.843C soc0@57.531C gpu@59.781C tj@59.781C soc1@58.5C VDD_IN 10006mW/9706mW VDD_CPU_GPU_CV 4100mW/3892mW VDD_SOC 2053mW/2008mW
04-18-2026 13:06:20 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@885,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 66% cpu@59.656C soc2@58.843C soc0@57.625C gpu@59.968C tj@59.968C soc1@58.375C VDD_IN 9967mW/9730mW VDD_CPU_GPU_CV 4060mW/3908mW VDD_SOC 2013mW/2008mW
04-18-2026 13:06:21 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 88% cpu@59.718C soc2@58.906C soc0@57.531C gpu@59.656C tj@59.718C soc1@58.343C VDD_IN 10006mW/9753mW VDD_CPU_GPU_CV 4100mW/3924mW VDD_SOC 2013mW/2009mW
