04-18-2026 18:05:52 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@883,0%@883,1%@883,0%@883,0%@729,73%@729] GR3D_FREQ 69% cpu@54.843C soc2@53.906C soc0@52.968C gpu@54C tj@54.843C soc1@54.062C VDD_IN 5537mW/5537mW VDD_CPU_GPU_CV 1001mW/1001mW VDD_SOC 1524mW/1524mW
04-18-2026 18:05:53 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [2%@1510,0%@1510,1%@1510,2%@1510,0%@883,74%@883] GR3D_FREQ 51% cpu@54.562C soc2@53.843C soc0@52.937C gpu@53.968C tj@54.562C soc1@54.062C VDD_IN 5778mW/5657mW VDD_CPU_GPU_CV 1160mW/1080mW VDD_SOC 1522mW/1523mW
04-18-2026 18:05:53 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,3%@883,70%@883] GR3D_FREQ 52% cpu@54.718C soc2@53.937C soc0@52.968C gpu@54.093C tj@54.718C soc1@54.031C VDD_IN 5929mW/5748mW VDD_CPU_GPU_CV 1240mW/1133mW VDD_SOC 1562mW/1536mW
04-18-2026 18:05:54 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@1510,1%@1510,0%@883,72%@883] GR3D_FREQ 73% cpu@54.625C soc2@53.968C soc0@53.125C gpu@54.031C tj@54.625C soc1@54.031C VDD_IN 5969mW/5803mW VDD_CPU_GPU_CV 1280mW/1170mW VDD_SOC 1562mW/1542mW
04-18-2026 18:05:54 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,3%@883,73%@883] GR3D_FREQ 76% cpu@54.625C soc2@53.937C soc0@53.218C gpu@54.062C tj@54.625C soc1@53.968C VDD_IN 5969mW/5836mW VDD_CPU_GPU_CV 1280mW/1192mW VDD_SOC 1562mW/1546mW
04-18-2026 18:05:55 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,1%@1510,0%@729,0%@729,7%@883,71%@883] GR3D_FREQ 73% cpu@54.562C soc2@53.937C soc0@53.125C gpu@54.25C tj@54.75C soc1@53.968C VDD_IN 6009mW/5865mW VDD_CPU_GPU_CV 1280mW/1206mW VDD_SOC 1562mW/1549mW
04-18-2026 18:05:55 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,3%@960,72%@960] GR3D_FREQ 53% cpu@54.531C soc2@53.906C soc0@53.062C gpu@54.125C tj@54.531C soc1@53.843C VDD_IN 5969mW/5880mW VDD_CPU_GPU_CV 1280mW/1217mW VDD_SOC 1562mW/1550mW
04-18-2026 18:05:56 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [7%@1510,1%@1510,0%@1510,1%@1510,0%@883,72%@883] GR3D_FREQ 51% cpu@54.875C soc2@53.937C soc0@53C gpu@54.187C tj@54.625C soc1@53.937C VDD_IN 5969mW/5891mW VDD_CPU_GPU_CV 1280mW/1225mW VDD_SOC 1562mW/1552mW
04-18-2026 18:05:56 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,2%@960,70%@960] GR3D_FREQ 52% cpu@55.093C soc2@53.937C soc0@53.031C gpu@54.343C tj@55.093C soc1@54.312C VDD_IN 5969mW/5899mW VDD_CPU_GPU_CV 1280mW/1231mW VDD_SOC 1562mW/1553mW
04-18-2026 18:05:57 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,1%@883,72%@883] GR3D_FREQ 65% cpu@54.656C soc2@53.906C soc0@53.062C gpu@54.437C tj@54.656C soc1@54.25C VDD_IN 5969mW/5906mW VDD_CPU_GPU_CV 1280mW/1236mW VDD_SOC 1562mW/1554mW
04-18-2026 18:05:57 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,1%@1510,0%@1510,3%@1510,0%@883,72%@883] GR3D_FREQ 64% cpu@54.843C soc2@53.937C soc0@52.968C gpu@54.281C tj@54.843C soc1@54.093C VDD_IN 5969mW/5912mW VDD_CPU_GPU_CV 1280mW/1240mW VDD_SOC 1562mW/1554mW
