04-18-2026 17:57:06 RAM 5471/7620MB (lfb 20x4MB) SWAP 3002/3810MB (cached 23MB) CPU [0%@883,3%@883,0%@883,1%@883,0%@1510,100%@1510] GR3D_FREQ 39% cpu@55.281C soc2@54.437C soc0@53.562C gpu@54.718C tj@55.281C soc1@54.5C VDD_IN 5858mW/5858mW VDD_CPU_GPU_CV 1320mW/1320mW VDD_SOC 1522mW/1522mW
04-18-2026 17:57:07 RAM 5471/7620MB (lfb 20x4MB) SWAP 3002/3810MB (cached 23MB) CPU [2%@1510,1%@1510,3%@1507,0%@729,1%@1510,100%@1510] GR3D_FREQ 50% cpu@55.375C soc2@54.5C soc0@53.531C gpu@54.531C tj@55.375C soc1@54.562C VDD_IN 6209mW/6033mW VDD_CPU_GPU_CV 1597mW/1458mW VDD_SOC 1560mW/1541mW
04-18-2026 17:57:07 RAM 5471/7620MB (lfb 20x4MB) SWAP 3002/3810MB (cached 23MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 44% cpu@55.718C soc2@54.406C soc0@53.562C gpu@54.906C tj@55.718C soc1@54.75C VDD_IN 6330mW/6132mW VDD_CPU_GPU_CV 1637mW/1518mW VDD_SOC 1560mW/1547mW
04-18-2026 17:57:08 RAM 5471/7620MB (lfb 20x4MB) SWAP 3002/3810MB (cached 23MB) CPU [2%@1510,2%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 39% cpu@55.375C soc2@54.562C soc0@53.531C gpu@55.093C tj@55.375C soc1@54.656C VDD_IN 6360mW/6189mW VDD_CPU_GPU_CV 1677mW/1557mW VDD_SOC 1560mW/1550mW
04-18-2026 17:57:08 RAM 5471/7620MB (lfb 20x4MB) SWAP 3002/3810MB (cached 23MB) CPU [1%@1510,0%@1510,3%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 44% cpu@55.656C soc2@54.468C soc0@53.562C gpu@54.625C tj@55.656C soc1@54.656C VDD_IN 6370mW/6225mW VDD_CPU_GPU_CV 1677mW/1581mW VDD_SOC 1560mW/1552mW
04-18-2026 17:57:09 RAM 5471/7620MB (lfb 20x4MB) SWAP 3002/3810MB (cached 23MB) CPU [0%@1510,1%@1510,1%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 38% cpu@55.687C soc2@54.5C soc0@53.625C gpu@54.625C tj@55.687C soc1@54.687C VDD_IN 6360mW/6247mW VDD_CPU_GPU_CV 1677mW/1597mW VDD_SOC 1560mW/1553mW
04-18-2026 17:57:09 RAM 5471/7620MB (lfb 20x4MB) SWAP 3002/3810MB (cached 23MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 45% cpu@55.343C soc2@54.562C soc0@53.531C gpu@54.843C tj@55.343C soc1@54.562C VDD_IN 6370mW/6265mW VDD_CPU_GPU_CV 1677mW/1608mW VDD_SOC 1560mW/1554mW
04-18-2026 17:57:10 RAM 5471/7620MB (lfb 20x4MB) SWAP 3002/3810MB (cached 23MB) CPU [2%@1510,0%@903,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.5C soc2@54.625C soc0@53.562C gpu@55.031C tj@55.5C soc1@54.562C VDD_IN 6360mW/6277mW VDD_CPU_GPU_CV 1677mW/1617mW VDD_SOC 1560mW/1555mW
04-18-2026 17:57:10 RAM 5471/7620MB (lfb 20x4MB) SWAP 3002/3810MB (cached 23MB) CPU [0%@1510,6%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 40% cpu@55.593C soc2@54.593C soc0@53.593C gpu@54.625C tj@55.593C soc1@54.562C VDD_IN 6410mW/6291mW VDD_CPU_GPU_CV 1677mW/1624mW VDD_SOC 1560mW/1555mW
04-18-2026 17:57:11 RAM 5471/7620MB (lfb 20x4MB) SWAP 3001/3810MB (cached 23MB) CPU [5%@1510,3%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 41% cpu@55.406C soc2@54.593C soc0@53.468C gpu@55.031C tj@55.75C soc1@54.593C VDD_IN 6370mW/6299mW VDD_CPU_GPU_CV 1677mW/1629mW VDD_SOC 1560mW/1556mW
04-18-2026 17:57:11 RAM 5471/7620MB (lfb 20x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@729,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 48% cpu@55.531C soc2@54.593C soc0@53.468C gpu@54.625C tj@55.531C soc1@54.531C VDD_IN 6370mW/6306mW VDD_CPU_GPU_CV 1677mW/1633mW VDD_SOC 1560mW/1556mW
04-18-2026 17:57:12 RAM 5471/7620MB (lfb 20x4MB) SWAP 3001/3810MB (cached 23MB) CPU [2%@1510,0%@1510,3%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.468C soc2@54.562C soc0@53.5C gpu@54.656C tj@55.468C soc1@54.5C VDD_IN 6370mW/6311mW VDD_CPU_GPU_CV 1677mW/1637mW VDD_SOC 1560mW/1556mW
04-18-2026 17:57:12 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@729,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 42% cpu@55.343C soc2@54.562C soc0@53.718C gpu@54.718C tj@55.343C soc1@54.562C VDD_IN 6370mW/6315mW VDD_CPU_GPU_CV 1677mW/1640mW VDD_SOC 1560mW/1557mW
04-18-2026 17:57:13 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@729,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 46% cpu@55.5C soc2@54.625C soc0@53.656C gpu@55.062C tj@55.5C soc1@54.5C VDD_IN 6370mW/6319mW VDD_CPU_GPU_CV 1677mW/1642mW VDD_SOC 1560mW/1557mW
04-18-2026 17:57:13 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 39% cpu@55.5C soc2@54.562C soc0@53.687C gpu@55.25C tj@55.5C soc1@54.437C VDD_IN 6370mW/6323mW VDD_CPU_GPU_CV 1677mW/1645mW VDD_SOC 1560mW/1557mW
04-18-2026 17:57:14 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@1510,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@55.343C soc2@54.531C soc0@53.718C gpu@54.625C tj@55.343C soc1@54.562C VDD_IN 6370mW/6326mW VDD_CPU_GPU_CV 1677mW/1647mW VDD_SOC 1560mW/1557mW
04-18-2026 17:57:14 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@1510,0%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 39% cpu@55.437C soc2@54.531C soc0@53.625C gpu@54.687C tj@55.437C soc1@54.562C VDD_IN 6370mW/6328mW VDD_CPU_GPU_CV 1677mW/1648mW VDD_SOC 1560mW/1557mW
04-18-2026 17:57:15 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,1%@1510,2%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@55.437C soc2@54.531C soc0@53.593C gpu@54.625C tj@55.437C soc1@54.5C VDD_IN 6360mW/6330mW VDD_CPU_GPU_CV 1677mW/1650mW VDD_SOC 1560mW/1557mW
04-18-2026 17:57:15 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 41% cpu@55.343C soc2@54.5C soc0@53.593C gpu@54.718C tj@55.343C soc1@54.531C VDD_IN 6370mW/6332mW VDD_CPU_GPU_CV 1677mW/1651mW VDD_SOC 1560mW/1558mW
